Date	cases28days	f00-17	f18-29 	f30-39	f40-59	f60-69	f70-79	f80+	n00-17	n18-29	n30-39	n40-59	n60-69	n70-79	n80+	totalHospital	unknownHospital	breakthrougHospital	totalICU	unknownICU	breakthroughICU	comment
2022-01-13	141925	4.6	5.9	8.4	9.0	14.3	17.2	16.5	24.0	104	135	190	204	326	391	375	545	2267	281	703	336	79 43
2021-12-23	191299	3.6	4.3	6.7	8.8	14.7	17.8	18.3	25.8	151	184	285	377	629	764	785	1107	4284	1353	640	645	156 82
2021-12-16	217296	3.6	4.1	7.1	8.9	14.8	16.8	18.8	25.8	168	186	325	411	682	775	868	1190	4594	1427	700	722	172 83
2021-12-09	223345	3.8	4.2	6.7	9.1	15.4	16.0	18.1	26.5	178	190	308	420	708	731	825	1214	4569	1551	705	725	205 87
2021-12-02	205141	4.0	4.3	6.9	9.2	14.4	16.1	18.2	26.8	174	186	298	393	617	697	785	1156	4302	1740	655	536	168 70	"no ICU update?"
2021-11-25	167597	3.8	4.3	7.0	9.2	13.3	16.3	18.3	27.6	140	160	259	344	492	606	676	1023	3690	1295	655	536	168 70
2021-11-18	130001	3.7	4.7	7.5	9.4	12.6	15.9	18.0	28.3	123	155	251	311	415	524	597	938	3309	-1	659	436	-1 57
2021-11-11	95027	4.0	5.3	8.0	9.4	12.9	15.5	17.5	27.4	116	150	231	269	369	446	503	790	2870	-1	657	394 -1	61
2021-11-04	66605	3.8	5.7	8.8	10.2	13.2	15.0	17.0	26.3	89	132	201	236	304	345	389	607	2293	-1	556	331 -1	56
2021-10-28	53529	4.9	6.4	9.2	10.7	14.1	14.7	15.6	24.4	92	121	173	201	266	278	293	461	1887	-1	447	249 -1	46
2021-10-21	43483	5.2	7.2	11.0	10.8	14.7	14.4	14.1	22.8	81	112	171	165	227	224	218	354	1547	-1	349	219 -1	40
2021-10-14	38667	6.1	8.0	12.9	12.0	16.3	12.7	13.4	18.6	88	116	186	173	236	184	194	269	1444	-1	281	198	-1	29
2021-10-07	39227	6.1	9.0	12.9	14.0	16.4	13.3	11.5	16.7	90	133	191	208	243	198	171	248	1484	-1	247	203	-1	23
2021-09-30	40713	6.1	9.3	13.9	14.4	16.8	12.9	10.9	15.7	96	145	218	225	265	202	171	246	1567	-1	233	219	-1	21
2021-09-23	40997	5.4	9.2	14.9	16.1	17.9	11.9	11.2	13.5	87	147	239	258	287	191	180	216	1605	-1	234	220	-1	17
2021-09-16	39609	5.7	10.5	14.9	16.3	17.8	12.2	9.9	12.8	88	161	229	250	274	187	152	197	1538	-1	211	187	-1	13
