date	complete7	incomplete7/unknown	hospital_complete28	hospital_incomplete/unknown28
2021-11-11	36.2	892.5	9.1	56.6
2021-11-10	43.7	829.2	9.0	54.3
2021-11-09	52.6	755.7	8.6	51.9
2021-11-08	48.4	647.6	8.3	49.7
2021-11-05	49.7	512.8	8.1	45.5
2021-11-04	50.7	458.2	7.8	43.9
2021-11-03	49.7	402.6	7.4	42.2
2021-11-02	49.4	381.3	7.9	40.0
2021-10-29	56.3	411.1	6.8	37.5
2021-10-28	50.6	391.8	6.3	35.8
2021-10-27	48.3	367.1	6.1	34.4
2021-10-26	46.2	334.1	5.9	32.8
2021-10-25	47.1	317.3	5.6	31.9
2021-10-22	40.8	285.4	5.3	29.6
2021-10-21	39.3	273.1	5.1	29.2
2021-10-20	36.3	253.2	5.0	28.9
2021-10-19	32.8	228.7	4.8	28.6
2021-10-18	32.9	210.3	4.6	28.5
2021-10-15	30.3	204.3	4.2	28.2
2021-10-14	27.7	195.7	4.0	28.2
2021-10-13	26.8	188.8	3.9	28.1
2021-10-12	26.2	187.1	3.9	28.6
2021-10-11	25.7	181.1	3.7	28.6
2021-10-08	24.4	183.5	3.7	29.5
2021-10-07	22.6	179.8	3.6	29.5
2021-10-06	22.3	174.0	3.6	29.8
2021-10-05	22.2	174.6	3.5	30.4
2021-10-04	23.2	177.4	3.4	30.1
2021-10-01	22.3	184.3	3.4	31.0
2021-09-30	21.1	185.9	3.4	31.2
2021-09-29	20.0	188.8	3.4	30.9
2021-09-28	18.8	183.4	3.4	30.9
2021-09-27	19.2	178.8	3.5	30.8
2021-09-24	18.3	181.5	3.5	31.3
2021-09-23	18.2	184.0	3.5	31.4
2021-09-22	18.1	182.8	3.4	31.0
2021-09-21	18.2	190.4	3.3	31.4
2021-09-20	19.5	200.7	3.3	30.9
2021-09-17	20.0	207.8	3.2	30.0
2021-09-16	19.8	212.7	3.2	29.9
2021-09-15	18.3	210.0	3.1	29.1
2021-09-14	18.5	205.5	3.0	28.1
2021-09-13	18.9	203.8	3.0	27.1
2021-09-10	18.7	208.8	2.8	25.7
2021-09-09	18.0	209.0	2.5	24.9
2021-09-08	17.6	207.5
2021-09-07	17.6	202.7
2021-09-06	18.1	201.8
2021-09-03	16.6	193.2
