published	date	patients
2022-02-24	2022-02-01	1140
2022-02-24	2022-02-02	1175
2022-02-24	2022-02-03	1276
2022-02-24	2022-02-04	1333
2022-02-24	2022-02-05	1375
2022-02-24	2022-02-06	1416
2022-02-24	2022-02-07	1458
2022-02-24	2022-02-08	1485
2022-02-24	2022-02-09	1483
2022-02-24	2022-02-10	1487
2022-02-24	2022-02-11	1554
2022-02-24	2022-02-12	1565
2022-02-24	2022-02-13	1575
2022-02-24	2022-02-14	1585
2022-02-24	2022-02-15	1631
2022-02-24	2022-02-16	1654
2022-02-24	2022-02-17	1593
2022-02-24	2022-02-18	1620
2022-02-24	2022-02-19	1653
2022-02-24	2022-02-20	1686
2022-02-24	2022-02-21	1718
2022-02-24	2022-02-22	1735
2022-02-24	2022-02-23	1674
2022-03-03	2022-02-01	1140
2022-03-03	2022-02-02	1174
2022-03-03	2022-02-03	1276
2022-03-03	2022-02-04	1333
2022-03-03	2022-02-05	1374
2022-03-03	2022-02-06	1417
2022-03-03	2022-02-07	1458
2022-03-03	2022-02-08	1485
2022-03-03	2022-02-09	1483
2022-03-03	2022-02-10	1487
2022-03-03	2022-02-11	1555
2022-03-03	2022-02-12	1565
2022-03-03	2022-02-13	1576
2022-03-03	2022-02-14	1586
2022-03-03	2022-02-15	1634
2022-03-03	2022-02-16	1655
2022-03-03	2022-02-17	1595
2022-03-03	2022-02-18	1622
2022-03-03	2022-02-19	1654
2022-03-03	2022-02-20	1688
2022-03-03	2022-02-21	1721
2022-03-03	2022-02-22	1736
2022-03-03	2022-02-23	1675
2022-03-03	2022-02-24	1661
2022-03-03	2022-02-25	1614
2022-03-03	2022-02-26	1608
2022-03-03	2022-02-27	1602
2022-03-03	2022-02-28	1596
2022-03-03	2022-03-01	1592
2022-03-03	2022-03-02	1563
2022-03-10	2022-02-01	1140
2022-03-10	2022-02-02	1173
2022-03-10	2022-02-03	1275
2022-03-10	2022-02-04	1332
2022-03-10	2022-02-05	1372
2022-03-10	2022-02-06	1415
2022-03-10	2022-02-07	1458
2022-03-10	2022-02-08	1485
2022-03-10	2022-02-09	1483
2022-03-10	2022-02-10	1487
2022-03-10	2022-02-11	1554
2022-03-10	2022-02-12	1566
2022-03-10	2022-02-13	1575
2022-03-10	2022-02-14	1585
2022-03-10	2022-02-15	1632
2022-03-10	2022-02-16	1653
2022-03-10	2022-02-17	1594
2022-03-10	2022-02-18	1620
2022-03-10	2022-02-19	1652
2022-03-10	2022-02-20	1686
2022-03-10	2022-02-21	1719
2022-03-10	2022-02-22	1735
2022-03-10	2022-02-23	1677
2022-03-10	2022-02-24	1661
2022-03-10	2022-02-25	1615
2022-03-10	2022-02-26	1608
2022-03-10	2022-02-27	1602
2022-03-10	2022-02-28	1597
2022-03-10	2022-03-01	1592
2022-03-10	2022-03-02	1563
2022-03-10	2022-03-03	1503
2022-03-10	2022-03-04	1471
2022-03-10	2022-03-05	1510
2022-03-10	2022-03-06	1553
2022-03-10	2022-03-07	1594
2022-03-10	2022-03-08	1621
2022-03-10	2022-03-09	1732
2022-03-17	2022-02-01	1141
2022-03-17	2022-02-02	1174
2022-03-17	2022-02-03	1270
2022-03-17	2022-02-04	1328
2022-03-17	2022-02-05	1373
2022-03-17	2022-02-06	1413
2022-03-17	2022-02-07	1456
2022-03-17	2022-02-08	1483
2022-03-17	2022-02-09	1483
2022-03-17	2022-02-10	1485
2022-03-17	2022-02-11	1553
2022-03-17	2022-02-12	1564
2022-03-17	2022-02-13	1573
2022-03-17	2022-02-14	1584
2022-03-17	2022-02-15	1630
2022-03-17	2022-02-16	1652
2022-03-17	2022-02-17	1596
2022-03-17	2022-02-18	1618
2022-03-17	2022-02-19	1651
2022-03-17	2022-02-20	1685
2022-03-17	2022-02-21	1719
2022-03-17	2022-02-22	1735
2022-03-17	2022-02-23	1676
2022-03-17	2022-02-24	1659
2022-03-17	2022-02-25	1615
2022-03-17	2022-02-26	1607
2022-03-17	2022-02-27	1603
2022-03-17	2022-02-28	1597
2022-03-17	2022-03-01	1592
2022-03-17	2022-03-02	1564
2022-03-17	2022-03-03	1505
2022-03-17	2022-03-04	1472
2022-03-17	2022-03-05	1509
2022-03-17	2022-03-06	1552
2022-03-17	2022-03-07	1594
2022-03-17	2022-03-08	1621
2022-03-17	2022-03-09	1728
2022-03-17	2022-03-10	1719
2022-03-17	2022-03-11	1726
2022-03-17	2022-03-12	1755
2022-03-17	2022-03-13	1785
2022-03-17	2022-03-14	1814
2022-03-17	2022-03-15	1869
2022-03-17	2022-03-16	1886
2022-03-24	2022-02-01	1141
2022-03-24	2022-02-02	1180
2022-03-24	2022-02-03	1278
2022-03-24	2022-02-04	1333
2022-03-24	2022-02-05	1375
2022-03-24	2022-02-06	1416
2022-03-24	2022-02-07	1458
2022-03-24	2022-02-08	1483
2022-03-24	2022-02-09	1481
2022-03-24	2022-02-10	1487
2022-03-24	2022-02-11	1555
2022-03-24	2022-02-12	1566
2022-03-24	2022-02-13	1574
2022-03-24	2022-02-14	1585
2022-03-24	2022-02-15	1632
2022-03-24	2022-02-16	1651
2022-03-24	2022-02-17	1595
2022-03-24	2022-02-18	1618
2022-03-24	2022-02-19	1652
2022-03-24	2022-02-20	1687
2022-03-24	2022-02-21	1719
2022-03-24	2022-02-22	1732
2022-03-24	2022-02-23	1673
2022-03-24	2022-02-24	1656
2022-03-24	2022-02-25	1612
2022-03-24	2022-02-26	1608
2022-03-24	2022-02-27	1601
2022-03-24	2022-02-28	1596
2022-03-24	2022-03-01	1590
2022-03-24	2022-03-02	1560
2022-03-24	2022-03-03	1499
2022-03-24	2022-03-04	1469
2022-03-24	2022-03-05	1511
2022-03-24	2022-03-06	1552
2022-03-24	2022-03-07	1594
2022-03-24	2022-03-08	1621
2022-03-24	2022-03-09	1729
2022-03-24	2022-03-10	1720
2022-03-24	2022-03-11	1724
2022-03-24	2022-03-12	1753
2022-03-24	2022-03-13	1784
2022-03-24	2022-03-14	1817
2022-03-24	2022-03-15	1868
2022-03-24	2022-03-16	1881
2022-03-24	2022-03-17	1894
2022-03-24	2022-03-18	1878
2022-03-24	2022-03-19	1907
2022-03-24	2022-03-20	1935
2022-03-24	2022-03-21	1970
2022-03-24	2022-03-22	2089
2022-03-24	2022-03-23	2084
2022-03-31	2022-03-01	1595
2022-03-31	2022-03-02	1590
2022-03-31	2022-03-03	1559
2022-03-31	2022-03-04	1501
2022-03-31	2022-03-05	1470
2022-03-31	2022-03-06	1511
2022-03-31	2022-03-07	1551
2022-03-31	2022-03-08	1592
2022-03-31	2022-03-09	1623
2022-03-31	2022-03-10	1729
2022-03-31	2022-03-11	1719
2022-03-31	2022-03-12	1725
2022-03-31	2022-03-13	1754
2022-03-31	2022-03-14	1784
2022-03-31	2022-03-15	1815
2022-03-31	2022-03-16	1868
2022-03-31	2022-03-17	1882
2022-03-31	2022-03-18	1895
2022-03-31	2022-03-19	1880
2022-03-31	2022-03-20	1908
2022-03-31	2022-03-21	1937
2022-03-31	2022-03-22	1970
2022-03-31	2022-03-23	2089
2022-03-31	2022-03-24	2081
2022-03-31	2022-03-25	2031
2022-03-31	2022-03-26	2000
2022-03-31	2022-03-27	1998
2022-03-31	2022-03-28	1998
2022-03-31	2022-03-29	1999
2022-03-31	2022-03-30	2044
2022-03-31	2022-03-31	2030
2022-04-07	2022-04-01	1992
2022-04-07	2022-04-02	1926
2022-04-07	2022-04-03	1957
2022-04-07	2022-04-04	1990
2022-04-07	2022-04-05	2021
2022-04-07	2022-04-06	2022
2022-04-07	2022-04-07	1955
2022-04-21	2022-02-01	1143
2022-04-21	2022-02-02	1185
2022-04-21	2022-02-03	1274
2022-04-21	2022-02-04	1333
2022-04-21	2022-02-05	1376
2022-04-21	2022-02-06	1419
2022-04-21	2022-02-07	1458
2022-04-21	2022-02-08	1484
