"Meldelandkreis";"Insgesamt VOC";"B.1.1.7 (UK-Variante)";"B.1.351 (SüdAfrika-Variante)";"P.1 (Brazil-Variante)";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1128;984;10;0;134;4019;5147
"LK Altötting";1551;1517;2;1;31;4465;6016
"LK Amberg-Sulzbach";1111;694;0;0;417;3691;4802
"LK Ansbach";1542;1517;1;0;24;6701;8243
"LK Aschaffenburg";1376;1341;4;0;31;6568;7944
"LK Augsburg";2209;1973;110;19;107;9097;11306
"LK Bad Kissingen";860;790;31;0;39;2750;3610
"LK Bad Tölz-Wolfratshausen";1002;952;0;0;50;4006;5008
"LK Bamberg";1071;1042;14;3;12;4439;5510
"LK Bayreuth";1154;84;0;0;1070;3764;4918
"LK Berchtesgadener Land";728;720;7;1;0;5184;5912
"LK Cham";2970;2903;1;2;64;4133;7103
"LK Coburg";1181;1163;2;1;15;3639;4820
"LK Dachau";1583;1547;1;1;34;6598;8181
"LK Deggendorf";801;210;0;0;591;6133;6934
"LK Dillingen a.d.Donau";856;814;20;0;22;2851;3707
"LK Dingolfing-Landau";1875;1852;8;0;15;3854;5729
"LK Donau-Ries";1529;1352;22;0;155;4318;5847
"LK Ebersberg";963;914;6;1;42;5326;6289
"LK Eichstätt";1281;1057;1;3;220;3727;5008
"LK Erding";1281;1243;4;4;30;5605;6886
"LK Erlangen-Höchstadt";965;914;0;2;49;4381;5346
"LK Forchheim";1095;1086;0;0;9;3616;4711
"LK Freising";1655;1494;3;3;155;6408;8063
"LK Freyung-Grafenau";994;906;21;0;67;3901;4895
"LK Fürstenfeldbruck";1708;1666;8;0;34;7921;9629
"LK Fürth";1055;1034;8;0;13;4235;5290
"LK Garmisch-Partenkirchen";787;753;4;0;30;2785;3572
"LK Günzburg";1624;1468;95;1;60;5138;6762
"LK Haßberge";1258;1211;7;1;39;2767;4025
"LK Hof";2089;2053;4;0;32;4260;6349
"LK Kelheim";1519;1482;1;3;33;4379;5898
"LK Kitzingen";662;651;1;3;7;2547;3209
"LK Kronach";835;822;2;1;10;3292;4127
"LK Kulmbach";1390;1327;2;0;61;2672;4062
"LK Landsberg a.Lech";903;689;138;0;76;3161;4064
"LK Landshut";1879;1278;0;1;600;6075;7954
"LK Lichtenfels";1095;1090;1;0;4;2414;3509
"LK Lindau";738;709;13;0;16;2583;3321
"LK Main-Spessart";1236;1219;1;2;14;3456;4692
"LK Miesbach";761;740;1;0;20;3750;4511
"LK Miltenberg";1248;1230;2;0;16;4654;5902
"LK Mühldorf a.Inn";1692;1664;6;3;19;5229;6921
"LK München";2662;2469;3;2;188;12583;15245
"LK Neu-Ulm";1802;1654;69;3;76;5689;7491
"LK Neuburg-Schrobenhausen";989;958;1;2;28;3124;4113
"LK Neumarkt i.d.OPf.";636;568;0;0;68;5850;6486
"LK Neustadt a.d.Aisch-Bad Windsheim";978;937;0;0;41;3375;4353
"LK Neustadt a.d.Waldnaab";1167;71;1;0;1095;4048;5215
"LK Nürnberger Land";1391;1348;4;4;35;5949;7340
"LK Oberallgäu";1820;1678;52;0;90;4033;5853
"LK Ostallgäu";2448;2362;28;1;57;4652;7100
"LK Passau";1904;1804;31;2;67;10981;12885
"LK Pfaffenhofen a.d.Ilm";1428;1316;2;34;76;4174;5602
"LK Regen";1078;1061;1;0;16;4434;5512
"LK Regensburg";2361;2298;0;1;62;5801;8162
"LK Rhön-Grabfeld";922;912;4;3;3;2584;3506
"LK Rosenheim";2316;2203;1;3;109;11436;13752
"LK Roth";1200;1180;3;0;17;4457;5657
"LK Rottal-Inn";1642;1617;9;2;14;5832;7474
"LK Schwandorf";3194;3053;0;0;141;5148;8342
"LK Schweinfurt";1246;1213;28;3;2;3820;5066
"LK Starnberg";812;787;2;2;21;4247;5059
"LK Straubing-Bogen";1380;1341;1;1;37;3967;5347
"LK Tirschenreuth";1514;1492;0;0;22;3801;5315
"LK Traunstein";2587;2530;14;0;43;8351;10938
"LK Unterallgäu";2108;2023;5;2;78;5025;7133
"LK Weilheim-Schongau";886;877;4;0;5;4145;5031
"LK Weißenburg-Gunzenhausen";787;765;1;0;21;3108;3895
"LK Wunsiedel i.Fichtelgebirge";1524;1510;0;0;14;3487;5011
"LK Würzburg";1000;989;1;1;9;3342;4342
"SK Amberg";472;265;0;0;207;1251;1723
"SK Ansbach";215;210;0;0;5;1595;1810
"SK Aschaffenburg";723;703;1;1;18;2687;3410
"SK Augsburg";3428;2888;63;9;468;14248;17676
"SK Bamberg";548;543;3;0;2;2490;3038
"SK Bayreuth";884;54;0;0;830;2578;3462
"SK Coburg";561;555;3;0;3;1812;2373
"SK Erlangen";617;598;0;0;19;3308;3925
"SK Fürth";1982;1955;2;1;24;5634;7616
"SK Hof";1429;1365;1;0;63;2507;3936
"SK Ingolstadt";1281;1253;1;10;17;4768;6049
"SK Kaufbeuren";684;676;0;0;8;1677;2361
"SK Kempten";1312;1233;27;0;52;1926;3238
"SK Landshut";919;558;1;0;360;3119;4038
"SK Memmingen";534;487;5;9;33;1682;2216
"SK München";13523;11777;41;18;1687;58978;72501
"SK Nürnberg";5590;5361;9;19;201;28453;34043
"SK Passau";387;374;0;0;13;2996;3383
"SK Regensburg";2009;1969;3;1;36;4891;6900
"SK Rosenheim";740;704;0;0;36;3159;3899
"SK Schwabach";364;360;0;0;4;1762;2126
"SK Schweinfurt";1030;995;24;8;3;2017;3047
"SK Straubing";647;635;0;1;11;1726;2373
"SK Weiden i.d.OPf.";614;30;2;0;582;2077;2691
"SK Würzburg";1049;1038;3;0;8;3395;4444
