"Meldelandkreis";"Insgesamt VOC";"B.1.1.7";"B.1.351";"P.1";"B.1.617";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1153;1009;10;0;0;134;4014;5167
"LK Altötting";1569;1538;2;1;0;28;4473;6042
"LK Amberg-Sulzbach";1130;711;0;0;0;419;3694;4824
"LK Ansbach";1576;1551;1;0;0;24;6696;8272
"LK Aschaffenburg";1416;1378;4;1;2;31;6552;7968
"LK Augsburg";2248;2003;113;19;5;108;9112;11360
"LK Bad Kissingen";871;799;31;0;1;40;2752;3623
"LK Bad Tölz-Wolfratshausen";1017;967;0;0;0;50;4021;5038
"LK Bamberg";1098;1069;14;3;0;12;4436;5534
"LK Bayreuth";1159;88;0;0;0;1071;3764;4923
"LK Berchtesgadener Land";746;733;8;4;1;0;5194;5940
"LK Cham";2974;2907;1;2;1;63;4133;7107
"LK Coburg";1207;1188;2;1;1;15;3646;4853
"LK Dachau";1606;1566;1;1;3;35;6593;8199
"LK Deggendorf";827;236;0;0;0;591;6128;6955
"LK Dillingen a.d.Donau";932;874;22;0;0;36;2809;3741
"LK Dingolfing-Landau";1928;1904;8;0;0;16;3830;5758
"LK Donau-Ries";1570;1388;30;0;0;152;4332;5902
"LK Ebersberg";985;936;6;1;0;42;5330;6315
"LK Eichstätt";1294;1071;1;3;1;218;3728;5022
"LK Erding";1312;1269;4;6;0;33;5620;6932
"LK Erlangen-Höchstadt";981;931;0;2;0;48;4398;5379
"LK Forchheim";1108;1101;0;0;0;7;3623;4731
"LK Freising";1676;1506;5;3;6;156;6403;8079
"LK Freyung-Grafenau";999;911;21;0;0;67;3923;4922
"LK Fürstenfeldbruck";1745;1702;8;0;0;35;7930;9675
"LK Fürth";1086;1063;8;1;0;14;4239;5325
"LK Garmisch-Partenkirchen";824;790;4;0;0;30;2785;3609
"LK Günzburg";1735;1574;98;1;4;58;5121;6856
"LK Haßberge";1275;1226;7;1;0;41;2765;4040
"LK Hof";2129;2091;6;0;0;32;4247;6376
"LK Kelheim";1540;1503;1;3;0;33;4369;5909
"LK Kitzingen";696;681;1;3;4;7;2555;3251
"LK Kronach";859;846;2;1;0;10;3322;4181
"LK Kulmbach";1398;1335;2;0;0;61;2676;4074
"LK Landsberg a.Lech";922;709;138;0;0;75;3154;4076
"LK Landshut";1912;1313;0;1;0;598;6084;7996
"LK Lichtenfels";1102;1097;1;0;0;4;2418;3520
"LK Lindau";750;720;13;0;0;17;2601;3351
"LK Main-Spessart";1259;1243;1;2;0;13;3454;4713
"LK Miesbach";781;763;1;0;0;17;3749;4530
"LK Miltenberg";1286;1266;2;0;1;17;4657;5943
"LK Mühldorf a.Inn";1701;1670;6;3;2;20;5238;6939
"LK München";2682;2486;3;1;3;189;12551;15233
"LK Neu-Ulm";1891;1741;69;3;0;78;5711;7602
"LK Neuburg-Schrobenhausen";1004;973;1;2;0;28;3132;4136
"LK Neumarkt i.d.OPf.";648;577;0;0;3;68;5885;6533
"LK Neustadt a.d.Aisch-Bad Windsheim";1005;963;0;0;0;42;3375;4380
"LK Neustadt a.d.Waldnaab";1177;71;1;0;0;1105;4049;5226
"LK Nürnberger Land";1438;1395;4;4;0;35;5958;7396
"LK Oberallgäu";1864;1722;52;0;0;90;4079;5943
"LK Ostallgäu";2468;2380;28;2;1;57;4644;7112
"LK Passau";1922;1822;32;2;0;66;10984;12906
"LK Pfaffenhofen a.d.Ilm";1457;1343;2;34;0;78;4173;5630
"LK Regen";1095;1070;1;0;4;20;4431;5526
"LK Regensburg";2425;2355;0;1;7;62;5804;8229
"LK Rhön-Grabfeld";933;922;5;3;0;3;2592;3525
"LK Rosenheim";2381;2266;1;3;2;109;11447;13828
"LK Roth";1214;1193;3;0;1;17;4453;5667
"LK Rottal-Inn";1677;1641;18;2;2;14;5840;7517
"LK Schwandorf";3214;3075;0;0;0;139;5150;8364
"LK Schweinfurt";1283;1250;28;3;0;2;3825;5108
"LK Starnberg";819;791;3;2;2;21;4247;5066
"LK Straubing-Bogen";1395;1356;1;1;0;37;3964;5359
"LK Tirschenreuth";1514;1493;0;0;0;21;3804;5318
"LK Traunstein";2625;2565;14;0;3;43;8351;10976
"LK Unterallgäu";2195;2111;5;2;0;77;5001;7196
"LK Weilheim-Schongau";970;960;5;0;0;5;4125;5095
"LK Weißenburg-Gunzenhausen";791;768;1;0;0;22;3112;3903
"LK Wunsiedel i.Fichtelgebirge";1528;1513;0;0;0;15;3489;5017
"LK Würzburg";1019;1002;4;1;4;8;3349;4368
"SK Amberg";477;270;0;0;0;207;1255;1732
"SK Ansbach";223;218;0;0;0;5;1597;1820
"SK Aschaffenburg";745;723;1;1;2;18;2703;3448
"SK Augsburg";3484;2940;63;9;0;472;14267;17751
"SK Bamberg";558;553;3;0;0;2;2494;3052
"SK Bayreuth";889;55;0;0;0;834;2578;3467
"SK Coburg";573;567;3;0;0;3;1813;2386
"SK Erlangen";639;618;0;0;2;19;3324;3963
"SK Fürth";2017;1987;2;1;1;26;5635;7652
"SK Hof";1432;1368;1;0;0;63;2508;3940
"SK Ingolstadt";1381;1352;1;10;1;17;4729;6110
"SK Kaufbeuren";695;687;0;0;0;8;1676;2371
"SK Kempten";1331;1251;27;0;0;53;1952;3283
"SK Landshut";933;574;1;0;0;358;3120;4053
"SK Memmingen";545;498;5;9;0;33;1689;2234
"SK München";13779;12018;46;18;38;1659;59079;72858
"SK Nürnberg";5710;5477;9;19;2;203;28537;34247
"SK Passau";387;374;0;0;0;13;2999;3386
"SK Regensburg";2046;2004;3;1;2;36;4889;6935
"SK Rosenheim";753;712;0;1;2;38;3164;3917
"SK Schwabach";375;371;0;0;0;4;1767;2142
"SK Schweinfurt";1054;1018;24;8;1;3;2025;3079
"SK Straubing";649;637;0;1;0;11;1727;2376
"SK Weiden i.d.OPf.";615;30;2;0;0;583;2077;2692
"SK Würzburg";1078;1065;3;0;2;8;3403;4481
