"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1189;1042;10;0;0;137;4028;5217
"LK Altötting";1597;1561;2;3;10;21;4477;6074
"LK Amberg-Sulzbach";1162;805;0;1;4;352;3687;4849
"LK Ansbach";1617;1580;1;2;9;25;6808;8425
"LK Aschaffenburg";1480;1421;4;1;23;31;6557;8037
"LK Augsburg";2472;2164;114;23;66;105;9027;11499
"LK Bad Kissingen";896;820;35;0;1;40;2749;3645
"LK Bad Tölz-Wolfratshausen";1062;980;0;0;25;57;4061;5123
"LK Bamberg";1211;1141;17;3;44;6;4459;5670
"LK Bayreuth";1166;1164;0;0;2;0;3770;4936
"LK Berchtesgadener Land";774;751;12;4;7;0;5272;6046
"LK Cham";3030;2965;3;5;3;54;4106;7136
"LK Coburg";1243;1227;3;0;1;12;3646;4889
"LK Dachau";1657;1601;2;1;20;33;6602;8259
"LK Deggendorf";874;267;1;0;10;596;6150;7024
"LK Dillingen a.d.Donau";1045;1008;26;0;5;6;2766;3811
"LK Dingolfing-Landau";2006;1961;13;1;16;15;3835;5841
"LK Donau-Ries";1659;1445;45;1;15;153;4355;6014
"LK Ebersberg";1036;964;6;2;15;49;5365;6401
"LK Eichstätt";1348;1300;1;7;11;29;3739;5087
"LK Erding";1359;1302;6;12;9;30;5635;6994
"LK Erlangen-Höchstadt";1014;949;2;7;8;48;4421;5435
"LK Forchheim";1167;1144;0;1;12;10;3643;4810
"LK Freising";1753;1597;8;7;6;135;6505;8258
"LK Freyung-Grafenau";1026;934;26;0;0;66;3892;4918
"LK Fürstenfeldbruck";1835;1775;11;0;10;39;7940;9775
"LK Fürth";1143;1111;8;0;10;14;4243;5386
"LK Garmisch-Partenkirchen";870;828;4;1;6;31;2787;3657
"LK Günzburg";1866;1698;100;1;9;58;5150;7016
"LK Haßberge";1362;1312;18;0;2;30;2723;4085
"LK Hof";2165;2128;5;0;1;31;4243;6408
"LK Kelheim";1607;1567;1;3;4;32;4335;5942
"LK Kitzingen";754;710;2;3;31;8;2548;3302
"LK Kronach";871;857;2;1;1;10;3363;4234
"LK Kulmbach";1409;1341;2;0;5;61;2678;4087
"LK Landsberg a.Lech";948;725;135;0;6;82;3169;4117
"LK Landshut";2013;1628;0;1;4;380;6036;8049
"LK Lichtenfels";1163;1155;1;0;0;7;2427;3590
"LK Lindau";859;822;13;0;5;19;2594;3453
"LK Main-Spessart";1304;1278;2;1;14;9;3467;4771
"LK Miesbach";830;801;2;0;9;18;3773;4603
"LK Miltenberg";1333;1304;2;0;10;17;4676;6009
"LK Mühldorf a.Inn";1721;1680;6;8;8;19;5268;6989
"LK München";2770;2576;6;3;25;160;12687;15457
"LK Neu-Ulm";2171;2033;70;3;6;59;5610;7781
"LK Neuburg-Schrobenhausen";1024;996;1;2;0;25;3175;4199
"LK Neumarkt i.d.OPf.";671;593;0;0;9;69;5904;6575
"LK Neustadt a.d.Aisch-Bad Windsheim";1059;1015;0;0;2;42;3332;4391
"LK Neustadt a.d.Waldnaab";1208;496;1;0;4;707;4051;5259
"LK Nürnberger Land";1551;1494;5;7;10;35;5912;7463
"LK Oberallgäu";1929;1770;53;1;17;88;4044;5973
"LK Ostallgäu";2509;2402;28;2;20;57;4661;7170
"LK Passau";2016;1945;33;2;9;27;10952;12968
"LK Pfaffenhofen a.d.Ilm";1478;1360;2;35;5;76;4187;5665
"LK Regen";1100;1076;1;0;6;17;4433;5533
"LK Regensburg";2540;2441;0;1;37;61;5804;8344
"LK Rhön-Grabfeld";944;928;5;3;5;3;2610;3554
"LK Rosenheim";2461;2328;1;6;19;107;11500;13961
"LK Roth";1229;1205;3;0;4;17;4472;5701
"LK Rottal-Inn";1696;1657;13;11;1;14;5865;7561
"LK Schwandorf";3278;3193;0;0;13;72;5115;8393
"LK Schweinfurt";1312;1265;29;4;12;2;3843;5155
"LK Starnberg";869;816;2;3;25;23;4286;5155
"LK Straubing-Bogen";1421;1378;1;1;5;36;3958;5379
"LK Tirschenreuth";1534;1515;0;0;2;17;3783;5317
"LK Traunstein";2695;2606;23;3;20;43;8429;11124
"LK Unterallgäu";2378;2346;3;7;6;16;4913;7291
"LK Weilheim-Schongau";1105;1090;5;0;9;1;4063;5168
"LK Weißenburg-Gunzenhausen";880;800;3;0;10;67;3046;3926
"LK Wunsiedel i.Fichtelgebirge";1558;1549;0;0;3;6;3474;5032
"LK Würzburg";1104;1053;8;3;37;3;3370;4474
"SK Amberg";504;317;0;0;7;180;1261;1765
"SK Ansbach";251;239;0;1;5;6;1627;1878
"SK Aschaffenburg";800;758;1;1;22;18;2709;3509
"SK Augsburg";3860;3122;70;12;115;541;14234;18094
"SK Bamberg";624;579;4;0;38;3;2523;3147
"SK Bayreuth";895;890;0;0;5;0;2584;3479
"SK Coburg";591;585;3;0;2;1;1813;2404
"SK Erlangen";672;642;0;0;8;22;3350;4022
"SK Fürth";2085;2034;6;2;16;27;5670;7755
"SK Hof";1466;1398;2;0;4;62;2507;3973
"SK Ingolstadt";1460;1407;1;10;25;17;4765;6225
"SK Kaufbeuren";714;700;0;0;6;8;1679;2393
"SK Kempten";1347;1265;27;0;4;51;1931;3278
"SK Landshut";998;746;1;0;17;234;3104;4102
"SK Memmingen";566;521;5;9;1;30;1692;2258
"SK München";14015;12662;81;39;505;728;60116;74131
"SK Nürnberg";6183;5881;12;4;64;222;28605;34788
"SK Passau";408;397;0;0;4;7;2995;3403
"SK Regensburg";2123;2049;3;1;34;36;4926;7049
"SK Rosenheim";771;723;0;9;2;37;3175;3946
"SK Schwabach";383;380;0;0;0;3;1775;2158
"SK Schweinfurt";1119;1071;25;8;12;3;2060;3179
"SK Straubing";653;641;0;1;0;11;1729;2382
"SK Weiden i.d.OPf.";618;309;2;1;0;306;2080;2698
"SK Würzburg";1172;1134;4;0;32;2;3419;4591
