"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Aichach-Friedberg";"2021";"01";173;0;0
"LK Aichach-Friedberg";"2021";"02";87;0;0
"LK Aichach-Friedberg";"2021";"03";103;0;0
"LK Aichach-Friedberg";"2021";"04";86;1;0
"LK Aichach-Friedberg";"2021";"05";48;3;0
"LK Aichach-Friedberg";"2021";"06";30;1;0
"LK Aichach-Friedberg";"2021";"07";36;2;0
"LK Aichach-Friedberg";"2021";"08";31;0;2
"LK Aichach-Friedberg";"2021";"09";21;12;4
"LK Aichach-Friedberg";"2021";"10";25;27;1
"LK Aichach-Friedberg";"2021";"11";42;80;0
"LK Aichach-Friedberg";"2021";"12";58;77;3
"LK Aichach-Friedberg";"2021";"13";35;113;0
"LK Aichach-Friedberg";"2021";"14";46;101;2
"LK Aichach-Friedberg";"2021";"15";79;156;0
"LK Aichach-Friedberg";"2021";"16";68;235;2
"LK Aichach-Friedberg";"2021";"17";48;127;0
"LK Aichach-Friedberg";"2021";"18";37;98;0
"LK Aichach-Friedberg";"2021";"19";24;57;0
"LK Aichach-Friedberg";"2021";"20";12;34;0
"LK Aichach-Friedberg";"2021";"21";9;15;0
"LK Aichach-Friedberg";"2021";"22";7;19;0
"LK Aichach-Friedberg";"2021";"23";7;20;0
"LK Aichach-Friedberg";"2021";"24";5;6;0
"LK Aichach-Friedberg";"2021";"25";1;3;0
"LK Aichach-Friedberg";"2021";"26";0;1;0
"LK Aichach-Friedberg";"2021";"27";1;4;0
"LK Aichach-Friedberg";"2021";"28";6;21;4
"LK Aichach-Friedberg";"2021";"29";12;9;8
"LK Aichach-Friedberg";"2021";"30";8;3;1
"LK Aichach-Friedberg";"2021";"31";6;5;1
"LK Aichach-Friedberg";"2021";"32";16;16;4
"LK Aichach-Friedberg";"2021";"33";10;21;0
"LK Aichach-Friedberg";"2021";"34";31;72;0
"LK Aichach-Friedberg";"2021";"35";48;86;0
"LK Aichach-Friedberg";"2021";"36";41;54;1
"LK Aichach-Friedberg";"2021";"37";26;78;0
"LK Aichach-Friedberg";"2021";"38";39;58;0
"LK Aichach-Friedberg";"2021";"39";38;92;1
"LK Aichach-Friedberg";"2021";"40";50;67;1
"LK Aichach-Friedberg";"2021";"41";97;45;1
"LK Aichach-Friedberg";"2021";"42";157;41;0
"LK Aichach-Friedberg";"2021";"43";209;98;0
"LK Aichach-Friedberg";"2021";"44";395;56;0
"LK Aichach-Friedberg";"2021";"45";599;61;0
"LK Aichach-Friedberg";"2021";"46";722;56;0
"LK Altötting";"2021";"01";142;0;1
"LK Altötting";"2021";"02";170;0;0
"LK Altötting";"2021";"03";142;0;1
"LK Altötting";"2021";"04";105;2;0
"LK Altötting";"2021";"05";118;3;4
"LK Altötting";"2021";"06";64;5;11
"LK Altötting";"2021";"07";31;4;52
"LK Altötting";"2021";"08";44;34;65
"LK Altötting";"2021";"09";31;44;31
"LK Altötting";"2021";"10";24;59;48
"LK Altötting";"2021";"11";24;76;16
"LK Altötting";"2021";"12";24;106;15
"LK Altötting";"2021";"13";27;139;4
"LK Altötting";"2021";"14";56;208;4
"LK Altötting";"2021";"15";53;192;2
"LK Altötting";"2021";"16";36;190;16
"LK Altötting";"2021";"17";50;185;0
"LK Altötting";"2021";"18";33;126;1
"LK Altötting";"2021";"19";13;82;0
"LK Altötting";"2021";"20";7;61;0
"LK Altötting";"2021";"21";7;43;0
"LK Altötting";"2021";"22";9;17;0
"LK Altötting";"2021";"23";2;10;0
"LK Altötting";"2021";"24";2;0;0
"LK Altötting";"2021";"25";4;0;1
"LK Altötting";"2021";"26";0;4;0
"LK Altötting";"2021";"27";0;10;0
"LK Altötting";"2021";"28";1;14;1
"LK Altötting";"2021";"29";0;4;0
"LK Altötting";"2021";"30";1;5;0
"LK Altötting";"2021";"31";1;14;0
"LK Altötting";"2021";"32";3;36;0
"LK Altötting";"2021";"33";23;67;0
"LK Altötting";"2021";"34";20;113;0
"LK Altötting";"2021";"35";26;93;0
"LK Altötting";"2021";"36";25;121;0
"LK Altötting";"2021";"37";16;132;0
"LK Altötting";"2021";"38";10;76;0
"LK Altötting";"2021";"39";16;89;0
"LK Altötting";"2021";"40";12;100;0
"LK Altötting";"2021";"41";30;141;0
"LK Altötting";"2021";"42";106;230;0
"LK Altötting";"2021";"43";130;261;1
"LK Altötting";"2021";"44";202;444;0
"LK Altötting";"2021";"45";291;544;1
"LK Altötting";"2021";"46";445;604;0
"LK Amberg-Sulzbach";"2021";"01";95;0;0
"LK Amberg-Sulzbach";"2021";"02";66;0;0
"LK Amberg-Sulzbach";"2021";"03";53;1;1
"LK Amberg-Sulzbach";"2021";"04";34;15;1
"LK Amberg-Sulzbach";"2021";"05";41;21;2
"LK Amberg-Sulzbach";"2021";"06";38;45;1
"LK Amberg-Sulzbach";"2021";"07";38;57;2
"LK Amberg-Sulzbach";"2021";"08";60;136;1
"LK Amberg-Sulzbach";"2021";"09";45;110;0
"LK Amberg-Sulzbach";"2021";"10";28;132;4
"LK Amberg-Sulzbach";"2021";"11";124;111;0
"LK Amberg-Sulzbach";"2021";"12";135;129;0
"LK Amberg-Sulzbach";"2021";"13";86;76;4
"LK Amberg-Sulzbach";"2021";"14";65;55;16
"LK Amberg-Sulzbach";"2021";"15";72;62;8
"LK Amberg-Sulzbach";"2021";"16";43;69;36
"LK Amberg-Sulzbach";"2021";"17";18;26;35
"LK Amberg-Sulzbach";"2021";"18";31;23;23
"LK Amberg-Sulzbach";"2021";"19";22;30;13
"LK Amberg-Sulzbach";"2021";"20";12;21;5
"LK Amberg-Sulzbach";"2021";"21";5;15;1
"LK Amberg-Sulzbach";"2021";"22";7;13;2
"LK Amberg-Sulzbach";"2021";"23";1;6;1
"LK Amberg-Sulzbach";"2021";"24";0;1;0
"LK Amberg-Sulzbach";"2021";"27";2;0;1
"LK Amberg-Sulzbach";"2021";"28";3;12;1
"LK Amberg-Sulzbach";"2021";"29";0;10;0
"LK Amberg-Sulzbach";"2021";"30";1;4;0
"LK Amberg-Sulzbach";"2021";"31";2;6;0
"LK Amberg-Sulzbach";"2021";"32";3;17;5
"LK Amberg-Sulzbach";"2021";"33";4;15;1
"LK Amberg-Sulzbach";"2021";"34";5;17;0
"LK Amberg-Sulzbach";"2021";"35";4;27;0
"LK Amberg-Sulzbach";"2021";"36";8;24;0
"LK Amberg-Sulzbach";"2021";"37";9;41;0
"LK Amberg-Sulzbach";"2021";"38";8;37;0
"LK Amberg-Sulzbach";"2021";"39";4;25;0
"LK Amberg-Sulzbach";"2021";"40";13;43;0
"LK Amberg-Sulzbach";"2021";"41";30;77;2
"LK Amberg-Sulzbach";"2021";"42";128;78;3
"LK Amberg-Sulzbach";"2021";"43";158;75;0
"LK Amberg-Sulzbach";"2021";"44";211;92;4
"LK Amberg-Sulzbach";"2021";"45";440;48;1
"LK Amberg-Sulzbach";"2021";"46";189;29;0
"LK Ansbach";"2021";"01";225;1;18
"LK Ansbach";"2021";"02";270;0;10
"LK Ansbach";"2021";"03";178;1;2
"LK Ansbach";"2021";"04";199;0;9
"LK Ansbach";"2021";"05";200;1;21
"LK Ansbach";"2021";"06";92;2;18
"LK Ansbach";"2021";"07";82;18;24
"LK Ansbach";"2021";"08";98;28;64
"LK Ansbach";"2021";"09";51;62;62
"LK Ansbach";"2021";"10";73;90;20
"LK Ansbach";"2021";"11";69;119;18
"LK Ansbach";"2021";"12";95;215;36
"LK Ansbach";"2021";"13";148;159;21
"LK Ansbach";"2021";"14";168;186;14
"LK Ansbach";"2021";"15";203;223;7
"LK Ansbach";"2021";"16";219;176;17
"LK Ansbach";"2021";"17";183;121;9
"LK Ansbach";"2021";"18";132;72;6
"LK Ansbach";"2021";"19";76;47;3
"LK Ansbach";"2021";"20";44;26;4
"LK Ansbach";"2021";"21";33;15;1
"LK Ansbach";"2021";"22";21;10;0
