"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"68704";"64668";"7";"1422";"134801"
"'6-11";"145033";"130222";"16";"3598";"278869"
"'12-15";"81705";"74870";"15";"1409";"157999"
"16-19";"80064";"79914";"17";"1169";"161164"
"20-34";"329639";"329683";"45";"5133";"664500"
"35-59";"481342";"511663";"54";"6922";"999981"
"60-79";"135728";"135080";"12";"1413";"272233"
"80+";"34832";"62360";"3";"546";"97741"
"unbekannt";"711";"756";"1";"75";"1543"
"Gesamt";"1357758";"1389216";"170";"21687";"2768831"
