"datum";"t7inz1"
2021-07-22;0,25
2021-07-29;0,72
2021-08-05;0,83
2021-08-12;1,18
2021-08-19;1,38
2021-08-26;2,19
2021-08-27;1,91
2021-08-30;1,88
2021-08-31;1,94
2021-09-01;2,16
2021-09-02;2,13
2021-09-03;2,08
2021-09-06;1,86
2021-09-07;2,16
2021-09-08;2,45
2021-09-09;2,51
2021-09-10;2,62
2021-09-13;2,18
2021-09-14;2,37
2021-09-15;2,45
2021-09-16;2,24
2021-09-17;2,1
2021-09-18;2,24
2021-09-19;2,22
2021-09-20;2,16
2021-09-21;1,99
2021-09-22;2,08
2021-09-23;2,07
2021-09-24;1,88
2021-09-25;1,78
2021-09-26;1,8
2021-09-27;1,78
2021-09-28;1,81
2021-09-29;1,86
2021-09-30;2,11
2021-10-01;2
2021-10-02;2,11
2021-10-03;2,26
2021-10-04;2,26
2021-10-05;2,24
2021-10-06;2,24
2021-10-07;1,95
2021-10-08;1,86
2021-10-09;1,91
2021-10-10;1,72
2021-10-11;1,65
2021-10-12;1,88
2021-10-13;1,97
2021-10-14;2,16
2021-10-15;2,29
2021-10-16;2,34
2021-10-17;2,3
2021-10-18;2,16
2021-10-19;2,07
2021-10-20;2,21
2021-10-21;2,35
2021-10-22;2,27
2021-10-23;2,3
2021-10-24;2,38
2021-10-25;2,43
2021-10-26;3,04
2021-10-27;3,5
2021-10-28;3,62
2021-10-29;3,73
2021-10-30;3,62
2021-10-31;3,53
2021-11-01;3,59
2021-11-02;3,53
2021-11-03;3,61
2021-11-04;3,89
2021-11-05;4,04
2021-11-06;4,1
2021-11-07;3,75
2021-11-08;3,75
2021-11-09;3,83
2021-11-10;4,05
2021-11-11;3,89
2021-11-12;3,78
2021-11-13;3,72
2021-11-14;3,81
2021-11-15;3,8
2021-11-16;4,42
2021-11-17;4,51
2021-11-18;4,8
