Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3778;1006;166;44.2;0;0
m;10-19;7140;1793.3;234;58.8;0;0
m;20-29;12510;2537;444;90;2;0.4
m;30-39;10353;2136.5;419;86.5;6;1.2
m;40-49;9190;1917.4;344;71.8;21;4.4
m;50-59;11080;1670.6;449;67.7;49;7.4
m;60-69;6296;1274.2;288;58.3;194;39.3
m;70-79;3652;1052.9;173;49.9;397;114.5
m;80-89;3463;1813.7;204;106.8;788;412.7
m;90+;888;4088.2;69;317.7;287;1321.3
w;0-9;3464;972.4;160;44.9;0;0
w;10-19;7086;1897.3;269;72;0;0
w;20-29;12278;2771.9;461;104.1;2;0.5
w;30-39;10160;2176.8;394;84.4;1;0.2
w;40-49;10485;2164.4;419;86.5;12;2.5
w;50-59;12091;1823.7;534;80.5;33;5
w;60-69;6237;1202.2;259;49.9;96;18.5
w;70-79;3785;949.4;179;44.9;212;53.2
w;80-89;6226;2203.8;377;133.4;760;269
w;90+;3054;5159;203;342.9;529;893.6
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;1;;0;
d;40-49;2;;1;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
