Altersgruppe;Meldewoche;"Anzahl Fälle";Jahr
0-9;;0;
0-9;;1;
0-9;;2;
0-9;;16;
0-9;;20;
0-9;;33;
0-9;;32;
0-9;;18;
0-9;;21;
0-9;;9;
0-9;;18;
0-9;;17;
0-9;;22;
0-9;;22;
0-9;;68;
0-9;;44;
0-9;;56;
0-9;;23;
0-9;;24;
0-9;;4;
0-9;;20;
0-9;;14;
0-9;;18;
0-9;;31;
0-9;;34;
0-9;;65;
0-9;;52;
0-9;;51;
0-9;;44;
0-9;;59;
0-9;;50;
0-9;;62;
0-9;;90;
0-9;;147;
0-9;;209;
0-9;;392;
0-9;;530;
0-9;;530;
0-9;;494;
0-9;;417;
0-9;;368;
0-9;;449;
0-9;;492;
0-9;;372;
0-9;;254;
0-9;;406;
0-9;;424;
0-9;;392;
0-9;;330;
0-9;;344;
0-9;;366;
0-9;;367;
0-9;;401;
0-9;;470;
0-9;;90;
10-19;;0;
10-19;;0;
10-19;;6;
10-19;;55;
10-19;;94;
10-19;;97;
10-19;;83;
10-19;;48;
10-19;;44;
10-19;;22;
10-19;;22;
10-19;;19;
10-19;;21;
10-19;;57;
10-19;;92;
10-19;;55;
10-19;;67;
10-19;;31;
10-19;;29;
10-19;;10;
10-19;;25;
10-19;;24;
10-19;;47;
10-19;;70;
10-19;;68;
10-19;;95;
10-19;;117;
10-19;;77;
10-19;;97;
10-19;;180;
10-19;;177;
10-19;;174;
10-19;;225;
10-19;;344;
10-19;;484;
10-19;;894;
10-19;;1138;
10-19;;1071;
10-19;;999;
10-19;;796;
10-19;;725;
10-19;;837;
10-19;;853;
10-19;;627;
10-19;;578;
10-19;;802;
10-19;;761;
10-19;;588;
10-19;;500;
10-19;;468;
10-19;;495;
10-19;;502;
10-19;;622;
10-19;;566;
10-19;;127;
20-29;;0;
20-29;;4;
20-29;;50;
20-29;;193;
20-29;;309;
20-29;;272;
20-29;;257;
20-29;;158;
20-29;;139;
20-29;;71;
20-29;;78;
20-29;;38;
20-29;;78;
20-29;;107;
20-29;;115;
20-29;;76;
20-29;;75;
20-29;;42;
20-29;;25;
20-29;;20;
20-29;;48;
20-29;;66;
20-29;;92;
20-29;;103;
20-29;;129;
20-29;;175;
20-29;;142;
20-29;;154;
20-29;;180;
20-29;;240;
20-29;;212;
20-29;;261;
20-29;;371;
20-29;;674;
20-29;;1015;
20-29;;1513;
20-29;;1674;
20-29;;1519;
20-29;;1430;
20-29;;1131;
20-29;;1104;
20-29;;1373;
20-29;;1510;
20-29;;1326;
20-29;;1226;
20-29;;1717;
20-29;;1335;
20-29;;1082;
20-29;;929;
20-29;;829;
20-29;;791;
20-29;;907;
20-29;;901;
20-29;;844;
20-29;;210;
30-39;;0;
30-39;;8;
30-39;;55;
30-39;;215;
30-39;;313;
30-39;;274;
30-39;;213;
30-39;;140;
30-39;;110;
30-39;;61;
30-39;;57;
30-39;;51;
30-39;;86;
30-39;;86;
30-39;;62;
30-39;;58;
30-39;;47;
30-39;;40;
30-39;;29;
30-39;;14;
30-39;;56;
30-39;;42;
30-39;;53;
30-39;;75;
30-39;;99;
30-39;;120;
30-39;;103;
30-39;;93;
30-39;;98;
30-39;;144;
30-39;;157;
30-39;;199;
30-39;;332;
30-39;;483;
30-39;;725;
30-39;;1165;
30-39;;1310;
30-39;;1216;
30-39;;1172;
30-39;;1006;
30-39;;988;
30-39;;1124;
30-39;;1358;
30-39;;1154;
30-39;;1091;
30-39;;1407;
30-39;;1079;
30-39;;946;
30-39;;848;
30-39;;774;
30-39;;810;
30-39;;741;
30-39;;804;
30-39;;810;
30-39;;213;
40-49;;0;
40-49;;8;
40-49;;89;
40-49;;266;
40-49;;317;
40-49;;287;
40-49;;217;
40-49;;136;
40-49;;77;
40-49;;48;
40-49;;63;
40-49;;44;
40-49;;83;
40-49;;59;
40-49;;67;
40-49;;46;
40-49;;41;
40-49;;46;
40-49;;34;
40-49;;18;
40-49;;39;
40-49;;49;
40-49;;52;
40-49;;59;
40-49;;75;
40-49;;102;
40-49;;109;
40-49;;78;
40-49;;87;
40-49;;160;
40-49;;138;
40-49;;202;
40-49;;323;
40-49;;414;
40-49;;703;
40-49;;1076;
40-49;;1218;
40-49;;1206;
40-49;;1269;
