Altersgruppe;"Anzahl Fälle";Meldewoche;Jahr
0-9;0;9;2020
0-9;1;10;2020
0-9;2;11;2020
0-9;16;12;2020
0-9;20;13;2020
0-9;33;14;2020
0-9;32;15;2020
0-9;18;16;2020
0-9;21;17;2020
0-9;9;18;2020
0-9;18;19;2020
0-9;17;20;2020
0-9;22;21;2020
0-9;22;22;2020
0-9;68;23;2020
0-9;44;24;2020
0-9;56;25;2020
0-9;23;26;2020
0-9;24;27;2020
0-9;4;28;2020
0-9;20;29;2020
0-9;14;30;2020
0-9;18;31;2020
0-9;31;32;2020
0-9;34;33;2020
0-9;65;34;2020
0-9;52;35;2020
0-9;51;36;2020
0-9;44;37;2020
0-9;59;38;2020
0-9;50;39;2020
0-9;62;40;2020
0-9;90;41;2020
0-9;147;42;2020
0-9;209;43;2020
0-9;391;44;2020
0-9;530;45;2020
0-9;530;46;2020
0-9;494;47;2020
0-9;417;48;2020
0-9;369;49;2020
0-9;449;50;2020
0-9;491;51;2020
0-9;371;52;2020
0-9;254;53;2020
0-9;406;1;2021
0-9;424;2;2021
0-9;392;3;2021
0-9;331;4;2021
0-9;345;5;2021
0-9;366;6;2021
0-9;367;7;2021
0-9;400;8;2021
0-9;470;9;2021
0-9;597;10;2021
0-9;822;11;2021
0-9;1062;12;2021
0-9;860;13;2021
0-9;757;14;2021
0-9;1130;15;2021
0-9;504;16;2021
10-19;0;9;2020
10-19;0;10;2020
10-19;6;11;2020
10-19;55;12;2020
10-19;94;13;2020
10-19;97;14;2020
10-19;83;15;2020
10-19;48;16;2020
10-19;44;17;2020
10-19;22;18;2020
10-19;22;19;2020
10-19;19;20;2020
10-19;21;21;2020
10-19;57;22;2020
10-19;92;23;2020
10-19;55;24;2020
10-19;67;25;2020
10-19;31;26;2020
10-19;29;27;2020
10-19;10;28;2020
10-19;25;29;2020
10-19;24;30;2020
10-19;47;31;2020
10-19;70;32;2020
10-19;68;33;2020
10-19;95;34;2020
10-19;117;35;2020
10-19;77;36;2020
10-19;97;37;2020
10-19;180;38;2020
10-19;177;39;2020
10-19;174;40;2020
10-19;225;41;2020
10-19;344;42;2020
10-19;484;43;2020
10-19;894;44;2020
10-19;1138;45;2020
10-19;1071;46;2020
10-19;1001;47;2020
10-19;796;48;2020
10-19;725;49;2020
10-19;837;50;2020
10-19;854;51;2020
10-19;627;52;2020
10-19;580;53;2020
10-19;803;1;2021
10-19;763;2;2021
10-19;588;3;2021
10-19;500;4;2021
10-19;470;5;2021
10-19;494;6;2021
10-19;502;7;2021
10-19;625;8;2021
10-19;568;9;2021
10-19;717;10;2021
10-19;922;11;2021
10-19;1098;12;2021
10-19;1007;13;2021
10-19;1082;14;2021
10-19;1609;15;2021
10-19;578;16;2021
20-29;0;9;2020
20-29;4;10;2020
20-29;50;11;2020
20-29;193;12;2020
20-29;309;13;2020
20-29;272;14;2020
20-29;257;15;2020
20-29;158;16;2020
20-29;139;17;2020
20-29;71;18;2020
20-29;78;19;2020
20-29;38;20;2020
20-29;78;21;2020
20-29;107;22;2020
20-29;115;23;2020
20-29;76;24;2020
20-29;75;25;2020
20-29;42;26;2020
20-29;25;27;2020
20-29;20;28;2020
20-29;48;29;2020
20-29;66;30;2020
20-29;92;31;2020
20-29;103;32;2020
20-29;129;33;2020
20-29;175;34;2020
20-29;142;35;2020
20-29;154;36;2020
20-29;180;37;2020
20-29;240;38;2020
20-29;212;39;2020
20-29;261;40;2020
20-29;371;41;2020
20-29;674;42;2020
20-29;1015;43;2020
20-29;1512;44;2020
20-29;1673;45;2020
20-29;1517;46;2020
20-29;1430;47;2020
20-29;1132;48;2020
20-29;1103;49;2020
20-29;1373;50;2020
20-29;1510;51;2020
20-29;1326;52;2020
20-29;1227;53;2020
20-29;1716;1;2021
20-29;1334;2;2021
20-29;1084;3;2021
20-29;931;4;2021
20-29;833;5;2021
20-29;792;6;2021
20-29;913;7;2021
20-29;907;8;2021
20-29;859;9;2021
20-29;1095;10;2021
20-29;1302;11;2021
20-29;1658;12;2021
20-29;1433;13;2021
20-29;1500;14;2021
20-29;1671;15;2021
20-29;790;16;2021
30-39;0;9;2020
30-39;8;10;2020
30-39;55;11;2020
30-39;215;12;2020
30-39;312;13;2020
30-39;274;14;2020
30-39;213;15;2020
30-39;140;16;2020
30-39;110;17;2020
