date	incidence
2022-01-29	8.1
2022-01-28	7.7
2022-01-27	7.4
2022-01-26	7.3
2022-01-25	6.9
2022-01-24	6.6
2022-01-23	6.5
2022-01-22	6.3
2022-01-21	6.1
2022-01-20	5.9
2022-01-19	5.6
2022-01-18	5.3
2022-01-17	4.9
2022-01-16	4.8
2022-01-15	4.7
2022-01-14	4.7
2022-01-13	4.7
2022-01-12	4.6
2022-01-11	4.6
2022-01-10	4.6
2022-01-09	4.5
2022-01-08	4.5
2022-01-07	4.3
2022-01-06	4.5
2022-01-05	4.6
2022-01-04	4.8
2022-01-03	4.7
2022-01-02	4.6
2022-01-01	4.4
2021-12-31	4.4
2021-12-30	4.4
2021-12-29	4.2
2021-12-28	4.1
2021-12-27	4.1
2021-12-26	4.2
2021-12-25	4.5
2021-12-24	4.8
2021-12-23	4.9
2021-12-22	5.1
2021-12-21	5.3
2021-12-20	5.7
2021-12-19	5.8
2021-12-18	5.9
2021-12-17	6.0
2021-12-16	6.0
2021-12-15	6.4
2021-12-14	6.3
2021-12-13	6.3
2021-12-12	6.2
2021-12-11	6.1
2021-12-10	6.1
2021-12-09	5.9
2021-12-08	5.7
2021-12-07	5.8
2021-12-06	5.9
2021-12-05	6.2
2021-12-04	6.7
2021-12-03	7.0
2021-12-02	7.2
2021-12-01	7.3
2021-11-30	7.6
2021-11-29	7.4
2021-11-28	7.2
2021-11-27	6.9
2021-11-26	6.7
2021-11-25	6.6
2021-11-24	6.3
2021-11-23	5.7
2021-11-22	5.6
2021-11-21	5.3
2021-11-20	5.0
2021-11-19	4.8
2021-11-18	4.7
2021-11-17	4.6
2021-11-16	4.7
