Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
11.02.2021	3	9	12	21	19	31	22	12	14	5
10.02.2021	4	8	12	22	17	25	21	12	19	7
09.02.2021	9	6	14	25	20	27	23	13	18	3
08.02.2021	9	11	16	25	20	24	19	10	18	4
07.02.2021	10	18	21	26	31	30	19	14	16	3
06.02.2021	10	18	21	26	31	30	19	14	16	3
05.02.2021	10	18	21	26	31	30	19	14	16	3
04.02.2021	11	21	28	30	40	28	20	17	16	5
03.02.2021	16	21	37	32	47	36	24	19	16	3
02.02.2021	13	23	36	25	45	39	21	18	19	3
01.02.2021	18	23	38	32	46	47	23	19	19	2
31.01.2021	20	20	43	39	40	48	23	20	25	7
30.01.2021	20	20	43	39	40	48	23	20	25	7
29.01.2021	20	20	43	39	40	48	23	20	25	7
28.01.2021	22	20	45	39	34	54	23	22	25	5
27.01.2021	17	23	46	42	29	57	22	19	24	6
26.01.2021	18	25	45	52	28	50	29	18	21	6
25.01.2021	17	25	51	47	26	52	35	19	23	6
24.01.2021	20	28	65	49	38	63	41	24	23	2
23.01.2021	20	28	65	49	38	63	41	24	23	2
22.01.2021	20	28	65	49	38	63	41	24	23	2
21.01.2021	23	28	68	51	44	70	41	21	24	3
20.01.2021	23	31	65	53	49	67	41	21	26	3
19.01.2021	24	35	66	54	57	84	36	23	27	3
18.01.2021	21	30	73	55	61	79	46	23	30	3
17.01.2021	21	34	66	44	54	76	45	20	25	5
16.01.2021	21	34	66	44	54	76	45	20	25	5
15.01.2021	21	34	66	44	54	76	45	20	25	5
14.01.2021	13	38	64	43	50	73	50	21	30	5
13.01.2021	13	35	71	47	46	85	49	26	31	5
12.01.2021	11	31	76	40	41	85	55	27	36	7
11.01.2021	12	40	63	39	42	83	41	30	33	7
10.01.2021	6	27	47	34	34	73	37	26	28	5
09.01.2021	6	27	47	34	34	73	37	26	28	5
08.01.2021	9	33	57	43	46	96	47	30	38	7
07.01.2021	9	25	45	34	40	78	36	27	30	6
06.01.2021	8	21	30	21	33	55	32	20	23	5
05.01.2021	11	24	29	31	35	55	37	19	19	4
04.01.2021	17	34	34	35	34	66	43	17	21	4
03.01.2021	18	34	35	39	33	63	39	18	32	5
02.01.2021	18	34	35	39	33	63	39	18	32	5
01.01.2021	18	35	40	40	32	65	41	18	33	3
31.12.2020	18	35	40	40	32	65	41	18	33	3
30.12.2020	18	35	40	40	32	65	41	18	33	3
29.12.2020	15	30	44	39	40	61	36	18	36	4
28.12.2020	10	18	45	37	47	60	29	21	35	6
27.12.2020	14	26	62	54	68	75	34	22	30	8
26.12.2020	14	26	62	54	68	75	34	22	30	8
25.12.2020	11	19	47	44	57	50	22	18	20	8
24.12.2020	14	22	57	48	68	60	29	21	22	8
23.12.2020	19	29	71	62	78	80	38	27	23	9
22.12.2020	26	31	67	63	76	72	37	26	18	9
21.12.2020	27	26	63	65	69	64	36	22	16	7
20.12.2020	31	32	59	57	56	63	32	23	16	5
19.12.2020	31	32	59	57	56	63	32	23	16	5
18.12.2020	31	32	59	57	56	63	32	23	15	5
17.12.2020	31	36	61	65	54	65	29	22	15	6
16.12.2020	33	39	59	60	47	58	26	21	15	5
15.12.2020	27	43	65	57	49	58	22	19	15	3
14.12.2020	23	46	67	65	52	68	28	21	15	3
13.12.2020	24	40	63	65	63	71	32	22	14	4
12.12.2020	24	40	63	65	63	71	32	22	14	4
11.12.2020	24	40	63	65	63	71	32	22	14	4
10.12.2020	22	35	62	67	64	64	33	24	15	8
09.12.2020	17	35	58	63	72	63	32	22	15	8
08.12.2020	25	33	54	65	63	78	35	22	15	11
07.12.2020	25	33	60	55	62	73	30	18	15	12
06.12.2020	21	33	68	52	50	69	32	21	23	11
05.12.2020	21	33	68	52	50	69	32	21	23	11
04.12.2020	21	33	68	52	50	69	32	21	23	11
03.12.2020	23	37	72	53	52	76	32	22	24	6
02.12.2020	22	28	67	55	50	69	37	27	28	7
01.12.2020	15	25	73	50	54	61	34	28	32	5
30.11.2020	23	26	70	54	53	63	39	32	32	5
29.11.2020	20	34	72	55	55	82	51	33	29	6
28.11.2020	20	34	72	55	55	82	51	33	29	6
27.11.2020	20	34	72	55	55	82	51	33	29	6
26.11.2020	19	37	70	50	49	86	52	36	33	8
25.11.2020	22	47	75	50	47	97	44	32	31	7
24.11.2020	23	54	73	54	58	108	52	37	38	10
23.11.2020	17	60	66	61	64	103	52	38	39	9
22.11.2020	30	60	67	73	74	88	41	35	42	12
21.11.2020	30	60	67	73	74	88	41	35	42	12
20.11.2020	30	60	67	73	74	88	41	35	42	12
19.11.2020	30	66	63	73	76	81	40	31	38	12
18.11.2020	28	63	74	75	82	84	42	31	42	15
17.11.2020	27	60	76	72	73	82	38	23	32	13
16.11.2020	26	55	79	63	69	88	33	20	31	15
15.11.2020	13	47	73	51	63	90	24	15	25	15
14.11.2020	13	47	73	51	63	90	24	15	25	15
13.11.2020	13	47	73	51	63	90	24	15	25	15
12.11.2020	14	38	76	48	63	91	27	13	24	13
11.11.2020	16	45	71	43	67	83	30	14	19	10
10.11.2020	15	44	65	35	58	68	25	16	19	9
