Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	338	4,2	1.435,9	175	4,5	1.451,1	162	3,9	1.411,2
10-19	661	8,2	2.630,8	343	8,7	2.601,2	316	7,6	2.646,8
20-29	1.286	15,9	4.663,1	657	16,7	4.478,5	623	15,0	4.826,5
30-39	1.057	13,0	3.494,9	519	13,2	3.414,5	530	12,8	3.523,0
40-49	1.140	14,1	3.661,1	487	12,4	3.199,5	647	15,6	4.064,8
50-59	1.596	19,7	3.555,8	799	20,4	3.560,9	795	19,1	3.541,7
60-69	830	10,2	2.393,7	433	11,0	2.519,8	395	9,5	2.258,3
70-79	521	6,4	2.378,0	259	6,6	2.535,0	262	6,3	2.240,8
80-89	538	6,6	3.784,7	213	5,4	3.702,4	325	7,8	3.840,7
90+	135	1,7	6.010,7	36	0,9	6.239,2	98	2,4	5.871,8
Gesamt (inkl. unbekannt)	8.105	100,0	3.171,5	3.923	100,0	3.101,0	4.154	100,0	3.218,9
Anteil Männer/Frauen (%)				48,4			51,3		
