Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	1	0,4	0,2	1	0,6	0,3	-	-	-
20-29	-	-	-	-	-	-	-	-	-
30-39	-	-	-	-	-	-	-	-	-
40-49	3	1,1	0,3	2	1,3	0,4	1	0,8	0,2
50-59	17	6,0	1,1	12	7,5	1,5	5	4,1	0,6
60-69	34	12,1	4,1	19	11,9	4,4	15	12,2	3,9
70-79	61	21,6	11,8	33	20,8	12,9	28	22,8	10,7
80-89	125	44,3	23,8	75	47,2	35,5	50	40,7	15,9
90+	41	14,5	31,5	17	10,7	48,6	24	19,5	25,5
Gesamt (inkl. unbekannt)	282	100,0	3,5	159	100,0	4,1	123	100,0	3,0
Anteil Männer/Frauen (%)				56,4			43,6		
