Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
14.03.2021	89	110	203	180	146	175	79	57	35	6
13.03.2021	83	102	188	165	140	163	75	51	34	8
12.03.2021	88	97	173	153	135	159	70	49	35	7
11.03.2021	87	97	179	150	137	149	66	40	35	7
10.03.2021	69	81	166	144	120	122	54	34	29	11
09.03.2021	57	71	145	142	110	104	48	32	28	10
08.03.2021	60	69	141	128	114	95	53	28	28	10
07.03.2021	56	65	143	128	119	100	52	29	26	11
06.03.2021	64	70	159	134	126	112	58	32	27	10
05.03.2021	61	71	168	145	132	110	63	37	28	12
04.03.2021	59	64	153	141	132	106	65	42	32	12
03.03.2021	57	56	148	143	131	108	66	43	36	9
02.03.2021	62	58	161	151	140	121	67	44	39	11
01.03.2021	61	54	159	150	139	125	59	50	37	13
28.02.2021	58	45	152	140	132	113	56	48	40	10
27.02.2021	58	45	159	140	126	111	52	47	39	9
26.02.2021	53	48	149	131	130	110	52	41	42	7
25.02.2021	48	46	145	130	129	115	48	39	44	10
24.02.2021	48	51	150	121	129	121	50	40	42	9
23.02.2021	49	47	159	122	133	126	54	41	44	8
22.02.2021	43	43	147	113	117	118	48	43	47	7
21.02.2021	47	50	147	118	114	121	52	40	49	10
20.02.2021	43	56	131	119	120	112	55	40	57	14
19.02.2021	43	52	137	121	111	104	55	47	56	13
18.02.2021	40	52	142	118	112	98	55	48	56	12
17.02.2021	46	54	137	120	111	98	58	48	73	23
16.02.2021	44	52	112	102	92	88	57	57	79	26
15.02.2021	53	57	120	109	101	88	62	53	73	27
14.02.2021	52	56	121	114	104	90	64	58	70	26
13.02.2021	53	46	114	109	100	88	62	56	62	23
12.02.2021	49	44	122	110	107	98	59	55	63	28
11.02.2021	51	40	115	110	100	109	62	63	66	36
10.02.2021	49	46	128	118	124	116	67	71	67	38
09.02.2021	46	51	136	129	131	119	70	62	79	50
08.02.2021	39	47	130	123	127	125	69	67	83	51
07.02.2021	35	52	137	121	135	128	73	65	85	50
06.02.2021	39	72	149	124	139	142	71	63	87	50
05.02.2021	42	79	150	116	130	135	68	63	91	51
04.02.2021	44	88	165	123	145	146	78	62	90	49
03.02.2021	41	78	145	105	115	128	67	54	69	38
02.02.2021	42	77	149	101	125	126	63	58	60	30
01.02.2021	41	82	161	107	141	134	66	57	65	36
31.01.2021	38	75	161	105	134	141	64	57	66	37
30.01.2021	34	61	162	106	132	137	67	59	65	37
29.01.2021	30	55	148	107	128	143	68	59	55	36
