Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.640	4,4	1.598,3	871	4,9	1.655,6	763	4,0	1.526,0
10-19	3.064	8,3	3.300,1	1.583	8,9	3.312,3	1.473	7,7	3.269,3
20-29	7.361	19,9	4.441,5	3.468	19,4	4.373,9	3.885	20,4	4.494,2
30-39	6.478	17,5	3.720,8	3.178	17,8	3.692,3	3.290	17,3	3.737,3
40-49	5.658	15,3	3.880,5	2.706	15,2	3.705,0	2.945	15,5	4.047,1
50-59	5.634	15,3	3.555,6	2.867	16,1	3.561,5	2.763	14,5	3.544,4
60-69	2.729	7,4	2.542,8	1.388	7,8	2.728,5	1.335	7,0	2.364,8
70-79	1.845	5,0	2.235,8	890	5,0	2.391,0	953	5,0	2.103,8
80-89	1.838	5,0	3.648,2	736	4,1	3.545,6	1.102	5,8	3.720,1
90+	643	1,7	7.948,1	158	0,9	6.784,0	485	2,6	8.418,7
Gesamt (inkl. unbekannt)	36.933	100,0	3.395,0	17.859	100,0	3.366,6	19.008	100,0	3.410,2
Anteil Männer/Frauen (%)				48,4			51,5		
