Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,7	0,1	-	-	-
30-39	1	0,2	0,0	1	0,4	0,0	-	-	-
40-49	6	1,2	0,1	4	1,4	0,2	2	1,0	0,1
50-59	19	4,0	0,4	16	5,6	0,6	3	1,5	0,1
60-69	36	7,5	1,5	26	9,2	2,1	10	5,1	0,9
70-79	92	19,1	5,6	70	24,6	8,8	22	11,2	2,6
80-89	216	44,9	13,1	125	44,0	18,9	91	46,2	9,2
90+	109	22,7	18,1	40	14,1	27,2	69	35,0	15,1
Gesamt (inkl. unbekannt)	481	100,0	1,5	284	100,0	1,8	197	100,0	1,2
Anteil Männer/Frauen (%)				59,0			41,0		
