Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
22.03.2021	2.009	2.283	3.269	3.224	2.881	2.889	1.611	773	498	122
21.03.2021	1.920	2.244	3.260	3.202	2.835	2.882	1.608	769	500	124
20.03.2021	1.888	2.196	3.201	3.175	2.800	2.864	1.589	756	496	118
19.03.2021	1.845	2.077	3.083	3.081	2.749	2.824	1.547	724	487	125
18.03.2021	1.752	1.962	3.017	2.999	2.621	2.802	1.444	682	476	126
17.03.2021	1.646	1.846	2.974	2.813	2.489	2.725	1.374	699	499	128
16.03.2021	1.523	1.697	2.759	2.616	2.304	2.491	1.270	664	484	125
15.03.2021	1.476	1.626	2.623	2.454	2.193	2.419	1.217	621	493	121
14.03.2021	1.451	1.560	2.552	2.370	2.151	2.359	1.200	631	487	121
13.03.2021	1.406	1.522	2.492	2.304	2.100	2.303	1.175	621	483	123
12.03.2021	1.368	1.474	2.441	2.208	2.021	2.227	1.137	610	481	123
11.03.2021	1.345	1.393	2.343	2.083	1.956	2.114	1.096	581	473	117
10.03.2021	1.264	1.330	2.204	2.063	1.894	1.997	1.072	558	463	110
09.03.2021	1.133	1.242	2.049	1.988	1.788	1.900	1.012	561	474	97
08.03.2021	1.078	1.197	2.070	1.935	1.765	1.855	1.028	577	491	97
07.03.2021	1.047	1.191	2.090	1.923	1.763	1.851	1.035	572	494	101
06.03.2021	1.021	1.198	2.093	1.932	1.766	1.852	1.030	571	498	102
05.03.2021	974	1.193	2.063	1.890	1.769	1.821	1.020	578	507	105
04.03.2021	884	1.182	2.007	1.845	1.750	1.837	1.027	597	532	118
03.03.2021	840	1.150	1.989	1.756	1.750	1.834	1.035	603	538	122
02.03.2021	839	1.160	2.063	1.805	1.840	1.930	1.144	626	577	137
01.03.2021	778	1.107	2.016	1.777	1.808	1.901	1.107	637	561	142
28.02.2021	760	1.076	1.959	1.761	1.791	1.895	1.098	656	574	147
27.02.2021	760	1.058	1.972	1.749	1.787	1.912	1.115	662	570	146
26.02.2021	737	1.062	1.997	1.781	1.775	1.949	1.145	679	582	150
25.02.2021	711	1.022	2.000	1.765	1.758	1.968	1.160	686	599	146
24.02.2021	700	1.005	2.009	1.772	1.740	2.003	1.135	708	628	164
23.02.2021	633	922	1.930	1.654	1.651	1.912	1.062	696	635	167
22.02.2021	612	919	1.873	1.611	1.590	1.876	1.074	707	688	180
21.02.2021	615	937	1.894	1.622	1.576	1.873	1.068	691	704	181
20.02.2021	602	926	1.875	1.635	1.596	1.870	1.067	696	739	188
19.02.2021	596	869	1.783	1.583	1.526	1.773	1.025	673	758	188
18.02.2021	587	860	1.742	1.551	1.542	1.718	1.010	690	769	201
17.02.2021	586	829	1.657	1.560	1.502	1.659	1.015	685	790	213
16.02.2021	602	828	1.619	1.509	1.446	1.628	976	684	780	234
15.02.2021	601	791	1.640	1.480	1.438	1.616	968	650	777	235
14.02.2021	590	789	1.625	1.472	1.437	1.612	978	658	798	239
13.02.2021	573	794	1.600	1.452	1.395	1.585	956	649	768	242
12.02.2021	580	819	1.682	1.527	1.463	1.699	1.015	679	782	245
11.02.2021	627	858	1.721	1.610	1.475	1.753	1.054	689	844	260
10.02.2021	631	914	1.800	1.665	1.571	1.850	1.120	700	918	309
09.02.2021	648	964	1.889	1.799	1.691	1.956	1.212	737	994	342
08.02.2021	668	1.015	1.970	1.868	1.739	2.058	1.269	791	1.028	361
07.02.2021	677	1.035	2.016	1.892	1.796	2.114	1.310	809	1.064	357
06.02.2021	698	1.072	2.080	1.909	1.860	2.174	1.355	822	1.096	368
05.02.2021	696	1.106	2.123	1.944	1.910	2.193	1.395	849	1.138	409
04.02.2021	648	1.114	2.189	2.023	1.985	2.288	1.427	895	1.169	465
03.02.2021	640	1.123	2.250	2.013	1.991	2.336	1.469	922	1.194	475
02.02.2021	631	1.140	2.318	2.020	2.065	2.396	1.469	971	1.298	514
01.02.2021	619	1.153	2.378	2.125	2.120	2.498	1.494	1.003	1.368	528
31.01.2021	623	1.147	2.439	2.187	2.120	2.555	1.516	1.030	1.410	569
30.01.2021	626	1.120	2.424	2.186	2.106	2.541	1.501	1.039	1.413	586
29.01.2021	621	1.136	2.499	2.218	2.137	2.614	1.526	1.089	1.489	619
28.01.2021	682	1.177	2.581	2.252	2.177	2.719	1.593	1.132	1.547	631
27.01.2021	701	1.216	2.672	2.384	2.225	2.828	1.619	1.172	1.612	650
26.01.2021	712	1.299	2.826	2.600	2.337	3.004	1.709	1.196	1.649	653
25.01.2021	745	1.368	2.933	2.678	2.471	3.120	1.763	1.221	1.709	710
24.01.2021	768	1.415	2.969	2.713	2.494	3.156	1.790	1.234	1.732	710
23.01.2021	776	1.435	3.024	2.759	2.517	3.184	1.818	1.238	1.761	713
22.01.2021	802	1.485	3.042	2.843	2.572	3.259	1.840	1.219	1.736	695
21.01.2021	797	1.527	3.216	2.914	2.610	3.298	1.846	1.225	1.760	697
20.01.2021	822	1.571	3.310	3.011	2.694	3.402	1.909	1.254	1.872	758
19.01.2021	856	1.629	3.374	3.068	2.763	3.452	1.942	1.258	1.827	788
18.01.2021	864	1.646	3.497	3.201	2.829	3.535	1.994	1.294	1.881	813
17.01.2021	884	1.699	3.588	3.270	2.942	3.617	2.018	1.337	1.902	822
16.01.2021	880	1.745	3.670	3.311	3.023	3.713	2.022	1.357	1.939	817
15.01.2021	874	1.774	3.782	3.306	3.047	3.695	2.042	1.389	1.983	835
14.01.2021	862	1.870	3.873	3.441	3.179	3.763	2.158	1.452	2.074	877
13.01.2021	878	1.992	4.155	3.680	3.332	3.903	2.236	1.508	2.058	853
12.01.2021	905	2.070	4.500	3.933	3.569	4.156	2.407	1.627	2.202	907
11.01.2021	925	2.137	4.720	4.112	3.639	4.276	2.499	1.702	2.230	893
10.01.2021	918	2.119	4.760	4.196	3.647	4.292	2.536	1.703	2.257	919
09.01.2021	920	2.127	4.794	4.235	3.673	4.310	2.578	1.734	2.275	962
08.01.2021	847	1.983	4.559	4.067	3.508	4.139	2.457	1.691	2.242	943
07.01.2021	778	1.727	4.111	3.667	3.145	3.778	2.210	1.518	2.020	844
06.01.2021	715	1.558	3.729	3.290	2.927	3.503	2.051	1.455	1.896	792
05.01.2021	699	1.523	3.594	3.138	2.890	3.560	2.108	1.423	1.984	784
04.01.2021	710	1.534	3.486	2.991	2.944	3.632	2.162	1.421	1.987	812
03.01.2021	683	1.507	3.464	2.954	2.983	3.728	2.207	1.436	2.028	842
02.01.2021	736	1.540	3.505	2.998	3.027	3.818	2.233	1.469	2.129	873
01.01.2021	757	1.551	3.524	2.998	3.056	3.875	2.256	1.486	2.124	884
31.12.2020	775	1.595	3.561	3.085	3.114	3.986	2.310	1.521	2.188	896
30.12.2020	840	1.612	3.629	3.233	3.224	4.115	2.403	1.516	2.193	917
29.12.2020	927	1.748	3.779	3.399	3.412	4.244	2.473	1.610	2.192	900
28.12.2020	1.041	1.800	3.837	3.499	3.552	4.343	2.500	1.639	2.262	896
27.12.2020	1.183	1.967	4.118	3.691	3.754	4.550	2.640	1.712	2.328	903
26.12.2020	1.214	2.060	4.190	3.824	3.853	4.690	2.710	1.729	2.335	914
25.12.2020	1.355	2.298	4.539	4.187	4.169	5.070	2.943	1.837	2.502	960
24.12.2020	1.516	2.643	5.173	4.682	4.773	5.655	3.270	2.033	2.749	1.056
23.12.2020	1.614	2.891	5.590	5.005	5.136	6.058	3.472	2.169	2.920	1.095
22.12.2020	1.648	2.926	5.440	4.991	4.961	5.947	3.328	2.087	2.875	1.087
21.12.2020	1.652	3.021	5.408	4.955	4.887	5.822	3.290	2.008	2.782	1.070
20.12.2020	1.693	3.072	5.339	4.946	4.805	5.689	3.202	1.988	2.753	1.041
19.12.2020	1.706	3.058	5.304	4.851	4.742	5.588	3.162	1.959	2.686	1.022
18.12.2020	1.737	3.130	5.274	4.817	4.688	5.474	3.088	1.917	2.648	1.031
17.12.2020	1.784	3.194	5.169	4.805	4.688	5.452	3.069	1.906	2.643	1.037
16.12.2020	1.819	3.309	5.103	4.738	4.556	5.321	2.984	1.868	2.619	1.034
15.12.2020	1.778	3.293	5.101	4.556	4.476	5.194	2.852	1.780	2.469	1.006
14.12.2020	1.697	3.278	5.044	4.479	4.390	5.096	2.750	1.753	2.408	949
13.12.2020	1.638	3.259	4.966	4.393	4.379	5.111	2.718	1.715	2.356	958
12.12.2020	1.595	3.248	4.910	4.325	4.322	5.034	2.685	1.680	2.317	912
11.12.2020	1.533	3.210	4.796	4.213	4.273	5.003	2.621	1.617	2.170	851
10.12.2020	1.462	3.100	4.711	4.070	4.003	4.789	2.451	1.519	2.009	817
09.12.2020	1.392	2.991	4.579	3.903	3.914	4.640	2.342	1.423	1.908	805
08.12.2020	1.384	2.993	4.463	3.859	3.842	4.525	2.359	1.401	1.871	767
07.12.2020	1.392	2.935	4.307	3.781	3.780	4.406	2.284	1.369	1.797	776
06.12.2020	1.356	2.936	4.260	3.681	3.681	4.258	2.213	1.316	1.720	724
05.12.2020	1.371	2.915	4.211	3.694	3.668	4.214	2.184	1.323	1.738	712
04.12.2020	1.395	2.955	4.204	3.682	3.664	4.154	2.181	1.345	1.762	720
03.12.2020	1.397	2.971	4.101	3.642	3.679	4.136	2.215	1.319	1.770	696
02.12.2020	1.428	2.977	4.057	3.624	3.696	4.118	2.238	1.323	1.698	624
01.12.2020	1.447	2.992	4.074	3.723	3.737	4.127	2.226	1.322	1.635	575
30.11.2020	1.427	3.086	4.116	3.830	3.801	4.207	2.256	1.309	1.664	551
29.11.2020	1.491	3.244	4.278	4.044	4.025	4.414	2.340	1.350	1.713	590
28.11.2020	1.490	3.258	4.283	4.031	4.060	4.430	2.341	1.367	1.667	612
27.11.2020	1.443	3.219	4.265	4.059	4.037	4.453	2.330	1.313	1.582	567
