Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	30.094	5,2	1.796,7	15.465	5,6	1.795,1	14.290	4,8	1.756,7
10-19	56.358	9,7	3.301,2	28.173	10,2	3.191,7	27.814	9,3	3.373,5
20-29	99.741	17,2	4.559,0	48.269	17,4	4.247,6	50.997	17,0	4.850,3
30-39	86.457	14,9	3.852,4	43.277	15,6	3.818,2	42.796	14,3	3.852,7
40-49	83.963	14,5	3.853,5	39.418	14,2	3.654,9	44.187	14,7	4.015,6
50-59	95.148	16,4	3.242,3	46.938	16,9	3.201,3	47.846	15,9	3.258,4
60-69	50.302	8,7	2.254,3	25.315	9,1	2.353,2	24.812	8,3	2.147,2
70-79	30.592	5,3	1.946,7	14.558	5,2	2.044,1	15.896	5,3	1.850,0
80-89	34.936	6,0	3.367,1	12.854	4,6	3.127,1	21.874	7,3	3.491,4
90+	12.570	2,2	7.016,4	2.913	1,0	6.044,2	9.532	3,2	7.278,8
Gesamt (inkl. unbekannt)	580.877	100,0	3.236,6	277.430	100,0	3.150,5	300.292	100,0	3.285,0
Anteil Männer/Frauen (%)				47,8			51,7		
