Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	30.424	5,2	1.816,4	15.629	5,6	1.814,1	14.446	4,8	1.775,9
10-19	56.762	9,7	3.324,9	28.369	10,2	3.213,9	28.016	9,3	3.398,0
20-29	100.273	17,2	4.583,3	48.547	17,4	4.272,1	51.249	17,0	4.874,2
30-39	87.008	14,9	3.876,9	43.565	15,6	3.843,6	43.055	14,3	3.876,0
40-49	84.478	14,5	3.877,1	39.673	14,2	3.678,5	44.442	14,7	4.038,8
50-59	95.733	16,4	3.262,2	47.277	16,9	3.224,4	48.089	15,9	3.274,9
60-69	50.571	8,7	2.266,4	25.460	9,1	2.366,6	24.936	8,3	2.157,9
70-79	30.736	5,3	1.955,9	14.619	5,2	2.052,7	15.980	5,3	1.859,8
80-89	35.026	6,0	3.375,8	12.888	4,6	3.135,3	21.930	7,3	3.500,3
90+	12.592	2,2	7.028,7	2.923	1,0	6.064,9	9.544	3,2	7.287,9
Gesamt (inkl. unbekannt)	584.330	100,0	3.255,8	279.202	100,0	3.170,6	301.936	100,0	3.303,0
Anteil Männer/Frauen (%)				47,8			51,7	
