Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	89	0,7	0,1	62	0,9	0,2	27	0,4	0,1
50-59	454	3,5	0,5	321	4,8	0,7	132	2,1	0,3
60-69	1.082	8,3	2,3	755	11,2	3,2	323	5,2	1,4
70-79	2.610	20,0	9,1	1.643	24,4	12,1	960	15,3	6,5
80-89	5.901	45,2	17,7	2.958	43,9	24,2	2.920	46,6	13,9
90+	2.884	22,1	23,6	976	14,5	34,8	1.892	30,2	20,4
Gesamt (inkl. unbekannt)	13.059	100,0	2,4	6.741	100,0	2,7	6.267	100,0	2,3
Anteil Männer/Frauen (%)				51,6			48,0		
