
Sterbedatum	Anzahl verstorbener laborbestätigter COVID-19-Fälle nach Sterbedatum
06.02.2021	11
05.02.2021	28
04.02.2021	50
03.02.2021	63
02.02.2021	75
01.02.2021	73
31.01.2021	68
30.01.2021	67
29.01.2021	80
28.01.2021	81
27.01.2021	91
26.01.2021	99
25.01.2021	89
24.01.2021	106
23.01.2021	93
22.01.2021	110
21.01.2021	117
20.01.2021	105
19.01.2021	86
18.01.2021	103
17.01.2021	93
16.01.2021	111
15.01.2021	137
14.01.2021	127
13.01.2021	123
12.01.2021	121
11.01.2021	134
10.01.2021	131
09.01.2021	113
08.01.2021	120
07.01.2021	100
06.01.2021	116
05.01.2021	128
04.01.2021	152
03.01.2021	135
02.01.2021	136
01.01.2021	139
31.12.2020	169
30.12.2020	171
29.12.2020	133
28.12.2020	167
27.12.2020	167
26.12.2020	133
25.12.2020	132
24.12.2020	120
23.12.2020	174
22.12.2020	173
21.12.2020	129
20.12.2020	136
19.12.2020	128
18.12.2020	125
17.12.2020	136
16.12.2020	137
15.12.2020	113
14.12.2020	121
13.12.2020	107
12.12.2020	122
11.12.2020	126
10.12.2020	90
09.12.2020	88
08.12.2020	98
07.12.2020	84
06.12.2020	85
05.12.2020	97
04.12.2020	100
03.12.2020	75
02.12.2020	79
01.12.2020	69
30.11.2020	92
29.11.2020	82
28.11.2020	64
27.11.2020	68
26.11.2020	86
25.11.2020	86
24.11.2020	91
23.11.2020	86
22.11.2020	73
21.11.2020	63
20.11.2020	58
19.11.2020	58
18.11.2020	43
17.11.2020	67
16.11.2020	61
15.11.2020	60
14.11.2020	40
13.11.2020	49
12.11.2020	47
11.11.2020	68
10.11.2020	43
09.11.2020	44
08.11.2020	43
07.11.2020	34
06.11.2020	37
05.11.2020	36
04.11.2020	40
03.11.2020	39
02.11.2020	42
01.11.2020	34
31.10.2020	26
30.10.2020	26
29.10.2020	40
28.10.2020	29
27.10.2020	23
26.10.2020	27
25.10.2020	16
24.10.2020	17
23.10.2020	18
22.10.2020	12
21.10.2020	14
20.10.2020	12
19.10.2020	13
18.10.2020	8
17.10.2020	12
16.10.2020	6
15.10.2020	13
14.10.2020	4
13.10.2020	8
12.10.2020	5
11.10.2020	5
10.10.2020	6
09.10.2020	6
08.10.2020	12
07.10.2020	1
06.10.2020	6
05.10.2020	1
04.10.2020	4
03.10.2020	3
02.10.2020	3
01.10.2020	1
30.09.2020	-
29.09.2020	4
28.09.2020	3
27.09.2020	3
26.09.2020	1
25.09.2020	3
24.09.2020	2
23.09.2020	5
22.09.2020	3
21.09.2020	3
20.09.2020	2
19.09.2020	5
18.09.2020	-
17.09.2020	4
16.09.2020	-
15.09.2020	4
14.09.2020	2
13.09.2020	3
12.09.2020	-
11.09.2020	3
10.09.2020	-
09.09.2020	3
08.09.2020	-
07.09.2020	-
06.09.2020	1
05.09.2020	4
04.09.2020	-
03.09.2020	1
02.09.2020	2
01.09.2020	1
31.08.2020	2
30.08.2020	2
29.08.2020	5
28.08.2020	-
27.08.2020	1
26.08.2020	2
25.08.2020	1
24.08.2020	5
23.08.2020	3
22.08.2020	-
21.08.2020	2
20.08.2020	1
19.08.2020	4
18.08.2020	4
17.08.2020	3
16.08.2020	2
15.08.2020	3
14.08.2020	2
13.08.2020	5
12.08.2020	4
11.08.2020	2
10.08.2020	1
09.08.2020	1
08.08.2020	1
07.08.2020	6
06.08.2020	3
05.08.2020	1
04.08.2020	1
03.08.2020	4
02.08.2020	1
01.08.2020	2
31.07.2020	-
30.07.2020	-
29.07.2020	1
28.07.2020	3
27.07.2020	2
26.07.2020	4
25.07.2020	1
24.07.2020	1
23.07.2020	2
22.07.2020	2
21.07.2020	1
20.07.2020	2
19.07.2020	2
18.07.2020	3
17.07.2020	2
16.07.2020	-
15.07.2020	2
14.07.2020	1
13.07.2020	1
12.07.2020	-
11.07.2020	1
10.07.2020	3
09.07.2020	1
08.07.2020	1
07.07.2020	1
06.07.2020	-
05.07.2020	4
04.07.2020	3
03.07.2020	3
02.07.2020	3
01.07.2020	-
30.06.2020	1
29.06.2020	2
28.06.2020	3
27.06.2020	6
26.06.2020	3
25.06.2020	2
24.06.2020	5
23.06.2020	2
22.06.2020	2
21.06.2020	-
20.06.2020	1
19.06.2020	-
18.06.2020	2
17.06.2020	2
16.06.2020	2
15.06.2020	2
14.06.2020	2
13.06.2020	2
12.06.2020	2
11.06.2020	3
10.06.2020	2
