# currently in treatment
date	hospital	ICU	ventilated
2021-01-13	199	50	35
2021-01-10	187	54	29
2021-01-09	186	50	30
2021-01-08	193	51	32
2021-01-07	200	56	36
2021-01-06	196	60	38
2021-01-03	184	54	32
2021-01-02	189	53	25
2021-01-01	195	55	28
2021-11-30	207	58	30
2021-11-29	203	55	29
2021-11-26	173	42	21
2021-11-25	177	40	21
2021-11-24	167	42	26
2021-11-23	180	29	21
2021-11-22	161	40	22
2021-11-19	129	34	17
2021-11-18	128	33	17
2021-11-17	127	30	18
2021-11-16	124	28	18
2021-11-15	117	29	20
2021-11-12	104	25	21
2021-11-11	108	24	21
2021-11-10	108	26	20
2021-11-09	108	30	19
2021-11-08	98	30	17
2021-11-05	83	25	16
2021-11-04	79	23	15
2021-11-03	79	23	13
2021-11-02	76	20	11
2021-11-01	85	19	9
2021-10-31	73	15	8
