Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2918;777;133;35.4;1;0.3
m;10-19;5777;1450.9;261;65.6;1;0.3
m;20-29;9908;2009.3;557;113;2;0.4
m;30-39;8076;1666.6;466;96.2;5;1
m;40-49;7280;1518.9;422;88;17;3.5
m;50-59;8647;1303.7;557;84;30;4.5
m;60-69;4786;968.6;361;73.1;117;23.7
m;70-79;2660;766.9;221;63.7;252;72.7
m;80-89;2329;1219.8;232;121.5;479;250.9
m;90+;568;2615;76;349.9;159;732
w;0-9;2719;763.2;119;33.4;1;0.3
w;10-19;5678;1520.3;289;77.4;0;0
w;20-29;9536;2152.9;608;137.3;1;0.2
w;30-39;7917;1696.2;564;120.8;1;0.2
w;40-49;8146;1681.5;509;105.1;9;1.9
w;50-59;9232;1392.4;662;99.8;23;3.5
w;60-69;4710;907.9;374;72.1;45;8.7
w;70-79;2713;680.5;240;60.2;130;32.6
w;80-89;4146;1467.5;434;153.6;439;155.4
w;90+;1991;3363.3;249;420.6;315;532.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;0;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
