"Stand 10.11.2020; 0:00 Uhr";;;;;;;;;;;;
;;;;;;;;;;;;
Meldewoche;Gesamt;100+ Jährige;90 - 99 Jährige;80 - 89 Jährige;70 - 79 Jährige;60 - 69 Jährige;50 - 59 Jährige;40 - 49 Jährige;30 - 39 Jährige;20 - 29 Jährige;10-19 Jährige;0 - 9 Jährige
10;892;0;1;17;34;88;207;186;134;144;63;18
11;6433;0;12;120;256;668;1731;1315;1081;871;285;93
12;22427;4;94;686;1194;2490;5691;3895;3805;3451;794;311
13;34026;12;412;2025;2734;4174;7596;5252;5026;4967;1318;504
14;36081;32;1140;3411;3202;4475;7369;5027;4620;4728;1508;565
15;27181;41;1205;3139;2363;2914;5226;3591;3403;3666;1160;470
16;17353;16;831;2109;1484;1746;3123;2196;2184;2529;806;322
17;12384;19;564;1508;1010;1181;2050;1489;1672;1957;592;337
18;7440;7;277;778;627;673;1203;924;1026;1277;399;249
19;6225;1;205;562;481;538;1028;850;909;1027;382;242
20;4725;2;139;424;300;383;727;683;741;801;298;226
21;3614;3;100;279;198;299;514;495;598;663;261;203
22;3201;3;70;198;162;276;475;425;505;605;280;200
23;2354;0;42;127;106;167;291;336;361;450;264;207
24;2343;0;48;114;84;142;281;302;418;491;230;233
25;4088;1;36;107;122;190;499;822;776;765;433;335
26;3202;0;26;85;97;173;465;550;630;579;314;275
27;2694;0;24;76;78;172;341;435;486;574;243;265
28;2420;0;15;56;96;155;288;370;464;463;248;262
29;3018;2;25;64;102;180;383;486;546;609;341;278
30;3934;0;18;85;118;237;535;656;744;787;439;312
31;4817;1;38;129;161;236;635;812;808;1029;616;349
32;6044;2;26;109;147;322;724;937;1026;1347;908;475
33;7935;1;24;136;150;303;796;1210;1344;1998;1284;683
34;9578;1;17;87;163;358;982;1405;1705;2736;1450;666
35;8805;1;28;82;161;375;890;1263;1566;2545;1312;575
36;8598;1;23;85;183;371;940;1254;1585;2400;1196;549
37;9764;1;43;216;296;563;1223;1379;1630;2520;1326;555
38;12253;6;67;298;438;781;1652;1713;2102;2992;1544;644
39;13041;3;91;331;498;838;1857;1754;2305;3019;1627;688
40;15869;4;113;479;651;1127;2304;2233;2665;3473;2027;752
41;26093;6;181;773;1095;1955;4114;3891;4181;5475;3189;1142
42;41973;12;420;1417;1829;3398;6547;5994;6944;8816;4600;1852
43;74630;25;856;2953;3399;6194;12095;11059;12056;14790;7561;3280
44;110748;49;1400;4564;5488;9481;18622;16134;17581;20665;11199;5004
45;121838;56;1522;5382;5975;10682;20440;17706;18827;22215;12685;5581
