Stand 17.11.2020;;;;;;;;;;;;
;;;;;;;;;;;;
Meldewoche;Gesamt;100+;90 - 99;80 - 89;70 - 79;60 - 69;50 - 59;40 - 49;30 - 39;20 - 29;10 - 19;0 - 9
10;892;0;1;17;34;88;207;186;134;144;63;18
11;6434;0;12;120;257;668;1731;1315;1081;871;285;93
12;22427;4;95;686;1193;2490;5691;3895;3805;3451;794;311
13;34025;12;412;2025;2734;4175;7595;5252;5026;4966;1318;504
14;36079;32;1140;3411;3201;4476;7367;5027;4621;4727;1508;565
15;27183;41;1205;3140;2363;2914;5226;3592;3403;3666;1160;470
16;17353;16;831;2109;1484;1746;3123;2196;2184;2529;806;322
17;12384;19;564;1508;1010;1181;2049;1489;1673;1957;592;337
18;7438;7;277;778;626;673;1203;923;1026;1277;399;249
19;6225;1;205;562;481;538;1028;850;909;1027;382;242
20;4727;2;139;424;301;383;728;682;742;801;298;226
21;3615;3;101;279;197;299;515;495;598;663;261;203
22;3209;3;70;201;163;278;475;426;506;605;280;200
23;2355;0;42;127;106;167;290;337;361;451;264;207
24;2343;0;48;114;84;142;281;302;418;491;230;233
25;4088;1;36;107;122;190;498;823;776;765;433;335
26;3204;0;26;85;97;173;466;550;630;580;314;275
27;2694;0;24;76;78;172;341;435;486;574;243;265
28;2418;0;15;56;96;155;288;370;464;462;248;261
29;3017;2;25;64;102;180;383;486;546;608;341;278
30;3934;0;18;85;118;237;535;656;744;787;439;312
31;4818;1;38;129;161;236;635;813;808;1029;616;349
32;6046;2;26;109;147;322;724;937;1026;1349;908;475
33;7938;1;24;136;150;303;796;1211;1344;1999;1284;684
34;9584;1;17;87;163;358;984;1405;1707;2737;1452;666
35;8806;1;28;81;162;375;891;1262;1565;2547;1312;575
36;8604;1;23;86;183;372;941;1257;1585;2401;1195;549
37;9767;1;43;216;296;563;1223;1379;1632;2521;1326;555
38;12258;6;67;298;438;781;1654;1714;2102;2991;1547;644
39;13048;3;91;332;498;839;1858;1755;2307;3021;1627;688
40;15881;4;114;479;652;1128;2304;2235;2668;3474;2031;754
41;26121;6;181;774;1096;1956;4122;3893;4186;5478;3195;1143
42;42007;12;420;1419;1830;3402;6556;6012;6957;8835;4606;1854
43;74691;26;858;2959;3405;6213;12124;11085;12079;14816;7584;3284
44;110985;46;1412;4589;5508;9510;18674;16199;17619;20727;11241;5022
45;125471;56;1623;5665;6192;11049;21022;18253;19348;22816;13131;5776
46;125043;68;2178;6425;6418;10638;20798;17845;19191;21218;13622;5893
