Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
Gesamt;892;6434;22429;34025;36086;27181;17353;12383;7442;6225;4732;3618;3214;2356;2343;4090;3203;2695;2418;3020;3934;4817;6050;7940;9590;8812;8610;9768;12264;13049;15893;26129;42020;74731;111068;125623;127472;125162
100+;0;0;4;12;32;41;16;19;7;1;2;3;2;0;0;1;0;0;0;2;0;1;2;1;1;1;1;1;6;3;4;5;12;26;46;57;70;122
90 - 99;1;12;95;412;1140;1205;831;564;277;205;139;100;70;42;48;36;26;24;15;25;18;38;26;24;17;28;23;43;67;91;115;181;421;856;1415;1642;2224;2858
80 - 89;17;120;687;2025;3411;3141;2109;1508;778;562;425;281;202;127;114;107;85;77;56;64;85;129;109;136;87;82;86;217;299;332;479;773;1421;2963;4606;5686;6555;7436
70 - 79;34;257;1193;2734;3201;2362;1484;1010;627;481;301;197;163;106;84;123;97;78;96;103;118;161;148;150;163;162;183;297;439;498;654;1096;1835;3408;5516;6204;6534;6510
60 - 69;88;668;2489;4174;4477;2914;1746;1181;674;538;383;299;278;167;142;190;173;172;155;180;238;236;323;302;359;375;372;562;781;839;1130;1958;3402;6219;9518;11064;10877;11131
50 - 59;207;1731;5692;7595;7373;5224;3123;2049;1203;1028;729;515;477;290;281;498;466;341;288;385;535;634;724;796;986;892;942;1223;1654;1858;2306;4124;6560;12139;18684;21047;21183;20436
40 - 49;186;1315;3895;5252;5027;3592;2196;1488;923;850;685;495;426;337;302;824;549;435;370;486;656;813;937;1211;1406;1264;1258;1380;1716;1755;2236;3897;6018;11094;16218;18289;18199;18304
30 - 39;134;1081;3805;5027;4620;3404;2184;1673;1027;909;742;599;508;361;418;776;630;485;464;546;743;808;1027;1344;1708;1566;1586;1633;2103;2307;2668;4186;6960;12084;17636;19379;19582;18788
20 - 29;144;871;3451;4965;4727;3665;2529;1957;1277;1026;801;664;605;451;491;765;581;575;462;608;787;1029;1352;2001;2738;2547;2403;2522;2991;3022;3476;5481;8840;14829;20747;22870;21652;19636
10 - 19;63;285;794;1319;1508;1160;806;592;399;383;298;261;280;264;230;433;314;243;248;341;439;616;908;1285;1452;1313;1196;1326;1549;1627;2033;3202;4612;7584;11247;13141;13962;13036
0 - 9;18;93;312;504;566;470;322;337;250;242;226;203;201;208;233;335;275;265;261;278;312;349;474;684;666;575;549;555;643;688;754;1146;1853;3287;5024;5786;6034;6109
