Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
Gesamt;892;6434;22427;34023;36091;27180;17354;12383;7444;6224;4734;3618;3210;2357;2344;4091;3204;2694;2420;3024;3935;4818;6053;7947;9591;8814;8611;9768;12261;13058;15895;26136;42018;74748;111093;125732;127699;128335;121503
90+;1;12;99;424;1173;1246;847;582;285;207;141;103;72;42;48;37;26;24;15;27;18;39;28;25;18;29;24;44;73;94;119;185;431;880;1461;1711;2295;3056;3387
85 - 89;6;39;218;739;1445;1420;926;685;328;263;181;127;86;51;51;46;34;28;20;24;36;41;40;55;23;32;25;84;103;122;163;305;568;1134;1775;2270;2803;3349;3954
80 - 84;11;81;468;1285;1966;1721;1183;824;450;298;246;152;114;76;63;61;51;48;36;40;50;88;69;81;64;50;61;132;196;211;316;469;855;1832;2837;3428;3779;4339;4672
75 - 79;23;112;571;1407;1786;1312;852;587;351;274;173;104;83;59;44;65;57;40;40;43;56;71;56;72;67;69;75;145;180;232;306;504;905;1622;2640;3046;3271;3379;3436
70 - 74;11;145;622;1327;1415;1050;632;424;276;207;128;93;80;47;40;58;40;38;56;60;62;90;92;79;96;93;108;151;259;266;349;591;929;1787;2878;3170;3288;3342;3168
65 - 69;25;237;890;1650;1693;1115;661;506;266;208;144;124;108;60;51;69;65;62;62;71;85;85;121;110;121;131;127;224;289;303;451;687;1285;2262;3542;4234;4012;4134;4046
60 - 64;63;431;1598;2524;2784;1799;1085;675;408;330;239;175;169;107;91;121;108;110;93;110;153;151;202;192;238;244;245;338;491;538;679;1273;2120;3956;5975;6834;6887;7297;6858
55 - 59;74;751;2599;3596;3669;2608;1567;1059;600;509;357;265;237;140;134;184;202;156;116;177;242;284;308;326;429;353;391;554;758;865;1104;1864;2996;5740;8946;10146;10283;10218;9616
50 - 54;133;980;3094;4001;3705;2615;1556;990;603;519;372;250;239;150;147;314;264;185;172;209;293;351;416;473;557;539;552;669;896;996;1203;2262;3565;6408;9752;10934;10959;10800;10167
45 - 49;100;744;2095;2923;2720;1918;1174;789;468;444;331;254;213;163;144;375;277;221;181;233;335;385;453;574;691;605;611;695;876;896;1195;2033;3116;5804;8370;9468;9278;9632;8943
40 - 44;86;571;1800;2328;2307;1674;1022;699;456;405;354;242;213;174;158;449;272;214;190;253;321;428;486;638;715;659;647;685;840;859;1042;1866;2903;5293;7851;8842;8958;9203;8640
35 - 39;65;547;1755;2388;2204;1653;982;764;464;420;350;276;240;156;195;375;300;226;204;251;361;383;515;645;762;714;649;697;899;1005;1148;1825;3102;5389;8071;8940;9155;9173;8584
30 - 34;69;534;2050;2638;2417;1751;1202;909;563;489;392;323;268;205;223;402;331;259;260;296;382;425;513;699;947;854;937;935;1203;1305;1520;2363;3857;6699;9567;10462;10469;10088;9229
25 - 29;74;548;2004;2694;2485;1934;1298;995;683;518;388;350;317;223;243;391;325;317;226;308;410;508;608;836;1192;1219;1155;1235;1479;1434;1744;2691;4470;7300;10317;11142;10666;9940;8868
20 - 24;70;323;1446;2270;2244;1731;1231;962;594;508;413;314;288;229;248;374;256;258;237;301;377;521;743;1166;1546;1328;1248;1289;1513;1586;1734;2791;4370;7539;10435;11741;11034;10208;8800
15 - 19;42;182;541;940;1079;858;571;402;263;258;181;154;161;162;111;241;169;139;148;191;248;365;544;742;875;832;767;829;1031;1043;1325;2068;2957;4850;7188;8395;8665;8137;7323
10-14;21;103;253;379;429;302;236;189;136;125;117;108;119;103;119;192;146;104;101;150;191;251;364;544;577;481;429;498;516;586;709;1136;1653;2737;4072;4765;5330;5277;5056
5-9;10;57;169;249;292;236;163;153;119;105;111;81;113;100;123;176;140;124;114;138;151;198;285;408;382;352;319;325;353;386;429;623;969;1826;2783;3351;3614;3889;3718
0 - 4;8;36;143;255;274;234;159;184;131;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;285;223;230;230;290;302;324;522;885;1461;2244;2435;2432;2391;2317
