Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
Gesamt;892;6432;22430;34024;36093;27182;17354;12384;7441;6227;4732;3619;3209;2358;2344;4091;3204;2694;2422;3026;3934;4819;6054;7950;9594;8814;8611;9767;12267;13058;15897;26135;42016;74764;111116;125747;127736;128451;123196;126427
90+;1;12;99;424;1173;1246;847;582;284;208;141;103;72;42;48;37;26;24;15;27;18;39;28;25;18;29;24;44;73;94;119;185;431;882;1462;1712;2307;3058;3495;4064
85 - 89;6;39;218;738;1445;1420;926;685;328;263;180;127;86;51;51;46;34;28;20;24;36;41;41;55;23;32;25;84;103;122;163;305;566;1134;1779;2275;2818;3357;4051;4486
80 - 84;11;81;468;1285;1966;1721;1183;824;450;299;245;153;114;76;63;61;51;48;36;40;50;88;69;81;64;50;61;132;196;211;317;469;854;1832;2840;3428;3787;4348;4771;5337
75 - 79;23;112;571;1407;1786;1312;852;587;351;274;173;104;82;59;44;65;57;40;40;43;56;71;56;72;67;69;75;145;180;232;306;504;907;1624;2642;3046;3284;3387;3486;3884
70 - 74;11;145;622;1326;1416;1050;632;424;276;207;128;93;80;47;40;58;40;38;56;60;62;90;92;79;96;93;108;151;259;266;349;591;931;1791;2879;3168;3291;3349;3204;3423
65 - 69;25;237;890;1650;1693;1115;661;506;265;208;144;124;108;60;51;69;65;62;62;71;85;85;121;110;121;131;127;224;289;304;451;687;1286;2261;3543;4236;4013;4143;4120;4064
60 - 64;63;431;1598;2524;2784;1799;1085;675;408;330;239;175;169;107;91;121;108;110;93;110;153;151;202;192;238;244;245;338;492;538;680;1271;2120;3954;5982;6835;6888;7304;6972;7524
55 - 59;74;751;2599;3596;3669;2608;1567;1059;599;509;357;265;237;140;134;184;202;156;116;177;241;286;308;326;429;353;391;554;758;865;1104;1862;2996;5743;8947;10146;10289;10239;9806;10143
50 - 54;133;980;3094;4000;3704;2615;1556;990;603;520;372;250;239;150;147;314;264;185;172;209;293;351;416;474;557;539;553;669;896;996;1203;2262;3565;6407;9758;10938;10971;10819;10307;10347
45 - 49;100;744;2095;2923;2721;1919;1174;789;468;444;331;254;213;163;144;375;277;221;181;233;335;385;453;574;691;605;610;695;876;896;1196;2033;3116;5805;8372;9469;9277;9649;9029;9079
40 - 44;86;571;1803;2328;2308;1674;1022;699;456;405;354;241;213;174;158;449;272;214;190;253;321;428;486;638;716;659;648;686;841;860;1042;1866;2904;5294;7860;8850;8964;9219;8771;8671
35 - 39;65;545;1755;2388;2204;1653;982;764;465;420;350;277;240;156;195;375;300;226;204;251;361;383;515;645;762;715;648;697;898;1004;1147;1826;3099;5388;8076;8948;9158;9184;8707;8991
30 - 34;69;534;2050;2639;2417;1751;1201;909;563;489;392;323;268;206;223;402;331;259;260;297;382;425;513;699;947;854;938;935;1203;1304;1520;2363;3859;6700;9568;10468;10468;10093;9347;9327
25 - 29;74;548;2004;2694;2485;1935;1298;996;682;518;388;350;317;223;243;391;325;317;227;308;410;509;608;836;1192;1219;1156;1235;1480;1434;1744;2691;4469;7306;10326;11146;10672;9933;8971;8991
20 - 24;70;323;1446;2273;2244;1731;1231;962;594;508;413;314;288;229;248;374;256;258;237;302;377;520;743;1167;1547;1327;1247;1289;1515;1585;1733;2790;4369;7543;10431;11742;11027;10217;8926;9070
15 - 19;42;182;541;940;1079;858;570;402;263;258;181;154;161;162;111;241;169;139;148;191;248;364;544;742;876;832;767;830;1032;1044;1326;2069;2955;4849;7183;8393;8675;8173;7433;7590
10-14;21;103;253;379;429;302;236;189;136;125;117;108;119;103;119;192;146;104;102;150;191;251;364;545;577;481;430;497;516;586;709;1138;1653;2738;4079;4770;5331;5283;5156;5032
5-9;10;57;169;249;292;236;163;153;119;105;111;81;113;100;123;176;140;124;114;138;151;198;285;408;382;352;319;323;354;386;429;623;969;1827;2788;3351;3611;3896;3785;3574
0 - 4;8;36;143;255;274;234;161;184;131;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;285;223;230;230;290;302;324;522;885;1460;2243;2433;2430;2391;2347;2295
