Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
Gesamt;893;6435;22430;34025;36094;27183;17354;12384;7442;6227;4734;3618;3209;2359;2344;4093;3203;2693;2423;3025;3934;4820;6051;7952;9592;8813;8610;9766;12268;13053;15906;26143;42027;74757;111134;125742;127759;128472;123366;128163;151864
90+;1;12;99;423;1172;1246;847;582;284;208;141;103;72;42;48;38;26;24;15;27;18;39;28;25;18;29;24;44;73;94;119;185;430;883;1463;1712;2309;3059;3503;4138;5194
85 - 89;6;39;218;738;1445;1420;926;684;328;263;180;127;87;51;51;45;34;28;20;24;36;41;40;55;23;32;25;84;103;122;163;305;566;1133;1779;2275;2822;3356;4075;4565;5703
80 - 84;11;81;468;1285;1966;1721;1183;824;450;299;246;152;113;76;63;62;51;48;36;40;50;88;69;81;64;50;61;132;195;211;315;470;855;1831;2841;3425;3792;4349;4785;5430;6802
75 - 79;23;112;571;1407;1786;1313;853;587;351;274;173;104;82;58;44;65;57;40;40;43;56;71;56;72;67;69;75;145;180;231;306;505;906;1624;2642;3048;3285;3383;3495;3954;4827
70 - 74;11;145;622;1326;1416;1051;632;424;277;207;128;93;80;47;40;58;40;38;56;60;62;90;91;79;96;93;108;152;259;266;349;591;931;1791;2882;3166;3287;3348;3208;3466;4244
65 - 69;25;237;890;1650;1693;1115;661;506;265;208;144;124;108;60;51;70;65;62;62;71;85;85;121;110;121;131;127;224;289;304;452;687;1285;2263;3547;4239;4012;4139;4126;4126;4984
60 - 64;63;431;1598;2525;2784;1799;1085;675;408;330;239;175;169;107;91;121;108;110;93;110;153;151;202;193;237;243;245;338;492;539;680;1271;2119;3952;5983;6835;6889;7302;6984;7644;9096
50 - 59;207;1731;5693;7597;7373;5224;3123;2050;1202;1029;729;515;476;291;281;498;467;341;288;386;534;637;724;800;987;892;943;1222;1656;1857;2308;4125;6560;12151;18708;21081;21268;21058;20152;20824;25462
40 - 49;186;1316;3898;5251;5030;3593;2196;1487;924;850;684;495;426;338;302;824;548;435;371;485;656;814;939;1212;1407;1264;1258;1382;1716;1756;2237;3902;6022;11100;16233;18325;18239;18878;17825;17990;21288
30 - 39;134;1080;3805;5025;4621;3402;2183;1673;1028;908;743;600;508;362;418;777;631;485;465;548;743;807;1027;1344;1709;1569;1585;1631;2101;2308;2670;4190;6961;12087;17648;19414;19628;19282;18059;18546;21825
25 - 29;75;548;2004;2694;2485;1935;1297;996;681;518;388;350;317;223;243;391;325;316;227;308;410;509;608;836;1192;1219;1156;1234;1481;1435;1744;2690;4471;7306;10323;11149;10670;9929;8972;9100;10554
20 - 24;70;323;1446;2274;2244;1731;1231;963;595;508;414;314;288;229;248;374;256;258;237;302;377;520;744;1168;1546;1327;1248;1289;1515;1583;1732;2790;4372;7540;10433;11734;11029;10225;8940;9167;10496
15 - 19;42;182;541;940;1080;858;570;402;263;258;181;154;161;162;111;241;169;139;148;191;248;364;543;742;876;832;767;830;1032;1043;1324;2070;2960;4848;7186;8397;8679;8183;7447;7685;8595
10 - 14;21;103;253;379;429;302;236;189;136;125;117;108;119;103;119;192;146;104;102;150;191;251;364;545;577;481;430;498;516;586;709;1138;1652;2739;4079;4770;5336;5289;5165;5129;5511
5 - 9;10;57;169;249;292;236;163;153;119;105;111;81;113;100;123;176;139;124;114;138;151;198;285;408;381;352;319;323;354;387;429;623;969;1827;2790;3353;3619;3902;3798;3658;4116
0 - 4;8;36;143;256;274;234;161;184;131;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;285;223;230;230;290;302;324;523;886;1459;2243;2433;2427;2389;2344;2324;2638
