Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
Gesamt;893;6433;22430;34027;36092;27185;17361;12381;7443;6229;4736;3618;3209;2360;2345;4094;3206;2694;2425;3024;3936;4822;6062;7953;9592;8816;8614;9767;12271;13057;15913;26154;42059;74802;111168;125751;127786;128491;123367;128270;155803;171262
90+;1;12;99;423;1172;1246;847;582;284;208;142;103;72;42;48;37;26;24;15;27;18;39;28;25;18;29;24;44;73;94;119;186;429;884;1464;1714;2310;3061;3504;4147;5382;5744
85 - 89;6;38;218;738;1445;1419;926;684;328;263;180;127;86;51;51;45;34;28;20;24;36;41;40;55;23;32;25;84;103;122;163;305;566;1133;1780;2280;2822;3358;4084;4582;5894;6731
80 - 84;11;81;468;1285;1966;1721;1183;823;451;299;247;152;113;76;63;62;51;48;36;39;50;88;69;81;64;50;61;132;195;211;316;471;855;1834;2843;3430;3794;4351;4786;5432;7023;8017
75 - 79;23;112;571;1408;1785;1313;853;587;351;274;173;104;82;58;44;65;57;40;40;44;56;71;56;72;67;69;75;145;180;231;306;505;906;1624;2646;3048;3286;3382;3492;3959;4964;5820
70 - 74;11;145;622;1326;1416;1051;632;424;277;207;128;93;80;47;40;58;40;38;56;60;62;90;91;79;96;93;108;152;259;266;349;591;931;1793;2881;3170;3289;3352;3201;3464;4362;5045
65 - 69;25;237;890;1650;1693;1116;661;506;265;208;144;124;108;60;51;70;65;62;62;71;85;85;121;110;120;131;127;224;289;304;452;686;1286;2267;3547;4237;4013;4143;4128;4129;5125;6171
60 - 64;63;431;1598;2524;2784;1799;1085;674;406;330;239;175;169;108;91;121;108;110;93;110;153;153;204;193;237;243;245;338;492;539;681;1270;2119;3956;5984;6838;6891;7299;6984;7644;9373;10715
55 - 59;74;751;2599;3596;3668;2610;1568;1060;600;509;356;265;237;141;135;184;203;156;116;177;241;286;308;326;430;353;390;553;761;864;1106;1864;2998;5750;8953;10148;10293;10238;9844;10324;12955;14667
50 - 54;133;980;3094;4001;3702;2615;1557;991;603;520;372;250;239;150;147;314;265;186;172;209;294;351;417;474;558;539;554;669;896;995;1203;2264;3569;6407;9764;10941;10976;10822;10313;10528;13181;14618
45 - 49;100;745;2095;2923;2720;1920;1174;788;468;446;331;254;213;163;144;375;277;221;181;232;335;386;456;574;691;606;612;696;875;897;1197;2036;3118;5804;8379;9467;9271;9651;9036;9208;11044;12168
40 - 44;86;570;1803;2329;2309;1673;1023;699;456;405;354;241;213;175;158;449;272;214;190;253;322;428;488;638;716;659;648;687;841;860;1042;1868;2907;5298;7861;8850;8969;9228;8785;8804;10827;11715
35 - 39;65;546;1754;2387;2206;1653;983;763;465;420;351;277;240;156;195;375;301;226;205;251;361;383;514;645;763;715;647;696;899;1004;1148;1827;3107;5385;8080;8950;9169;9188;8709;9110;10922;11944
30 - 34;69;534;2051;2639;2419;1750;1202;909;563;489;392;323;268;206;223;403;331;259;260;297;383;424;515;699;946;854;938;935;1204;1303;1523;2363;3863;6705;9570;10462;10462;10094;9348;9437;11464;12738
25 - 29;75;548;2004;2694;2484;1935;1297;996;681;518;388;350;317;223;243;391;325;316;227;309;410;509;609;838;1192;1220;1157;1233;1481;1435;1744;2690;4477;7308;10325;11142;10678;9932;8974;9110;10743;11897
20 - 24;70;323;1446;2274;2244;1732;1232;963;595;508;414;314;289;229;248;374;256;258;237;302;377;520;745;1168;1546;1327;1247;1289;1515;1583;1733;2790;4374;7547;10434;11740;11030;10222;8944;9174;10742;11887
15 - 19;42;182;541;940;1080;857;571;402;263;258;181;154;161;162;111;242;169;139;148;191;248;364;543;742;876;832;768;831;1032;1044;1325;2072;2962;4851;7189;8399;8681;8188;7447;7703;8797;8324
10 - 14;21;103;253;379;429;302;236;188;136;125;117;108;119;103;119;192;146;104;104;150;191;251;364;545;577;482;431;498;516;586;709;1139;1652;2740;4082;4768;5341;5294;5168;5140;5631;5133
5 - 9;10;57;169;249;292;236;163;153;119;105;111;81;113;100;123;176;139;124;114;138;151;198;285;407;381;352;318;323;354;387;429;625;970;1830;2790;3355;3619;3905;3800;3662;4231;4207
0 - 4;8;36;143;256;274;234;161;184;132;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;285;223;230;230;290;303;324;524;887;1462;2246;2431;2428;2388;2343;2324;2695;3111
