Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
Gesamt;894;6433;22431;34028;36094;27188;17363;12381;7442;6229;4735;3617;3211;2360;2345;4095;3207;2694;2425;3024;3938;4824;6063;7956;9587;8819;8616;9766;12278;13058;15914;26158;42068;74826;111161;125775;127842;128532;123357;128304;155956;173481;135974
90+;1;12;99;423;1172;1246;847;582;284;208;141;103;72;42;48;37;26;24;15;27;18;39;28;25;18;30;24;44;74;94;119;186;431;885;1464;1716;2311;3064;3504;4141;5393;5842;5100
85 - 89;6;38;218;738;1445;1419;926;684;328;263;180;127;86;51;51;45;34;28;20;24;36;41;40;56;23;32;25;84;103;122;163;305;568;1136;1780;2282;2827;3366;4090;4581;5900;6831;5674
80 - 84;11;82;468;1285;1966;1720;1183;823;450;299;246;152;113;76;63;62;51;48;36;39;50;89;69;81;64;50;61;131;195;211;316;471;855;1834;2843;3432;3796;4357;4787;5425;7029;8164;7221
75 - 79;23;112;571;1408;1786;1313;853;588;351;274;173;104;82;58;44;65;57;40;40;44;57;71;56;71;67;69;75;145;180;231;306;505;906;1624;2646;3047;3286;3386;3492;3955;4971;5903;4940
70 - 74;11;145;622;1326;1416;1051;632;424;277;207;128;93;80;47;40;58;40;38;56;60;62;90;91;79;96;93;108;152;259;266;350;591;932;1793;2882;3173;3288;3354;3196;3473;4366;5141;4318
65 - 69;25;237;890;1650;1692;1116;662;506;266;208;144;124;108;60;51;70;65;62;62;71;85;85;121;110;120;131;127;224;289;304;452;686;1285;2268;3549;4239;4014;4147;4124;4127;5141;6257;5433
60 - 64;63;431;1598;2524;2784;1799;1086;674;406;330;239;175;169;108;91;121;108;110;93;110;153;153;204;193;237;243;246;338;493;539;679;1270;2119;3956;5984;6845;6895;7304;6982;7645;9386;10902;8887
55 - 59;74;751;2599;3596;3668;2610;1568;1060;600;509;356;265;237;141;135;184;203;156;116;177;242;286;308;326;430;353;390;553;761;864;1106;1865;2998;5756;8950;10148;10296;10239;9842;10330;12977;14840;11985
50 - 54;133;980;3094;4001;3702;2615;1557;990;603;520;371;250;239;150;147;314;266;186;172;209;294;351;417;474;558;539;555;669;897;995;1203;2265;3571;6409;9764;10941;10985;10823;10321;10533;13190;14801;11660
45 - 49;101;745;2096;2923;2720;1920;1174;788;468;446;331;254;213;163;144;375;277;221;181;232;335;386;456;574;691;606;612;696;875;898;1197;2036;3120;5805;8378;9466;9276;9657;9036;9215;11048;12317;9460
40 - 44;86;570;1803;2330;2309;1674;1023;699;455;405;354;241;213;175;158;449;272;214;190;253;322;428;488;640;716;659;648;687;841;860;1043;1869;2908;5299;7858;8853;8968;9234;8776;8811;10840;11873;9275
35 - 39;65;546;1755;2387;2206;1653;983;763;465;420;351;276;241;156;195;375;301;226;205;251;361;383;514;645;761;715;647;696;900;1004;1148;1826;3107;5387;8079;8950;9175;9189;8708;9118;10932;12099;9275
30 - 34;69;534;2051;2639;2419;1751;1202;909;563;489;394;323;268;206;223;403;331;259;260;297;383;424;515;700;946;853;938;935;1204;1303;1523;2364;3861;6706;9570;10468;10468;10099;9349;9440;11473;12896;9847
25 - 29;75;548;2003;2694;2485;1935;1297;996;681;518;388;350;317;223;243;392;325;316;227;309;410;509;609;838;1192;1222;1157;1233;1481;1435;1744;2690;4476;7309;10325;11142;10685;9931;8974;9112;10754;12036;9261
20 - 24;70;323;1447;2274;2245;1732;1232;963;595;508;414;314;289;229;248;374;256;258;237;302;377;521;746;1168;1547;1327;1248;1289;1516;1583;1733;2790;4374;7546;10429;11744;11033;10222;8940;9180;10755;12032;8902
15 - 19;42;181;541;940;1080;858;571;402;263;258;181;154;162;162;111;242;169;139;148;191;248;364;543;742;876;832;768;831;1034;1045;1326;2073;2964;4850;7186;8399;8687;8192;7451;7710;8806;8416;5706
10-14;21;103;253;379;429;302;236;188;136;125;117;108;119;103;119;192;146;104;103;150;191;251;364;545;575;483;430;498;516;586;709;1139;1652;2741;4085;4768;5342;5293;5167;5141;5644;5217;3300
5-9;10;57;169;249;292;236;163;153;119;105;111;81;113;100;123;176;139;124;115;138;151;198;285;407;380;352;318;323;354;386;429;625;971;1834;2792;3358;3620;3906;3805;3666;4234;4266;2961
0 - 4;8;36;143;256;274;235;161;184;132;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;284;223;230;230;290;303;324;524;886;1464;2247;2427;2428;2386;2340;2321;2694;3126;2138
