Altersgruppe;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
Gesamt;893;6434;22431;34029;36094;27185;17362;12382;7443;6229;4734;3618;3211;2360;2345;4096;3207;2695;2426;3024;3942;4824;6063;7955;9603;8821;8619;9767;12279;13070;15920;26164;42069;74835;111149;125794;127875;128528;123370;128337;156115;174066;138246;120472
90+;1;12;99;423;1172;1245;847;582;284;208;141;103;72;42;48;37;26;24;15;27;19;39;28;25;18;30;24;44;74;94;119;186;431;886;1465;1717;2316;3064;3513;4140;5407;5916;5213;4832
85 - 89;6;38;218;738;1445;1420;926;684;329;263;180;127;86;51;51;45;34;28;20;24;36;41;40;56;23;32;25;84;103;122;163;305;568;1138;1779;2287;2829;3368;4092;4579;5910;6887;5820;5430
80 - 84;11;83;468;1285;1966;1720;1182;823;450;299;246;153;113;76;63;62;51;48;36;39;51;89;69;81;64;50;61;131;195;212;316;471;855;1836;2842;3431;3797;4356;4786;5424;7044;8223;7391;6678
75 - 79;23;112;571;1408;1786;1312;853;588;351;274;173;104;82;58;44;65;57;40;40;44;57;71;56;71;67;69;75;145;180;231;306;506;905;1625;2645;3047;3288;3388;3490;3956;4974;5935;5050;4522
70 - 74;11;144;622;1326;1416;1051;633;424;276;207;128;93;80;47;40;58;40;38;56;60;62;90;91;79;96;93;107;152;259;265;350;591;933;1792;2880;3173;3292;3355;3192;3473;4374;5154;4408;4043
65 - 69;25;237;889;1650;1692;1115;662;506;266;208;144;124;108;60;51;70;65;62;62;71;85;85;121;110;120;131;127;224;289;305;453;685;1285;2268;3550;4238;4015;4148;4128;4126;5144;6283;5542;4863
60 - 64;63;431;1598;2524;2784;1799;1086;674;406;330;239;175;169;108;91;121;108;110;93;110;153;153;204;193;237;243;247;338;493;541;679;1270;2120;3955;5985;6846;6899;7303;6984;7647;9395;10933;9076;8063
55 - 59;74;751;2599;3596;3668;2609;1566;1060;601;509;356;265;237;141;135;185;203;156;116;177;242;286;308;326;431;353;390;554;761;865;1106;1866;2998;5757;8952;10148;10297;10236;9844;10333;12999;14896;12232;10769
50 - 54;133;981;3094;4001;3702;2615;1558;990;603;520;371;250;239;150;147;314;266;186;172;209;294;351;417;474;560;540;555;669;897;996;1204;2267;3571;6408;9765;10941;10986;10820;10319;10537;13201;14836;11879;10250
45 - 49;100;745;2096;2923;2720;1920;1174;788;468;446;331;254;213;163;144;375;277;221;181;232;335;386;456;574;692;606;613;696;875;898;1198;2035;3121;5804;8378;9468;9279;9661;9033;9221;11054;12348;9630;8395
40 - 44;86;570;1803;2330;2309;1674;1023;699;455;405;353;241;213;175;158;449;272;214;190;253;322;428;488;640;716;660;648;687;841;860;1045;1869;2908;5301;7859;8857;8971;9230;8778;8810;10856;11907;9425;7817
35 - 39;65;546;1755;2388;2206;1653;983;763;465;420;351;276;241;156;195;375;301;226;206;251;361;383;514;645;761;715;647;697;901;1006;1151;1826;3105;5389;8078;8950;9176;9188;8708;9121;10948;12140;9442;7881
30 - 34;69;534;2051;2639;2420;1751;1203;909;563;489;394;323;268;206;223;403;331;259;260;297;384;424;515;700;946;854;938;936;1203;1303;1523;2365;3861;6712;9566;10471;10472;10096;9352;9448;11484;12943;9991;8982
25 - 29;75;547;2004;2694;2485;1935;1297;996;681;518;388;350;317;223;243;392;325;316;227;309;411;509;608;838;1196;1221;1159;1232;1481;1437;1745;2690;4477;7307;10325;11145;10686;9936;8976;9113;10761;12060;9372;8302
20 - 24;70;323;1447;2274;2244;1732;1232;963;595;508;414;314;289;229;248;374;256;258;237;302;377;521;746;1167;1549;1326;1248;1288;1516;1583;1735;2791;4375;7546;10429;11745;11034;10222;8937;9184;10760;12063;9015;8458
15 - 19;42;182;541;940;1080;858;571;403;263;258;181;154;162;162;111;242;169;139;148;191;248;364;544;742;881;831;768;831;1034;1045;1329;2074;2964;4849;7186;8400;8689;8194;7456;7717;8810;8427;5810;4843
10 - 14;21;103;253;379;429;302;236;188;136;125;117;108;119;103;119;192;146;105;103;150;191;251;364;545;575;484;430;498;517;587;710;1139;1652;2742;4083;4767;5342;5294;5170;5145;5658;5230;3346;2579
5 - 9;10;57;169;249;292;236;163;153;119;105;111;81;113;100;123;176;139;124;115;138;151;198;285;407;380;353;318;323;354;388;430;626;972;1834;2791;3360;3621;3908;3806;3668;4242;4278;2991;1895
0 - 4;8;36;143;256;274;235;161;184;132;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;285;223;230;230;290;303;324;524;886;1465;2247;2427;2425;2383;2337;2320;2696;3126;2127;1518
