Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1
Gesamt;895;6435;22432;34029;36093;27185;17368;12381;7443;6230;4734;3618;3212;2361;2345;4140;3218;2696;2428;3024;3942;4824;6062;7955;9603;8822;8621;9773;12279;13070;15921;26169;42075;74819;111143;125811;127891;128528;123359;128327;156158;174316;138538;122530;143198
90+;1;12;99;423;1172;1245;848;582;284;208;141;103;72;42;48;37;26;24;15;27;18;39;28;25;18;30;24;44;74;94;119;187;430;886;1465;1720;2314;3065;3517;4138;5407;5944;5232;4939;5278
85 - 89;6;38;218;738;1447;1421;926;684;329;263;180;127;86;51;51;45;34;28;20;24;36;41;40;56;23;33;25;84;103;121;163;305;570;1137;1780;2291;2827;3366;4097;4577;5894;6904;5826;5564;5950
80 - 84;12;83;468;1285;1963;1719;1182;823;451;299;246;152;113;76;63;62;51;48;36;39;51;89;69;81;64;50;61;132;195;212;316;473;856;1833;2842;3432;3799;4360;4781;5425;7045;8228;7403;6822;7550
75 - 79;24;112;571;1407;1786;1312;853;587;352;274;173;105;82;58;44;65;57;40;40;44;57;71;56;71;67;69;75;145;180;231;306;507;905;1627;2645;3045;3289;3387;3492;3956;4974;5940;5068;4603;5145
70 - 74;11;144;622;1326;1416;1051;632;424;276;207;128;92;80;47;40;58;40;38;56;60;62;90;91;79;96;93;107;152;259;265;350;592;932;1791;2880;3172;3291;3356;3196;3470;4374;5154;4422;4119;4757
65 - 69;25;237;890;1650;1692;1116;662;506;266;208;144;124;108;60;51;70;65;62;62;71;85;85;121;110;120;131;127;224;289;305;453;685;1285;2267;3551;4238;4018;4148;4131;4127;5146;6301;5555;4942;5620
60 - 64;62;431;1598;2526;2784;1799;1086;674;406;330;240;174;169;108;91;122;108;110;93;110;153;153;204;193;237;243;247;338;493;541;680;1269;2119;3952;5987;6845;6898;7304;6986;7651;9397;10958;9105;8208;9091
55 - 59;75;752;2599;3596;3667;2610;1567;1060;600;509;356;267;237;142;135;185;203;156;116;177;242;285;308;326;431;353;392;553;760;864;1106;1867;2999;5756;8957;10154;10302;10230;9846;10332;13007;14926;12269;10976;12058
50 - 54;133;980;3095;4001;3702;2615;1559;991;603;520;371;251;239;150;147;319;268;186;172;209;294;352;417;474;560;540;555;668;896;996;1204;2268;3571;6409;9764;10944;10992;10821;10317;10534;13212;14856;11915;10419;11877
45 - 49;100;745;2097;2924;2720;1919;1174;788;468;447;330;254;213;163;144;378;277;221;181;232;335;386;456;574;692;605;613;695;875;898;1198;2035;3125;5804;8378;9470;9280;9664;9039;9228;11065;12382;9660;8506;9600
40 - 44;86;571;1803;2330;2310;1675;1024;699;455;405;354;241;213;174;158;456;272;214;191;253;322;428;488;641;716;660;648;687;841;861;1046;1869;2908;5299;7856;8859;8976;9229;8777;8804;10864;11931;9460;7979;9373
35 - 39;66;547;1754;2387;2205;1653;984;762;464;421;350;275;241;156;195;385;301;226;206;251;362;383;514;645;761;715;648;697;901;1006;1151;1826;3105;5387;8079;8952;9181;9190;8707;9127;10958;12165;9457;8050;9959
30 - 34;69;534;2050;2640;2419;1749;1203;909;563;488;394;323;269;207;223;414;334;260;260;297;384;424;515;700;946;855;938;939;1205;1303;1523;2366;3863;6711;9569;10470;10476;10100;9350;9448;11495;12957;10009;9139;11416
25 - 29;76;547;2004;2693;2489;1935;1297;996;680;518;388;350;317;223;243;395;325;316;227;309;411;509;608;838;1196;1221;1159;1233;1481;1437;1745;2690;4478;7306;10320;11148;10687;9939;8982;9114;10770;12075;9397;8399;10638
20 - 24;70;323;1447;2273;2243;1732;1233;963;595;508;414;314;289;229;248;377;261;258;237;302;377;521;746;1166;1549;1326;1248;1291;1516;1583;1735;2792;4375;7544;10428;11739;11032;10222;8933;9185;10762;12082;9035;8573;10763
15 - 19;42;182;541;940;1080;858;572;403;264;258;181;154;162;162;111;243;169;139;149;191;248;364;543;742;881;831;768;832;1034;1046;1329;2074;2965;4848;7187;8406;8691;8196;7451;7713;8814;8441;5831;4934;6257
10-14;20;103;253;379;429;302;236;188;136;125;117;108;119;103;119;192;146;105;103;150;191;251;364;545;575;484;430;498;517;587;710;1140;1653;2744;4080;4772;5339;5297;5174;5153;5663;5244;3359;2630;3242
5-9;9;56;169;249;292;236;163;153;119;105;111;81;113;100;123;176;140;124;115;138;151;198;285;407;380;353;318;324;354;388;430;626;971;1834;2790;3361;3620;3912;3806;3669;4242;4286;2992;1925;2355
0 - 4;8;36;143;256;273;235;161;184;132;137;115;122;88;108;111;160;136;141;146;140;161;151;190;276;285;223;229;229;290;303;324;525;886;1466;2248;2422;2426;2383;2336;2315;2695;3115;2118;1533;1898
