Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2
Gesamt;894;6434;22434;34029;36101;27181;17370;12382;7445;6235;4755;3618;3212;2360;2345;4135;3214;2697;2428;3024;3943;4825;6063;7960;9606;8821;8624;9775;12288;13076;15925;26167;42086;74822;111156;125812;127902;128533;123379;128389;156276;174652;138815;122936;144821;117939
90+;1;12;100;423;1172;1245;848;582;284;208;141;103;72;42;48;37;26;24;15;27;18;39;28;25;18;30;24;45;74;94;119;187;430;886;1465;1719;2316;3069;3530;4153;5410;5983;5257;4964;5380;4968
85 - 89;6;38;218;738;1450;1421;927;684;329;263;180;127;86;51;51;46;34;28;20;24;36;41;40;56;23;33;25;84;103;121;164;305;572;1137;1779;2290;2830;3365;4112;4580;5905;6923;5861;5591;6046;5486
80 - 84;12;83;468;1285;1964;1719;1181;824;451;300;247;152;113;76;63;62;51;48;36;39;51;89;69;81;64;50;61;132;195;212;316;473;856;1833;2841;3433;3798;4364;4799;5425;7056;8262;7432;6848;7644;6587
75 - 79;24;113;571;1406;1788;1311;854;587;352;274;175;105;82;58;45;65;57;40;40;44;57;71;56;71;67;69;75;145;181;231;306;507;904;1628;2646;3049;3289;3391;3494;3962;4985;5958;5081;4618;5213;4297
70 - 74;11;145;623;1327;1415;1050;632;424;276;207;129;92;80;47;39;58;40;38;56;60;62;90;91;79;96;92;107;152;259;265;350;590;932;1793;2881;3174;3291;3356;3209;3477;4381;5164;4433;4134;4801;3649
65 - 69;24;237;889;1650;1693;1115;662;506;266;208;147;124;108;60;51;70;65;62;62;71;85;85;121;110;120;131;127;224;290;305;453;685;1285;2269;3552;4237;4016;4147;4139;4125;5154;6324;5567;4960;5684;4363
60 - 64;62;431;1597;2528;2784;1798;1087;673;406;330;240;174;169;108;91;122;108;110;93;110;153;153;204;194;237;243;247;338;493;541;680;1271;2121;3953;5989;6846;6902;7306;6994;7652;9413;10987;9127;8241;9205;7464
55 - 59;75;752;2598;3595;3667;2611;1566;1060;600;510;360;266;237;142;135;185;203;156;116;177;242;285;308;326;432;353;393;554;761;866;1106;1866;2998;5753;8964;10155;10304;10236;9859;10341;13024;14962;12297;11032;12222;9916
50 - 54;133;980;3095;4001;3700;2614;1560;991;603;520;373;252;239;150;147;318;268;186;172;209;294;352;418;475;561;540;554;668;896;997;1205;2267;3572;6411;9770;10949;10991;10823;10338;10538;13228;14886;11942;10471;12033;9682
45 - 49;100;742;2097;2924;2722;1920;1174;788;468;448;330;254;213;163;144;377;277;221;181;232;335;386;456;574;693;604;615;695;875;898;1198;2038;3127;5805;8381;9471;9283;9665;9054;9232;11066;12409;9692;8520;9728;7928
40 - 44;86;570;1804;2330;2310;1675;1024;699;455;405;357;241;213;175;158;455;272;214;191;253;322;429;488;642;716;661;648;688;843;860;1047;1869;2907;5300;7865;8862;8978;9231;8792;8818;10875;11967;9480;8025;9472;7480
35 - 39;66;548;1755;2386;2205;1652;984;762;464;422;352;275;241;156;195;384;299;227;206;251;362;383;514;645;762;715;649;698;901;1007;1152;1826;3107;5388;8089;8954;9180;9196;8722;9140;10970;12187;9479;8081;10062;7925
30 - 34;69;533;2049;2640;2419;1750;1203;909;563;488;393;323;269;207;223;414;334;260;259;297;384;424;515;700;947;854;937;940;1205;1302;1524;2365;3864;6712;9574;10475;10482;10100;9370;9457;11509;12982;10036;9169;11523;8976
25 - 29;76;547;2005;2693;2489;1935;1297;998;680;519;390;350;317;223;243;395;325;316;227;309;411;509;608;839;1195;1223;1160;1232;1482;1438;1746;2692;4479;7309;10325;11150;10694;9942;8995;9131;10781;12089;9396;8427;10759;8475
20 - 24;70;325;1447;2274;2245;1732;1233;962;595;508;416;314;289;229;249;376;260;258;237;302;378;521;746;1166;1550;1327;1249;1291;1519;1585;1735;2792;4380;7551;10430;11745;11045;10227;8950;9187;10777;12105;9047;8592;10868;8439
15 - 19;42;181;541;940;1080;857;572;403;265;258;181;154;162;162;111;242;169;139;149;191;248;364;543;742;882;832;769;833;1034;1049;1331;2077;2968;4851;7186;8410;8699;8203;7464;7718;8823;8456;5844;4959;6330;5360
10-14;20;103;253;379;429;302;236;188;136;125;117;108;119;103;119;192;146;105;103;150;191;251;364;546;576;483;430;498;519;587;710;1142;1653;2745;4082;4775;5342;5305;5181;5153;5673;5253;3366;2634;3291;2691
5-9;9;56;169;249;292;236;163;153;120;105;111;81;113;99;123;176;139;124;115;138;151;198;285;407;380;353;318;324;354;389;431;626;971;1833;2790;3360;3616;3915;3813;3674;4242;4290;2998;1931;2372;2177
0 - 4;8;36;143;255;273;235;161;184;132;137;115;122;88;108;110;160;136;141;147;140;161;151;190;276;284;223;229;228;290;302;324;523;886;1463;2248;2422;2427;2381;2336;2319;2692;3117;2117;1532;1918;1836
