Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3
Gesamt;895;6433;22439;34026;36099;27185;17371;12380;7447;6235;4756;3620;3210;2360;2345;4131;3212;2695;2428;3026;3944;4824;6062;7959;9604;8819;8626;9774;12292;13077;15926;26155;42085;74845;111147;125795;127858;128513;123363;128465;156406;174793;138973;123143;145427;118979;94934
90+;1;12;100;423;1172;1246;848;582;284;208;141;103;72;42;48;37;26;24;15;27;18;39;29;25;18;30;24;45;74;94;119;187;434;887;1465;1720;2320;3074;3522;4177;5412;5984;5258;4975;5397;5024;3912
85 - 89;6;38;219;738;1450;1421;927;684;328;263;180;127;85;51;51;46;34;28;20;24;36;41;40;56;23;33;25;84;103;121;164;305;571;1140;1780;2291;2829;3370;4110;4589;5911;6940;5859;5605;6076;5559;4424
80 - 84;12;84;468;1286;1964;1719;1181;824;452;300;246;152;113;76;62;62;51;48;36;39;51;89;69;81;64;50;61;132;195;212;316;472;858;1835;2842;3436;3798;4367;4796;5441;7070;8268;7443;6872;7668;6677;5310
75 - 79;24;113;571;1406;1788;1312;854;587;351;274;175;105;82;58;46;65;57;40;40;44;57;71;56;71;67;69;75;145;181;231;307;507;904;1628;2650;3050;3285;3392;3495;3969;4993;5950;5094;4637;5233;4325;3391
70 - 74;11;145;622;1327;1415;1050;632;424;276;207;128;92;80;47;39;58;40;38;56;60;62;90;91;79;96;92;107;151;259;265;349;589;933;1793;2882;3174;3292;3359;3206;3482;4390;5168;4436;4138;4825;3661;3050
65 - 69;25;237;889;1649;1693;1116;662;505;266;208;146;124;107;60;51;70;65;62;62;71;85;85;121;110;120;131;127;224;290;305;453;683;1285;2271;3552;4243;4017;4146;4136;4127;5164;6335;5581;4967;5698;4413;3573
60 - 64;62;430;1598;2527;2784;1797;1087;673;406;330;240;174;169;107;91;122;108;110;93;110;153;152;204;194;237;243;247;337;493;543;680;1271;2120;3954;5992;6849;6902;7305;6999;7655;9422;11005;9156;8267;9255;7527;6185
55 - 59;75;752;2600;3595;3667;2611;1566;1060;599;510;361;266;237;143;134;186;202;156;116;177;242;285;308;326;432;353;393;554;762;866;1106;1866;2998;5755;8961;10155;10301;10237;9862;10358;13045;14980;12319;11055;12304;10020;8286
50 - 54;133;980;3094;4000;3700;2614;1560;991;605;520;374;253;239;150;147;318;268;186;172;210;294;352;418;475;560;539;554;668;896;997;1205;2267;3571;6415;9773;10946;10987;10822;10342;10548;13236;14902;11955;10501;12085;9780;8099
45 - 49;100;741;2098;2923;2722;1921;1174;788;469;448;330;254;214;164;145;376;277;221;181;232;335;386;456;574;694;602;615;695;875;898;1198;2038;3128;5809;8384;9466;9283;9670;9059;9231;11079;12423;9713;8537;9772;7978;6411
40 - 44;86;569;1805;2331;2310;1675;1024;698;456;405;357;243;213;175;158;454;272;214;191;253;321;429;488;642;716;660;648;688;843;861;1048;1869;2907;5298;7869;8866;8984;9235;8798;8825;10884;11979;9493;8031;9516;7560;6163
35 - 39;66;548;1756;2386;2205;1653;984;762;464;422;353;275;240;157;195;383;298;227;206;251;363;383;514;644;762;716;650;699;902;1007;1152;1825;3105;5393;8084;8952;9178;9193;8723;9142;10979;12206;9496;8097;10117;8012;6279
30 - 34;69;534;2050;2639;2419;1750;1203;909;562;488;393;321;269;206;223;414;334;260;259;297;385;424;515;700;946;857;938;942;1205;1302;1525;2364;3863;6715;9576;10476;10475;10096;9377;9460;11526;13000;10039;9179;11575;9051;6950
25 - 29;76;547;2004;2693;2489;1933;1296;998;681;519;390;350;317;223;243;395;325;315;227;309;411;509;607;839;1195;1223;1160;1231;1483;1438;1744;2692;4477;7311;10327;11147;10699;9946;8993;9130;10781;12103;9412;8433;10787;8526;6368
20 - 24;70;324;1449;2274;2243;1733;1235;962;595;508;417;314;289;229;249;375;260;258;237;303;379;521;746;1166;1549;1325;1249;1291;1519;1583;1737;2793;4380;7551;10433;11744;11041;10221;8949;9182;10790;12095;9053;8600;10895;8502;6441
15 - 19;42;182;541;940;1079;857;572;403;265;258;181;154;162;161;111;241;169;138;149;191;247;364;543;742;882;832;769;833;1036;1049;1331;2070;2965;4852;7188;8408;8697;8203;7462;7718;8831;8460;5844;4965;6366;5403;4168
10 - 14;20;103;253;379;429;302;236;188;136;125;117;109;119;103;119;192;146;105;103;150;191;251;364;546;576;483;430;497;518;587;709;1142;1655;2748;4081;4775;5340;5303;5185;5156;5674;5258;3371;2640;3306;2718;2201
5 - 9;9;56;169;249;293;236;163;153;120;105;111;81;113;99;123;176;139;124;115;138;151;198;285;407;380;353;318;324;354;389;431;626;971;1833;2792;3360;3617;3914;3813;3677;4252;4304;3005;1935;2394;2199;1882
0 - 4;8;36;142;255;273;236;161;184;132;137;115;122;88;108;110;160;136;141;147;140;161;151;189;276;284;223;229;228;290;302;325;523;886;1463;2251;2419;2428;2377;2336;2315;2691;3116;2120;1537;1926;1860;1691
