Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4
Gesamt;895;6431;22436;34021;36097;27189;17370;12381;7456;6236;4754;3620;3210;2359;2343;4131;3213;2695;2427;3025;3941;4823;6062;7959;9602;8822;8625;9775;12295;13078;15930;26155;42097;74864;111149;125817;127872;128501;123332;128481;156473;175062;139328;123296;145635;119135;95779;78124
90+;1;12;100;423;1172;1246;848;582;287;208;141;103;72;42;46;37;28;24;15;27;17;39;29;25;18;30;24;45;75;94;119;186;436;885;1464;1717;2323;3071;3518;4194;5413;5993;5285;4981;5404;5045;3968;2886
85 - 89;6;38;219;738;1450;1421;927;684;329;263;180;127;85;51;51;47;34;28;20;24;36;41;40;56;23;33;25;84;103;121;164;306;572;1144;1778;2293;2833;3368;4105;4600;5913;6954;5864;5609;6087;5572;4462;3317
80 - 84;12;84;468;1286;1964;1719;1182;824;452;299;246;152;113;76;62;62;51;48;36;39;51;90;69;81;64;51;60;132;195;212;316;472;857;1837;2843;3436;3806;4361;4792;5442;7076;8286;7450;6881;7679;6696;5341;4169
75 - 79;24;113;571;1406;1788;1311;854;587;352;274;176;105;82;58;46;65;57;40;40;44;57;71;56;71;67;69;75;145;181;232;309;507;903;1630;2650;3050;3291;3384;3494;3972;4996;5953;5111;4645;5241;4323;3423;2802
70 - 74;11;145;621;1327;1416;1052;632;424;277;207;128;92;80;47;39;58;40;38;56;61;62;90;91;79;96;92;106;151;259;265;349;588;933;1795;2882;3176;3293;3362;3202;3479;4393;5175;4454;4143;4837;3661;3082;2491
65 - 69;25;236;888;1647;1693;1116;662;505;266;208;146;124;107;60;51;70;65;62;62;71;85;85;121;110;121;131;128;224;290;305;454;684;1286;2270;3550;4250;4017;4148;4138;4129;5165;6352;5592;4979;5713;4421;3629;3108
60 - 64;62;428;1598;2527;2785;1797;1087;674;406;332;240;174;169;107;91;122;108;110;93;110;153;152;204;194;237;243;247;337;493;543;682;1274;2120;3958;5995;6850;6905;7302;6998;7655;9426;11028;9186;8277;9273;7525;6228;5105
55 - 59;75;753;2600;3595;3667;2610;1566;1060;602;511;360;266;237;143;134;186;202;156;116;177;242;285;308;326;432;354;393;554;762;865;1107;1870;2999;5758;8965;10156;10303;10242;9872;10353;13063;15005;12364;11082;12326;10041;8366;6999
50 - 54;133;980;3094;4000;3700;2614;1560;991;605;520;374;253;239;150;147;318;267;186;172;211;295;352;418;475;560;539;553;668;897;996;1206;2267;3571;6415;9776;10953;10991;10829;10338;10550;13244;14914;11980;10520;12084;9788;8181;6665
45 - 49;100;740;2099;2923;2721;1921;1174;788;469;446;330;254;214;163;145;376;277;221;181;232;335;386;456;574;694;602;614;695;874;898;1199;2039;3131;5811;8386;9474;9288;9670;9060;9230;11087;12437;9726;8543;9796;7975;6460;5292
40 - 44;86;569;1804;2331;2310;1675;1024;698;456;404;356;243;213;175;158;454;272;214;191;252;321;429;488;642;716;661;648;688;844;861;1050;1868;2907;5298;7872;8874;8980;9236;8800;8827;10892;12001;9515;8039;9524;7568;6238;5121
35 - 39;66;548;1756;2385;2206;1653;982;763;464;422;353;275;240;157;195;383;298;227;206;251;363;383;514;644;762;716;651;699;903;1007;1153;1825;3106;5393;8081;8953;9176;9194;8723;9137;10982;12224;9513;8102;10126;8027;6352;5215
30 - 34;69;534;2050;2639;2419;1750;1203;909;562;488;393;321;269;206;223;414;334;260;259;297;384;424;515;700;946;856;939;942;1205;1303;1525;2365;3863;6715;9576;10479;10482;10098;9381;9465;11530;13025;10053;9191;11601;9061;7025;5771
25 - 29;76;547;2004;2693;2489;1935;1296;998;681;519;390;350;317;223;243;395;325;315;227;308;411;509;607;839;1196;1223;1160;1232;1484;1440;1743;2691;4478;7314;10328;11146;10702;9941;8999;9133;10789;12119;9441;8445;10802;8545;6407;5335
20 - 24;70;325;1448;2274;2242;1736;1235;962;595;508;416;314;289;229;249;375;260;258;237;303;379;520;746;1166;1548;1325;1249;1291;1519;1584;1739;2792;4381;7556;10433;11746;11034;10219;8945;9185;10786;12111;9073;8603;10891;8517;6470;5238
15 - 19;42;183;541;938;1078;856;572;402;265;259;181;154;162;161;111;240;169;138;149;191;247;364;543;742;881;833;770;833;1036;1048;1329;2070;2967;4854;7188;8410;8703;8205;7459;7716;8831;8472;5866;4968;6378;5415;4214;3469
10-14;20;102;253;379;429;302;236;188;136;125;117;109;119;103;119;192;146;105;102;149;191;251;364;546;575;483;430;497;518;587;709;1143;1656;2747;4083;4772;5342;5302;5184;5157;5678;5276;3378;2644;3311;2726;2217;1873
5-9;9;56;169;249;293;236;163;153;120;105;111;81;113;99;123;176;139;124;115;138;150;198;285;407;380;353;318;324;354;389;432;625;971;1833;2792;3358;3617;3915;3812;3675;4256;4310;3022;1940;2403;2201;1905;1624
0 - 4;8;36;142;255;272;236;161;184;132;138;115;122;88;108;110;160;136;141;147;140;160;151;189;276;283;223;228;228;290;302;325;523;886;1463;2249;2423;2425;2379;2331;2313;2684;3112;2127;1537;1932;1861;1708;1533
