Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5
Gesamt;894;6429;22438;34015;36096;27188;17371;12381;7446;6237;4755;3620;3208;2360;2343;4131;3213;2696;2427;3025;3939;4823;6061;7960;9601;8822;8626;9777;12298;13078;15933;26154;42098;74872;111173;125830;127897;128503;123351;128508;156495;175072;139432;123372;145701;119233;95768;78515;64440
90+;1;13;100;423;1172;1246;848;583;285;208;143;103;72;42;46;37;28;24;15;27;17;39;29;25;18;30;24;45;75;94;119;185;436;886;1465;1719;2325;3075;3517;4196;5412;5989;5289;4988;5427;5055;3964;2894;1939
85 - 89;6;38;219;738;1450;1421;927;683;327;263;179;127;85;51;51;47;34;28;20;24;35;41;40;56;23;33;25;84;103;121;164;306;572;1144;1779;2293;2836;3371;4102;4599;5915;6957;5865;5609;6093;5572;4461;3332;2579
80 - 84;12;85;468;1285;1964;1720;1182;824;452;299;246;152;111;76;62;62;51;48;36;39;51;90;69;81;64;51;60;132;195;212;316;472;857;1835;2843;3436;3807;4361;4792;5444;7079;8286;7457;6900;7683;6705;5333;4207;3128
75 - 79;24;113;571;1406;1788;1311;854;587;351;274;176;106;82;58;46;65;57;40;40;44;57;71;56;71;67;69;75;145;181;232;310;507;903;1629;2651;3054;3293;3386;3494;3971;5000;5950;5119;4642;5243;4320;3418;2821;2192
70 - 74;11;145;620;1327;1416;1052;632;424;276;207;129;92;80;47;39;58;40;38;56;61;63;89;91;79;96;92;106;151;259;265;349;588;933;1796;2887;3176;3291;3362;3202;3481;4395;5180;4461;4149;4832;3668;3078;2491;2051
65 - 69;25;236;888;1647;1692;1116;662;504;266;208;146;123;107;60;51;69;65;62;62;71;85;86;121;110;121;131;128;225;290;305;454;684;1286;2271;3551;4249;4017;4151;4138;4126;5171;6350;5594;4982;5717;4420;3627;3137;2508
60 - 64;62;428;1598;2527;2785;1797;1087;674;405;332;240;174;169;107;91;122;108;110;93;110;153;152;204;194;237;243;247;337;493;543;682;1273;2120;3959;5996;6852;6907;7306;6999;7656;9426;11029;9199;8279;9277;7535;6239;5137;4188
55 - 59;75;752;2599;3595;3668;2610;1566;1060;600;511;360;266;237;143;134;186;202;156;116;177;242;285;309;326;432;354;393;555;762;866;1107;1871;2999;5758;8971;10157;10303;10242;9880;10364;13065;15014;12377;11088;12335;10048;8363;7047;5802
50 - 54;133;980;3092;3999;3700;2614;1560;992;605;520;374;253;239;150;147;318;267;186;172;211;294;352;418;475;560;539;553;669;897;996;1206;2268;3571;6415;9780;10957;11002;10824;10345;10552;13245;14922;11997;10537;12085;9795;8181;6693;5278
45 - 49;99;740;2102;2922;2721;1921;1174;789;469;446;330;254;214;163;145;376;277;221;181;232;335;386;456;574;694;602;614;694;874;898;1199;2040;3132;5810;8388;9471;9288;9670;9064;9233;11088;12441;9729;8556;9799;7985;6469;5330;4473
40 - 44;85;568;1804;2330;2309;1675;1025;697;455;405;356;243;213;175;158;454;272;214;191;252;322;429;489;642;716;661;647;688;845;861;1050;1870;2908;5301;7874;8877;8981;9236;8804;8831;10893;12006;9532;8043;9522;7568;6239;5135;4275
35 - 39;66;547;1755;2384;2206;1653;982;763;464;422;353;275;240;157;195;383;298;226;206;251;363;383;514;644;762;716;651;699;903;1007;1155;1827;3106;5395;8082;8955;9179;9198;8718;9139;10992;12228;9524;8106;10134;8036;6355;5228;4448
30 - 34;69;534;2051;2638;2419;1750;1203;909;562;488;393;321;269;206;223;414;334;261;259;297;384;424;514;700;946;856;940;942;1206;1303;1526;2363;3863;6718;9576;10477;10488;10094;9381;9472;11532;13024;10059;9193;11611;9067;7039;5804;4906
25 - 29;77;546;2004;2693;2488;1934;1296;998;681;519;389;350;317;223;243;395;325;315;227;308;410;509;606;839;1195;1223;1160;1231;1484;1440;1742;2689;4479;7317;10334;11147;10703;9944;9001;9137;10792;12121;9444;8440;10804;8559;6413;5359;4477
20 - 24;70;325;1450;2274;2243;1735;1235;961;595;508;416;314;289;230;249;376;260;259;237;303;379;520;746;1167;1548;1325;1250;1292;1518;1584;1741;2792;4381;7557;10437;11745;11035;10218;8946;9185;10790;12111;9077;8610;10900;8532;6459;5259;4403
15 - 19;42;183;542;938;1078;856;572;402;265;259;181;154;162;161;111;240;169;138;149;191;247;364;543;742;881;833;770;833;1039;1047;1329;2069;2966;4855;7192;8408;8704;8202;7461;7719;8837;8467;5869;4967;6378;5412;4216;3489;2894
10-14;20;102;253;379;429;302;236;188;136;125;117;109;119;103;119;192;146;105;102;149;191;251;364;546;575;483;430;497;518;587;709;1143;1656;2745;4082;4773;5343;5300;5186;5157;5677;5277;3377;2645;3314;2733;2219;1889;1704
5-9;9;56;169;249;293;236;163;153;120;105;111;81;113;99;123;176;139;124;115;138;150;198;285;407;380;353;318;324;354;389;432;625;971;1833;2793;3359;3617;3915;3814;3677;4255;4307;3025;1939;2402;2202;1904;1638;1593
0 - 4;8;36;142;255;272;236;161;185;132;138;115;122;88;108;110;160;136;141;147;140;160;151;189;276;283;223;228;228;290;302;325;523;886;1463;2246;2425;2426;2379;2328;2307;2678;3112;2121;1536;1929;1864;1704;1543;1503
