Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6
Gesamt;894;6428;22432;34011;36093;27186;17370;12377;7446;6239;4756;3620;3207;2360;2343;4131;3214;2695;2427;3025;3940;4824;6061;7957;9605;8822;8626;9778;12298;13077;15933;26152;42098;74859;111151;125813;127886;128490;123330;128501;156484;175010;139360;123311;145634;119193;95727;78529;64905;50479
90+;1;13;100;423;1173;1246;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;29;25;18;29;24;45;75;94;119;185;437;886;1465;1722;2325;3076;3515;4189;5417;5984;5287;4976;5425;5054;3957;2901;1959;1282
85 - 89;6;38;219;738;1450;1420;926;682;327;263;179;127;85;51;51;47;34;28;20;24;35;41;40;56;23;33;25;84;103;121;164;306;575;1145;1782;2293;2832;3371;4102;4600;5914;6952;5859;5599;6094;5567;4459;3341;2597;1640
80 - 84;12;85;469;1283;1964;1719;1181;823;452;299;246;152;112;76;62;62;51;49;36;39;51;90;69;81;64;51;60;133;195;212;316;472;857;1835;2841;3436;3806;4360;4792;5450;7078;8287;7447;6894;7683;6702;5330;4209;3166;2271
75 - 79;24;113;572;1406;1787;1312;854;587;351;274;176;106;82;58;46;65;57;40;40;44;57;71;56;71;67;69;75;146;181;232;310;507;902;1629;2653;3054;3292;3385;3491;3973;5000;5946;5118;4639;5237;4323;3416;2826;2208;1685
70 - 74;11;145;619;1327;1416;1052;631;424;276;207;129;92;80;47;39;58;40;37;56;62;63;89;91;79;96;92;106;151;259;265;349;588;934;1796;2883;3180;3289;3362;3202;3483;4393;5177;4455;4147;4831;3667;3070;2491;2069;1567
65 - 69;25;237;888;1647;1692;1117;663;503;266;208;146;123;107;60;51;69;65;62;62;71;85;86;121;110;121;131;128;225;290;305;453;684;1287;2268;3550;4249;4017;4153;4142;4122;5172;6347;5590;4980;5722;4418;3625;3141;2534;1899
60 - 64;62;429;1596;2527;2784;1796;1087;673;405;332;240;174;169;107;91;122;108;110;93;110;153;152;204;194;237;243;247;337;493;543;681;1273;2119;3957;5996;6852;6909;7305;6996;7654;9425;11023;9194;8280;9273;7546;6239;5134;4226;3177
55 - 59;75;752;2600;3595;3668;2609;1566;1061;600;511;360;266;237;143;134;186;202;156;116;177;242;285;309;326;432;354;393;555;762;866;1108;1870;2999;5756;8975;10160;10304;10241;9877;10367;13061;15015;12380;11089;12328;10050;8360;7042;5831;4459
50 - 54;133;979;3089;3999;3699;2613;1560;993;605;520;374;253;239;150;147;318;267;186;172;211;295;352;418;474;561;539;553;669;897;995;1206;2269;3573;6416;9778;10956;10995;10826;10345;10554;13250;14924;11993;10536;12073;9804;8181;6694;5320;4251
45 - 49;99;741;2102;2923;2720;1921;1174;789;469;447;330;254;214;163;145;376;277;221;181;232;335;386;456;574;694;602;614;694;874;898;1200;2039;3132;5812;8389;9470;9289;9668;9061;9232;11087;12438;9725;8556;9797;7981;6469;5327;4505;3537
40 - 44;85;566;1802;2331;2309;1676;1026;697;455;405;356;243;212;175;158;454;273;214;191;252;322;429;489;642;716;661;647;688;845;861;1050;1870;2908;5300;7875;8873;8984;9235;8800;8831;10894;12002;9531;8041;9525;7574;6235;5130;4303;3448
35 - 39;66;547;1755;2383;2206;1653;982;764;464;421;353;275;240;157;195;383;298;226;206;251;363;383;514;644;763;716;651;699;903;1007;1155;1827;3108;5394;8080;8956;9184;9199;8717;9138;10992;12229;9527;8100;10133;8026;6356;5230;4486;3576
30 - 34;69;534;2050;2638;2419;1750;1203;908;562;488;393;321;269;206;223;414;334;260;259;297;384;424;514;700;946;856;940;942;1206;1303;1525;2364;3864;6717;9573;10480;10490;10095;9381;9475;11534;13017;10054;9191;11599;9059;7036;5806;4944;3876
25 - 29;77;546;2004;2693;2488;1934;1297;998;681;521;389;350;316;223;243;395;325;316;227;308;410;510;606;839;1195;1223;1160;1232;1484;1440;1742;2689;4479;7318;10333;11149;10705;9944;9001;9138;10790;12114;9442;8437;10803;8549;6420;5364;4498;3636
20 - 24;70;324;1449;2272;2243;1735;1234;961;595;508;417;315;289;230;249;376;260;258;237;303;379;520;746;1167;1548;1326;1250;1291;1517;1585;1741;2791;4379;7554;10431;11746;11037;10214;8942;9187;10788;12106;9070;8610;10888;8529;6453;5261;4414;3657
15 - 19;42;183;542;938;1078;856;572;402;265;259;181;154;162;161;111;240;169;138;149;191;247;364;543;742;881;833;771;833;1039;1046;1329;2069;2963;4857;7191;8407;8705;8199;7461;7719;8835;8465;5864;4960;6379;5411;4216;3488;2916;2354
10 - 14;20;102;253;379;429;302;236;188;136;125;117;108;119;103;119;192;146;105;102;148;191;251;364;544;577;483;430;498;518;587;709;1142;1655;2744;4082;4774;5343;5300;5184;5158;5678;5280;3378;2644;3314;2728;2220;1887;1726;1389
5 - 9;9;56;169;249;293;236;163;153;120;105;111;81;113;99;123;176;139;124;115;138;150;198;285;407;380;353;318;324;354;389;433;625;970;1833;2792;3360;3616;3915;3815;3678;4257;4308;3024;1939;2399;2202;1901;1643;1608;1370
0 - 4;8;36;143;254;272;236;161;185;132;138;115;122;88;108;110;160;136;141;147;140;160;151;189;276;283;223;227;226;291;302;325;523;886;1461;2243;2421;2424;2379;2328;2305;2675;3111;2116;1536;1930;1866;1703;1540;1511;1337
