Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7
Gesamt;893;6427;22431;34011;36089;27188;17369;12376;7447;6240;4757;3621;3208;2359;2342;4130;3214;2696;2428;3022;3936;4823;6061;7955;9600;8820;8627;9774;12295;13073;15922;26141;42085;74857;111147;125831;127910;128492;123327;128495;156492;174967;139341;123282;145583;119120;95686;78452;64786;50834;52154
90+;1;13;101;423;1171;1246;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;887;1465;1726;2322;3071;3513;4185;5417;5983;5275;4973;5418;5044;3956;2894;1951;1312;1074
85 - 89;6;38;219;738;1448;1421;926;682;327;263;180;127;85;51;51;47;34;28;20;24;34;41;40;56;23;33;25;84;103;121;165;306;575;1146;1784;2294;2828;3372;4101;4599;5917;6952;5864;5599;6081;5564;4459;3341;2592;1658;1432
80 - 84;12;85;469;1283;1966;1720;1182;822;452;299;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;51;60;133;195;212;316;471;857;1836;2841;3436;3809;4359;4790;5451;7088;8280;7447;6882;7677;6697;5336;4205;3158;2301;1983
75 - 79;24;114;572;1406;1786;1312;854;587;351;275;176;106;82;58;46;65;57;40;40;44;57;71;56;71;67;69;75;146;181;232;310;505;902;1625;2652;3057;3293;3386;3497;3974;5000;5945;5119;4643;5230;4318;3419;2828;2211;1701;1695
70 - 74;11;145;619;1327;1417;1050;631;424;276;207;129;93;80;47;39;58;40;37;56;62;63;89;91;79;96;92;106;150;259;265;348;587;933;1798;2884;3182;3294;3360;3203;3484;4391;5171;4456;4146;4829;3668;3069;2489;2069;1575;1589
65 - 69;25;237;888;1647;1692;1118;663;504;266;208;146;123;107;60;51;69;66;62;62;71;85;86;121;110;121;131;128;225;290;304;452;684;1285;2265;3552;4254;4018;4153;4143;4126;5172;6351;5592;4984;5720;4415;3623;3142;2533;1922;2031
60 - 64;61;428;1596;2527;2784;1796;1087;673;405;332;240;174;168;107;91;122;108;110;93;110;153;152;204;193;237;244;248;338;493;542;681;1271;2117;3956;5997;6860;6914;7309;7000;7655;9429;11031;9190;8280;9275;7547;6235;5136;4223;3193;3232
55 - 59;75;751;2600;3594;3666;2610;1566;1060;600;511;360;266;237;143;134;186;202;156;116;177;241;285;309;326;431;354;393;555;762;866;1108;1871;2998;5762;8973;10168;10306;10245;9877;10370;13061;15005;12387;11094;12329;10045;8356;7038;5820;4484;4569
50 - 54;133;978;3089;4000;3699;2612;1559;993;605;520;374;253;240;150;146;318;267;186;172;210;295;352;418;474;561;538;553;669;896;995;1204;2268;3575;6420;9778;10961;11000;10832;10345;10559;13249;14922;12000;10531;12074;9803;8180;6692;5308;4300;4488
