Altersgruppe;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11
Gesamt;34005;36084;27192;17368;12375;7445;6240;4753;3620;3207;2357;2344;4129;3218;2697;2428;3016;3933;4820;6056;7951;9593;8822;8620;9772;12296;13067;15931;26129;42086;74840;111107;125815;127889;128500;123297;128503;156550;174941;139258;123200;145497;118990;95591;78268;64661;50870;52497;56486;58495;71302;91523
90+;424;1171;1243;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;887;1466;1724;2317;3072;3515;4186;5414;5981;5261;4975;5417;5039;3944;2885;1938;1307;1079;833;616;616;644
85 - 89;737;1447;1424;926;681;327;263;179;127;85;51;51;47;34;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;575;1146;1785;2291;2830;3372;4096;4599;5928;6949;5868;5594;6081;5550;4453;3324;2577;1654;1464;1205;958;935;1095
80 - 84;1282;1966;1716;1181;822;452;300;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;470;857;1837;2839;3435;3807;4361;4783;5450;7092;8279;7437;6871;7668;6690;5327;4189;3149;2299;2000;1781;1549;1638;1788
75 - 79;1407;1788;1316;853;587;351;275;176;105;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1625;2651;3054;3292;3387;3495;3976;4994;5949;5119;4645;5226;4317;3413;2824;2211;1698;1713;1582;1364;1438;1866
70 - 74;1327;1417;1050;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;150;259;266;349;587;933;1800;2881;3181;3296;3359;3199;3484;4392;5171;4454;4138;4824;3661;3065;2482;2066;1578;1595;1647;1562;1801;2344
65 - 69;1647;1692;1117;662;504;266;208;146;123;106;60;51;69;66;62;62;71;85;86;121;110;121;131;127;225;290;305;451;684;1284;2266;3552;4258;4015;4155;4141;4125;5177;6352;5589;4982;5715;4412;3626;3126;2534;1922;2045;2131;1998;2287;3136
60 - 64;2525;2781;1795;1087;674;405;332;240;175;167;107;91;122;108;111;93;110;152;152;204;192;237;244;248;338;493;542;681;1270;2118;3958;5997;6865;6914;7312;7002;7654;9434;11027;9186;8276;9268;7549;6236;5128;4221;3192;3255;3520;3429;4111;5238
55 - 59;3593;3669;2609;1566;1060;599;510;360;266;237;142;134;186;203;156;116;177;241;285;308;326;430;355;393;556;762;865;1109;1871;3000;5758;8969;10168;10301;10247;9880;10367;13062;15016;12378;11085;12331;10036;8347;7028;5814;4506;4603;4851;4642;5701;7156
50 - 54;4000;3697;2612;1561;992;605;520;375;252;241;150;146;318;268;186;173;208;294;350;418;473;560;538;552;670;897;995;1207;2269;3577;6421;9775;10964;11010;10838;10345;10559;13263;14924;11998;10526;12087;9795;8186;6686;5304;4309;4515;4744;4949;5902;7455
45 - 49;2923;2718;1921;1174;789;469;448;329;253;214;161;145;375;278;221;182;232;334;385;456;575;695;602;614;693;875;897;1199;2037;3128;5812;8388;9473;9299;9681;9061;9239;11105;12440;9734;8562;9790;7969;6471;5312;4494;3558;3773;4056;4295;5184;6421
40 - 44;2328;2307;1677;1026;698;456;404;356;244;212;176;158;454;274;215;190;252;321;429;489;639;715;660;647;687;844;861;1051;1868;2905;5302;7876;8881;8990;9237;8807;8828;10903;12001;9524;8031;9529;7562;6229;5125;4288;3473;3590;4147;4281;5337;6899
35 - 39;2384;2205;1652;982;764;464;421;353;275;240;157;195;383;298;226;206;251;360;383;514;644;760;717;649;701;902;1008;1153;1826;3107;5394;8086;8959;9192;9207;8712;9137;11001;12232;9526;8094;10135;8016;6339;5209;4470;3605;3730;4186;4587;5751;7498
30 - 34;2638;2419;1752;1203;909;562;488;391;321;270;206;224;414;334;260;259;297;384;423;513;700;945;857;940;940;1207;1301;1524;2361;3859;6715;9577;10485;10488;10090;9381;9482;11532;13019;10046;9198;11600;9053;7030;5783;4918;3903;4113;4546;4905;6029;7808
25 - 29;2693;2488;1933;1297;996;681;521;389;349;316;223;243;394;325;316;227;308;410;510;607;838;1195;1221;1158;1230;1483;1439;1745;2690;4479;7316;10337;11154;10702;9939;9006;9144;10807;12115;9437;8421;10800;8536;6397;5350;4487;3659;3896;4159;4277;5462;6950
20 - 24;2270;2244;1736;1234;962;595;507;416;316;289;230;249;376;260;258;237;300;379;521;745;1166;1544;1328;1250;1286;1517;1584;1743;2788;4384;7553;10427;11742;11038;10223;8945;9194;10795;12106;9078;8607;10887;8516;6441;5242;4385;3658;3963;4200;4403;5449;6811
15 - 19;939;1077;856;571;401;265;260;181;153;162;161;111;240;169;138;149;191;247;364;542;742;880;833;770;831;1040;1045;1329;2067;2962;4857;7194;8410;8710;8205;7457;7729;8836;8471;5874;4954;6382;5409;4206;3475;2922;2380;2625;3077;3222;4090;5471
10 - 14;379;430;306;236;188;136;125;117;108;119;103;119;192;146;105;102;148;191;251;364;544;577;483;430;498;518;585;708;1142;1653;2742;4084;4771;5341;5302;5190;5159;5693;5288;3376;2646;3323;2725;2224;1880;1729;1412;1576;1885;2310;2857;4099
5 - 9;249;293;237;163;153;120;105;110;80;113;99;123;176;139;124;115;136;151;198;285;408;380;353;318;325;355;388;432;625;970;1832;2792;3362;3615;3918;3817;3681;4269;4311;3028;1939;2393;2204;1902;1644;1602;1391;1552;2008;2732;3667;4698
0 - 4;254;272;237;161;185;132;138;116;123;88;108;110;160;136;141;147;140;161;150;189;276;283;223;227;226;291;301;325;524;886;1459;2237;2417;2421;2380;2327;2307;2673;3114;2118;1533;1913;1862;1702;1536;1512;1347;1375;1891;2386;2988;4007
