Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14
Gesamt;897;6434;22446;33987;36075;27179;17352;12371;7438;6240;4768;3612;3204;2352;2342;4125;3213;2689;2427;3016;3929;4822;6058;7949;9591;8821;8617;9771;12298;13062;15933;26130;42087;74833;111100;125816;127869;128472;123291;128517;156538;174947;139229;123218;145488;119011;95588;78244;64676;50869;52511;56490;58514;71466;92807;116703;110436;117118
90+;1;13;102;424;1171;1243;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;885;1466;1725;2318;3073;3514;4186;5412;5982;5259;4978;5417;5038;3944;2882;1938;1303;1072;834;617;612;647;669;641;768
85 - 89;6;38;219;737;1447;1425;925;681;326;263;179;127;85;51;51;47;33;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;575;1146;1788;2290;2829;3373;4096;4598;5927;6951;5863;5592;6081;5555;4452;3323;2580;1655;1466;1206;961;939;1117;1263;1186;1061
80 - 84;12;85;469;1281;1966;1715;1181;821;452;300;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;470;857;1837;2838;3433;3807;4360;4780;5453;7091;8279;7443;6875;7668;6689;5329;4189;3150;2300;2003;1781;1549;1645;1806;2142;1909;1940
75 - 79;24;114;573;1406;1788;1316;854;587;351;274;176;105;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1626;2651;3051;3291;3386;3495;3977;4998;5951;5122;4646;5223;4322;3412;2826;2212;1699;1716;1581;1366;1435;1898;2230;2180;2330
70 - 74;11;145;620;1327;1417;1047;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;151;259;265;350;587;934;1799;2882;3183;3301;3359;3198;3486;4390;5171;4454;4140;4826;3661;3064;2482;2064;1579;1597;1648;1559;1810;2385;2848;2898;3093
65 - 69;25;238;886;1649;1690;1117;661;504;266;208;146;123;106;60;51;69;66;62;62;71;85;86;121;110;121;130;127;225;290;305;451;685;1284;2267;3552;4258;4016;4152;4142;4126;5178;6354;5592;4981;5719;4414;3626;3128;2535;1921;2046;2127;1996;2297;3194;3912;3978;4273
60 - 64;61;427;1601;2524;2782;1792;1084;674;405;332;240;175;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;492;542;681;1271;2120;3960;5996;6868;6913;7309;7001;7653;9437;11031;9188;8280;9266;7552;6233;5127;4221;3188;3256;3521;3427;4128;5310;6588;6410;6791
55 - 59;77;753;2600;3593;3669;2606;1565;1060;599;510;360;266;237;142;134;186;203;155;116;177;241;287;307;326;429;354;393;556;762;865;1109;1870;2998;5757;8971;10170;10303;10242;9879;10367;13059;15016;12383;11091;12333;10038;8344;7024;5814;4510;4604;4850;4642;5712;7278;9098;8983;9579
50 - 54;133;980;3093;3998;3695;2611;1559;992;604;520;376;251;241;150;146;317;268;186;173;208;294;350;417;473;560;538;551;670;897;996;1206;2272;3577;6420;9774;10961;11008;10838;10343;10566;13263;14930;11999;10529;12090;9800;8186;6687;5309;4312;4514;4749;4951;5912;7532;9369;9134;9825
