Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15
Gesamt;897;6429;22415;33971;36058;27160;17345;12360;7437;6237;4762;3609;3204;2352;2342;4126;3212;2690;2427;3014;3929;4822;6058;7949;9591;8823;8614;9769;12296;13063;15932;26126;42087;74824;111090;125803;127846;128465;123294;128507;156524;174927;139207;123196;145489;119012;95580;78248;64679;50855;52500;56479;58521;71470;92815;116666;110482;118417;140789
90+;1;13;102;424;1171;1242;848;581;285;207;141;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;885;1466;1725;2317;3072;3514;4186;5410;5981;5258;4978;5416;5036;3942;2882;1937;1303;1072;834;615;612;648;668;639;764;828
85 - 89;6;38;219;736;1447;1425;925;680;325;262;179;126;85;51;51;47;33;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;575;1146;1788;2290;2829;3372;4096;4598;5926;6949;5862;5591;6081;5556;4452;3323;2580;1655;1465;1203;963;939;1118;1262;1188;1068;1203
80 - 84;12;85;468;1281;1965;1715;1180;821;452;300;245;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;196;212;316;469;857;1837;2838;3433;3807;4360;4781;5452;7090;8277;7440;6874;7665;6690;5331;4189;3151;2297;2001;1779;1550;1643;1805;2139;1910;1968;2206
75 - 79;24;114;571;1404;1788;1316;853;587;351;274;174;105;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;311;504;903;1626;2651;3052;3290;3386;3495;3977;4997;5950;5121;4647;5221;4323;3411;2826;2210;1698;1716;1580;1366;1436;1898;2229;2181;2359;2677
70 - 74;11;145;619;1326;1413;1045;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;105;151;258;265;350;587;934;1799;2882;3181;3301;3359;3198;3485;4389;5167;4454;4139;4826;3660;3064;2481;2065;1580;1597;1649;1559;1812;2383;2849;2901;3146;3572
65 - 69;25;237;885;1646;1690;1117;659;503;266;208;146;123;106;60;51;70;66;62;62;71;85;86;121;110;121;129;127;225;290;305;451;685;1284;2266;3552;4257;4016;4152;4142;4125;5178;6352;5592;4979;5718;4414;3627;3127;2535;1922;2046;2126;1996;2300;3196;3906;3972;4304;4866
60 - 64;61;427;1600;2522;2778;1787;1083;674;405;332;239;174;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;491;542;681;1272;2120;3960;5996;6866;6913;7307;7002;7652;9437;11030;9185;8279;9267;7553;6231;5128;4222;3188;3254;3521;3429;4129;5309;6593;6410;6871;7511
55 - 59;77;751;2595;3591;3667;2605;1563;1060;599;510;360;265;237;142;134;186;203;155;116;177;241;287;307;326;429;354;392;556;761;865;1109;1870;2998;5756;8970;10170;10301;10241;9880;10367;13061;15014;12383;11090;12334;10041;8343;7023;5814;4510;4603;4850;4642;5714;7283;9102;8981;9697;10585
50 - 54;133;980;3090;3998;3694;2609;1559;991;604;520;376;251;241;150;146;317;267;186;173;208;294;350;417;473;560;538;551;670;897;996;1206;2272;3577;6418;9772;10960;11006;10837;10344;10565;13262;14931;11996;10526;12088;9799;8182;6687;5309;4311;4513;4749;4951;5907;7529;9364;9149;9951;10997
45 - 49;99;744;2106;2919;2714;1915;1174;785;469;447;330;253;214;161;145;375;278;220;181;232;335;385;457;575;695;604;614;693;876;897;1200;2037;3127;5813;8382;9479;9297;9681;9063;9240;11104;12446;9733;8562;9791;7967;6473;5305;4488;3557;3772;4056;4300;5202;6525;8200;8002;8770;10074
40 - 44;85;565;1801;2325;2306;1679;1023;697;456;405;357;244;211;176;157;453;273;214;190;250;321;429;489;639;715;660;646;687;843;860;1052;1869;2905;5300;7877;8882;8988;9235;8809;8831;10901;11994;9522;8032;9533;7561;6227;5121;4293;3473;3591;4148;4282;5347;7004;9140;8352;9277;10599
35 - 39;67;546;1753;2380;2205;1650;981;764;462;421;353;276;240;156;194;384;299;225;204;251;358;383;515;643;759;716;649;701;902;1007;1153;1825;3105;5395;8084;8957;9192;9208;8712;9137;11002;12227;9533;8091;10138;8018;6341;5208;4475;3602;3733;4190;4592;5770;7632;9485;9014;9497;11122
30 - 34;69;537;2051;2635;2419;1749;1205;906;561;487;394;319;270;206;224;412;332;257;259;298;383;423;515;700;945;858;939;938;1209;1301;1524;2359;3858;6714;9576;10491;10483;10088;9377;9484;11532;13021;10057;9195;11602;9055;7029;5782;4921;3903;4111;4544;4912;6032;7908;9889;9551;10139;11909
25 - 29;76;547;1995;2689;2485;1934;1293;995;681;522;392;346;316;223;243;391;326;315;227;308;409;510;607;838;1195;1221;1157;1230;1483;1439;1746;2687;4481;7315;10336;11154;10697;9934;9009;9149;10805;12124;9448;8426;10803;8539;6400;5354;4491;3657;3904;4158;4276;5484;7023;8456;8407;9217;10817
20 - 24;70;323;1445;2270;2244;1735;1230;958;595;507;419;315;289;229;249;379;260;258;237;300;378;521;745;1165;1544;1329;1250;1285;1518;1584;1743;2787;4384;7553;10423;11734;11032;10219;8947;9194;10799;12111;9083;8598;10890;8519;6442;5245;4385;3655;3965;4205;4410;5446;6915;8596;8567;9793;11464
