Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16
Gesamt;897;6429;22410;33970;36053;27158;17342;12362;7437;6238;4761;3608;3205;2352;2342;4126;3212;2690;2426;3015;3929;4823;6057;7949;9590;8821;8615;9770;12296;13063;15928;26127;42086;74817;111077;125799;127846;128456;123290;128506;156512;174930;139212;123193;145482;119004;95576;78244;64669;50848;52492;56460;58502;71452;92789;116631;110441;118588;142522;144068
90+;1;13;102;424;1170;1242;848;581;285;207;141;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;439;884;1465;1725;2316;3072;3515;4188;5411;5979;5258;4977;5416;5035;3941;2882;1934;1303;1072;834;614;610;648;669;639;749;825;852
85 - 89;6;38;218;736;1447;1425;925;680;324;262;179;126;85;51;51;47;33;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;575;1146;1788;2290;2831;3371;4095;4597;5924;6948;5860;5591;6080;5556;4452;3324;2581;1653;1465;1203;963;940;1118;1260;1189;1073;1214;1174
80 - 84;12;85;469;1281;1965;1715;1178;821;452;301;245;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;196;212;316;469;857;1836;2838;3433;3808;4360;4781;5452;7088;8278;7441;6874;7667;6689;5329;4190;3150;2298;2000;1777;1550;1641;1802;2136;1905;1960;2225;2004
75 - 79;24;114;571;1404;1789;1316;853;587;351;274;174;105;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1626;2649;3053;3289;3386;3497;3977;4997;5951;5121;4646;5222;4323;3411;2825;2208;1697;1716;1579;1367;1433;1898;2229;2181;2359;2714;2479
70 - 74;11;145;619;1326;1412;1045;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;105;151;258;265;350;587;934;1799;2881;3181;3301;3360;3197;3484;4389;5167;4455;4139;4825;3660;3065;2481;2064;1581;1599;1647;1560;1812;2381;2849;2902;3164;3625;3351
65 - 69;25;237;885;1646;1690;1117;659;503;266;208;146;123;106;60;51;70;66;62;62;71;85;86;121;110;121;129;127;225;290;305;451;685;1284;2264;3551;4257;4017;4151;4141;4125;5178;6353;5593;4978;5717;4413;3626;3124;2535;1920;2045;2125;1997;2299;3195;3904;3977;4305;4925;4598
60 - 64;61;427;1598;2522;2778;1787;1083;674;405;332;239;174;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;491;542;681;1271;2120;3960;5996;6865;6913;7307;7001;7652;9438;11031;9185;8279;9268;7551;6231;5128;4222;3187;3253;3521;3427;4127;5306;6586;6420;6881;7605;7696
55 - 59;77;751;2594;3592;3666;2605;1563;1061;599;510;360;264;237;142;134;186;203;155;116;177;241;287;307;326;430;354;392;556;761;866;1109;1870;2998;5756;8971;10169;10301;10242;9879;10367;13063;15016;12382;11089;12335;10042;8342;7022;5815;4508;4603;4846;4640;5712;7285;9109;8968;9724;10720;10950
50 - 54;133;980;3090;3997;3693;2609;1559;991;604;520;376;251;241;150;146;317;267;186;173;208;294;350;417;473;558;538;551;670;897;996;1206;2272;3577;6417;9772;10960;11006;10837;10345;10565;13262;14931;11996;10527;12087;9798;8182;6689;5310;4308;4510;4750;4944;5907;7532;9365;9154;9971;11135;11565
45 - 49;99;744;2106;2919;2713;1915;1174;785;469;447;330;253;214;161;145;375;278;220;180;232;335;385;457;575;695;603;614;693;876;897;1199;2037;3127;5814;8382;9480;9296;9681;9063;9238;11103;12445;9735;8563;9791;7965;6475;5305;4486;3558;3773;4056;4300;5199;6521;8195;7998;8774;10179;10613
40 - 44;85;565;1800;2325;2306;1678;1023;697;456;405;357;244;212;176;157;453;273;214;190;250;321;429;489;639;715;660;646;687;843;860;1052;1869;2904;5300;7877;8882;8989;9235;8809;8831;10905;11995;9524;8031;9532;7562;6228;5120;4290;3473;3593;4146;4281;5349;7002;9131;8354;9295;10732;10774
35 - 39;67;546;1753;2379;2205;1650;981;765;462;421;353;276;240;156;194;384;299;225;204;251;358;383;515;643;759;716;649;701;902;1007;1153;1825;3105;5393;8086;8957;9192;9205;8713;9141;11000;12225;9534;8093;10139;8018;6340;5208;4476;3601;3729;4191;4592;5774;7627;9480;9013;9508;11286;11206
30 - 34;69;537;2051;2635;2418;1748;1205;906;561;487;394;319;270;206;224;412;332;257;259;299;383;423;514;700;945;858;939;938;1209;1301;1524;2359;3858;6714;9571;10491;10484;10089;9378;9484;11531;13024;10056;9199;11604;9056;7028;5780;4918;3902;4112;4542;4910;6032;7906;9886;9547;10166;12042;11782
25 - 29;76;547;1995;2689;2485;1933;1292;995;681;522;391;346;316;223;243;391;326;315;227;308;409;510;607;838;1195;1221;1158;1230;1483;1439;1745;2687;4481;7316;10334;11151;10699;9934;9010;9147;10804;12127;9446;8425;10799;8537;6399;5353;4493;3657;3904;4157;4276;5482;7021;8447;8394;9235;10958;10765
20 - 24;70;323;1445;2270;2244;1736;1230;958;595;507;419;315;289;229;249;379;260;258;237;300;378;521;745;1165;1544;1328;1250;1286;1518;1585;1742;2788;4384;7551;10422;11733;11033;10221;8947;9194;10798;12109;9087;8597;10889;8519;6444;5244;4383;3656;3964;4202;4407;5445;6917;8594;8558;9813;11605;11208
15 - 19;42;182;538;938;1075;855;571;403;264;260;182;152;160;160;111;240;169;138;150;191;247;365;542;742;880;834;770;831;1041;1044;1328;2068;2960;4859;7194;8408;8703;8205;7457;7728;8834;8468;5877;4956;6379;5408;4209;3477;2924;2376;2622;3076;3223;4109;5554;7199;6610;7577;10829;10257
10 - 14;20;101;253;379;430;305;236;188;136;125;118;107;119;103;119;192;146;105;103;147;191;251;364;544;577;483;430;498;518;585;709;1142;1652;2740;4085;4771;5335;5302;5190;5161;5698;5292;3380;2650;3327;2727;2221;1877;1728;1412;1578;1885;2310;2878;4173;5737;4858;5169;7681;8654
5 - 9;10;56;169;248;293;237;163;153;120;105;111;79;113;99;123;176;138;123;115;136;151;198;285;408;380;353;318;324;355;388;432;626;973;1831;2790;3363;3615;3917;3814;3682;4266;4315;3027;1939;2394;2205;1901;1645;1603;1392;1553;2006;2736;3675;4771;6714;5210;4711;6998;8333
0 - 4;9;36;143;254;271;237;161;185;132;138;116;124;88;107;110;159;135;143;147;140;161;150;189;276;283;223;227;226;291;301;324;523;888;1456;2235;2415;2418;2377;2323;2305;2666;3110;2114;1528;1913;1861;1698;1536;1512;1350;1378;1887;2381;3003;4056;5033;4481;4037;5099;5570
