Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17
Gesamt;897;6429;22408;33970;36052;27156;17342;12359;7438;6239;4761;3601;3207;2351;2342;4126;3211;2690;2426;3016;3929;4823;6054;7949;9591;8820;8615;9768;12294;13064;15928;26126;42086;74811;111078;125794;127839;128445;123288;128489;156489;174879;139154;123151;145533;119049;95602;78250;64669;50861;52491;56450;58500;71456;92775;116596;110406;118519;142548;145336;124151
90+;1;13;102;424;1170;1242;848;581;285;207;141;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;439;884;1464;1725;2315;3061;3516;4183;5410;5977;5256;4972;5417;5039;3946;2878;1935;1305;1072;835;614;610;649;665;632;739;813;846;669
85 - 89;6;38;218;736;1447;1425;925;680;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;103;121;165;306;575;1146;1787;2289;2831;3371;4095;4597;5922;6942;5849;5590;6083;5560;4456;3324;2580;1651;1465;1205;963;940;1117;1260;1187;1074;1212;1183;977
80 - 84;12;85;469;1281;1965;1714;1178;821;452;301;245;153;113;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;196;212;316;469;857;1836;2838;3433;3807;4360;4782;5451;7083;8271;7430;6871;7669;6694;5331;4194;3152;2298;2002;1779;1551;1639;1800;2137;1905;1957;2231;2033;1590
75 - 79;24;114;571;1404;1788;1316;853;587;351;274;174;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1626;2649;3053;3288;3387;3498;3976;4997;5949;5118;4641;5228;4324;3411;2824;2208;1697;1715;1580;1369;1433;1901;2227;2182;2357;2716;2508;2111
70 - 74;11;145;619;1326;1412;1045;631;424;275;208;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;105;151;258;265;350;587;934;1799;2882;3182;3301;3359;3197;3484;4389;5163;4451;4140;4826;3661;3067;2484;2063;1582;1598;1649;1560;1813;2380;2848;2903;3161;3625;3377;2867
65 - 69;25;237;885;1646;1690;1117;659;503;265;208;146;122;106;60;51;70;66;62;62;71;85;86;121;110;121;129;127;225;290;305;451;687;1284;2264;3550;4258;4017;4151;4140;4121;5178;6349;5594;4976;5718;4418;3625;3123;2534;1920;2044;2125;1997;2300;3195;3902;3975;4300;4929;4645;3959
60 - 64;61;427;1598;2522;2778;1787;1083;674;405;332;239;175;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;491;542;681;1272;2121;3960;5996;6862;6914;7310;7001;7651;9437;11028;9182;8274;9268;7554;6234;5132;4222;3189;3253;3520;3427;4129;5305;6584;6422;6886;7609;7791;6782
55 - 59;77;751;2594;3592;3666;2605;1563;1060;599;510;360;264;237;142;134;186;203;156;116;177;241;287;307;326;430;354;393;556;761;867;1109;1871;2998;5755;8972;10169;10301;10243;9881;10369;13061;15015;12380;11089;12342;10045;8341;7024;5818;4505;4605;4844;4638;5712;7284;9108;8962;9715;10707;11055;9860
50 - 54;133;980;3090;3997;3693;2609;1559;991;604;520;376;251;241;150;146;317;267;186;173;208;294;350;417;473;558;538;551;670;897;996;1206;2272;3577;6417;9772;10960;11007;10837;10344;10562;13259;14927;11991;10523;12090;9805;8184;6694;5310;4309;4510;4749;4945;5909;7529;9365;9153;9967;11144;11670;10063
