Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18
Gesamt;897;6429;22407;33971;36054;27155;17340;12359;7439;6239;4761;3600;3206;2351;2341;4126;3211;2690;2426;3016;3929;4823;6055;7950;9591;8822;8616;9769;12295;13064;15927;26125;42087;74811;111083;125791;127835;128437;123278;128480;156478;174853;139086;123112;145526;119119;95644;78255;64671;50860;52494;56446;58500;71462;92753;116563;110401;118504;142475;145159;124937;100788
90+;1;13;102;424;1170;1242;848;581;286;207;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;29;24;45;74;94;118;184;439;884;1463;1724;2315;3062;3515;4182;5409;5974;5249;4967;5418;5047;3950;2880;1935;1304;1072;834;614;611;648;666;631;737;812;824;659;571
85 - 89;6;38;218;736;1447;1425;925;680;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;103;121;165;306;575;1146;1787;2289;2831;3370;4093;4597;5921;6939;5838;5582;6086;5572;4463;3326;2579;1653;1467;1204;963;939;1117;1260;1185;1073;1210;1180;987;854
80 - 84;12;85;469;1281;1965;1714;1178;821;452;301;245;153;113;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;196;212;316;469;857;1836;2838;3433;3806;4360;4781;5450;7081;8268;7427;6868;7668;6698;5336;4196;3151;2297;2002;1778;1549;1639;1799;2137;1905;1960;2229;2032;1593;1372
75 - 79;24;114;571;1404;1788;1316;853;587;351;274;174;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1626;2648;3054;3288;3387;3498;3973;4997;5947;5111;4636;5227;4327;3419;2823;2208;1698;1716;1580;1370;1433;1900;2224;2184;2358;2713;2497;2119;1672
70 - 74;11;145;619;1327;1412;1044;632;424;275;208;129;93;80;47;40;58;40;37;57;62;63;89;91;79;96;92;105;151;258;265;350;587;934;1799;2882;3182;3301;3362;3197;3484;4388;5161;4447;4136;4829;3665;3067;2485;2063;1582;1598;1649;1560;1813;2381;2844;2901;3158;3618;3372;2886;2311
65 - 69;25;237;885;1645;1690;1117;659;503;265;208;146;122;106;60;51;70;66;62;62;71;85;86;121;110;121;129;127;225;290;305;451;687;1284;2265;3550;4258;4017;4151;4139;4121;5179;6347;5590;4977;5720;4419;3631;3124;2535;1919;2044;2123;1997;2300;3192;3901;3978;4302;4923;4641;3970;3283
60 - 64;61;427;1598;2522;2778;1787;1083;674;405;332;239;175;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;491;542;681;1272;2121;3961;5996;6861;6915;7310;7001;7649;9437;11026;9179;8269;9267;7558;6239;5130;4223;3189;3254;3519;3427;4130;5305;6585;6423;6883;7603;7773;6822;5501
55 - 59;77;751;2594;3592;3666;2604;1563;1060;599;510;360;264;237;142;134;186;203;156;116;177;241;287;307;326;430;355;393;556;761;867;1109;1871;2998;5754;8973;10170;10301;10242;9882;10370;13062;15008;12379;11089;12341;10049;8344;7024;5822;4507;4605;4844;4637;5711;7282;9105;8960;9711;10703;11049;9933;7778
50 - 54;133;979;3090;3998;3695;2609;1558;991;604;520;376;251;241;150;146;317;267;186;173;208;294;350;417;473;558;538;551;670;898;996;1205;2271;3577;6417;9772;10960;11008;10834;10343;10562;13260;14927;11985;10521;12092;9812;8187;6692;5309;4309;4511;4747;4948;5910;7533;9365;9155;9968;11141;11653;10146;7984
45 - 49;99;744;2105;2918;2713;1915;1174;785;469;447;330;253;214;162;145;375;278;220;180;232;335;385;457;575;695;603;614;693;876;897;1199;2035;3127;5815;8387;9480;9294;9682;9063;9235;11101;12444;9731;8556;9796;7967;6481;5307;4490;3558;3773;4054;4297;5196;6522;8195;7995;8771;10187;10698;9020;7425
40 - 44;85;565;1799;2325;2306;1678;1022;697;456;405;357;243;212;175;157;453;273;214;190;250;321;429;489;639;715;660;647;687;843;860;1053;1870;2903;5300;7878;8881;8991;9234;8810;8831;10904;11989;9517;8024;9540;7571;6230;5119;4291;3473;3594;4143;4281;5350;7003;9127;8343;9287;10729;10844;9587;7686
35 - 39;67;547;1754;2379;2205;1651;981;765;462;421;353;274;241;156;194;384;299;225;204;251;358;383;515;643;759;715;649;701;902;1007;1153;1826;3105;5394;8089;8958;9191;9207;8714;9148;11001;12220;9530;8093;10139;8019;6343;5206;4472;3599;3728;4189;4591;5774;7621;9472;9011;9505;11301;11299;10030;7935
30 - 34;69;537;2050;2635;2418;1748;1204;905;562;486;394;318;269;206;223;412;332;257;259;299;383;423;514;701;945;858;938;939;1209;1303;1525;2359;3859;6712;9571;10491;10483;10085;9374;9487;11528;13026;10054;9198;11608;9069;7030;5779;4914;3904;4115;4540;4904;6036;7903;9884;9551;10164;12039;11887;10470;8261
25 - 29;76;547;1995;2689;2485;1933;1293;994;682;522;391;346;316;222;243;391;326;315;227;308;409;510;606;838;1195;1222;1158;1229;1483;1438;1745;2687;4481;7317;10339;11153;10696;9936;9007;9144;10797;12126;9435;8419;10795;8547;6400;5352;4493;3663;3901;4156;4277;5482;7021;8434;8396;9228;10956;10820;9211;7482
20 - 24;70;323;1445;2270;2244;1736;1229;958;594;507;419;313;288;229;249;379;260;258;237;300;378;521;745;1165;1544;1328;1250;1285;1518;1585;1741;2788;4386;7548;10425;11733;11030;10219;8947;9190;10798;12102;9082;8598;10892;8527;6443;5248;4383;3659;3963;4202;4411;5441;6908;8588;8543;9806;11595;11309;9632;7810
15 - 19;42;182;537;938;1075;854;571;403;264;261;182;152;160;160;111;240;169;138;150;191;247;365;543;742;880;834;770;831;1039;1044;1328;2068;2962;4860;7196;8409;8705;8206;7456;7726;8836;8473;5876;4953;6379;5406;4208;3475;2928;2376;2620;3077;3220;4114;5551;7196;6612;7578;10817;10370;8627;7030
10 - 14;20;101;253;379;430;305;236;188;136;125;118;107;119;103;119;192;146;105;103;147;191;251;364;544;577;483;430;498;518;585;709;1142;1651;2741;4085;4773;5335;5299;5188;5160;5696;5289;3379;2649;3332;2724;2221;1876;1727;1412;1577;1883;2310;2877;4172;5733;4862;5174;7682;8751;7167;6091
5 - 9;10;56;169;248;293;237;163;153;120;105;111;79;113;99;123;176;137;122;115;136;151;198;285;408;381;353;318;324;355;388;433;626;972;1831;2792;3362;3616;3916;3815;3681;4265;4316;3026;1940;2393;2204;1902;1644;1604;1392;1552;2006;2738;3679;4770;6710;5210;4705;7003;8411;6874;5531
0 - 4;9;36;143;255;271;237;161;185;133;138;116;122;88;107;110;159;135;143;147;140;161;150;188;276;283;223;227;226;291;301;324;523;888;1457;2236;2414;2418;2376;2321;2307;2666;3109;2115;1530;1910;1859;1697;1536;1512;1350;1378;1888;2382;3002;4053;5032;4477;4026;5110;5590;5080;4100
