Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19
Gesamt;899;6428;22407;33970;36052;27155;17339;12359;7440;6240;4761;3598;3206;2351;2341;4124;3211;2690;2426;3017;3927;4823;6054;7951;9593;8820;8616;9769;12292;13060;15927;26126;42079;74807;111080;125787;127837;128430;123274;128475;156477;174838;139082;123113;145509;119114;95638;78241;64666;50854;52496;56438;58490;71461;92759;116566;110399;118545;142472;145231;125140;101158;70221
90+;1;13;102;424;1170;1242;848;581;286;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;29;24;45;74;94;118;184;439;884;1463;1724;2314;3062;3513;4182;5411;5975;5250;4968;5416;5045;3948;2879;1935;1305;1072;834;614;611;648;666;629;735;810;813;655;561;425
85 - 89;6;38;218;736;1447;1425;925;680;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;103;121;165;306;575;1146;1787;2289;2831;3369;4092;4597;5922;6936;5838;5582;6086;5572;4461;3326;2578;1653;1467;1205;963;937;1118;1260;1185;1075;1210;1179;990;854;617
80 - 84;12;85;469;1280;1965;1714;1178;821;452;300;245;153;113;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;469;857;1836;2838;3433;3805;4358;4781;5451;7081;8269;7426;6867;7668;6699;5335;4195;3151;2297;2002;1779;1550;1639;1798;2137;1905;1963;2224;2031;1603;1384;916
75 - 79;24;114;571;1404;1789;1316;853;587;351;275;174;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;309;504;903;1626;2648;3053;3288;3387;3498;3972;4997;5946;5110;4635;5225;4328;3419;2822;2207;1698;1716;1577;1370;1433;1899;2224;2182;2362;2711;2497;2127;1669;1125
70 - 74;11;145;619;1327;1413;1044;632;424;275;208;129;94;80;47;40;58;40;37;57;62;63;89;91;79;96;92;105;151;258;265;350;587;934;1799;2882;3182;3301;3362;3198;3484;4386;5159;4445;4136;4830;3666;3066;2483;2063;1583;1598;1649;1559;1812;2379;2845;2900;3157;3617;3377;2895;2314;1587
65 - 69;25;236;885;1645;1690;1116;659;503;265;208;146;122;106;60;51;70;66;62;62;71;85;86;121;110;121;129;127;225;290;305;451;687;1284;2265;3548;4260;4017;4151;4140;4121;5181;6346;5590;4976;5720;4418;3629;3125;2535;1919;2044;2123;1997;2302;3195;3901;3978;4311;4924;4638;3974;3298;2287
60 - 64;63;428;1598;2522;2778;1787;1083;674;405;332;239;175;168;106;91;121;107;111;93;110;152;152;204;192;237;244;248;338;491;542;681;1272;2120;3959;5996;6862;6915;7310;7000;7649;9437;11023;9179;8270;9269;7558;6240;5130;4222;3189;3254;3519;3426;4127;5308;6585;6423;6888;7604;7782;6825;5534;3686
55 - 59;77;751;2595;3592;3665;2604;1563;1059;599;510;360;263;237;142;134;186;203;156;116;177;241;287;307;326;430;355;393;556;761;867;1109;1871;2998;5754;8975;10168;10301;10243;9882;10368;13061;15008;12376;11089;12339;10048;8343;7023;5821;4506;4607;4843;4638;5716;7278;9104;8964;9710;10706;11053;9946;7818;5280
50 - 54;133;979;3089;3998;3695;2609;1558;991;604;520;376;251;240;150;146;317;267;186;173;208;294;350;417;473;558;538;551;670;898;996;1205;2272;3576;6417;9773;10963;11008;10837;10342;10562;13261;14927;11985;10522;12095;9817;8189;6692;5309;4310;4511;4747;4946;5910;7535;9367;9154;9969;11135;11662;10158;8024;5394
45 - 49;99;744;2105;2918;2712;1915;1173;786;469;447;330;253;214;162;145;375;278;220;180;232;335;385;457;575;695;603;615;693;876;896;1199;2035;3126;5816;8387;9483;9294;9682;9062;9236;11100;12444;9732;8558;9792;7966;6483;5308;4491;3558;3773;4054;4298;5193;6523;8196;8000;8776;10188;10695;9042;7437;5043
40 - 44;85;564;1799;2325;2306;1678;1022;697;456;405;357;243;212;175;157;452;273;214;190;251;320;429;489;639;715;660;647;687;843;860;1053;1869;2903;5301;7880;8878;8992;9235;8812;8830;10902;11988;9519;8023;9538;7572;6232;5117;4290;3472;3594;4143;4280;5352;7000;9131;8343;9289;10734;10860;9597;7720;5277
