Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20
Gesamt;1.08;7.73;26.94;40.85;43.34;32.65;20.85;14.86;8.94;7.5;5.73;4.33;3.85;2.83;2.81;4.96;3.86;3.23;2.92;3.63;4.72;5.8;7.28;9.56;11.53;10.61;10.36;11.74;14.78;15.7;19.14;31.41;50.58;89.95;133.53;151.23;153.71;154.42;148.23;154.45;188.1;210.19;167.23;148.02;174.92;143.22;114.99;94.06;77.74;61.13;63.13;67.85;70.3;85.9;111.47;140.09;132.66;142.44;171.15;174.49;150.34;121.68;85.31;63.11
90+;0.12;1.58;12.39;51.64;142.15;150.9;103.03;70.71;34.63;25.03;17.13;12.51;8.75;5.1;5.59;4.5;3.4;2.92;1.7;3.28;2.07;4.74;3.4;3.04;2.19;3.52;2.92;5.47;8.99;11.42;14.34;22.36;53.34;107.28;177.88;209.34;281.27;372.03;427.19;508.23;656.95;725.6;637.51;603.98;657.56;612.84;479.44;349.55;235.1;158.56;130.37;100.72;74.6;74.11;78.49;80.92;76.54;88.09;97.69;98.54;78.97;67.43;51.03;33.78
85 - 89;0.38;2.43;13.94;47;92.53;91.12;59.21;43.48;20.72;16.75;11.45;8.06;5.44;3.26;3.26;3.01;2.11;1.79;1.28;1.53;2.17;2.62;2.49;3.58;1.47;2.11;1.6;5.44;6.52;7.74;10.49;19.57;36.77;73.35;114.27;146.25;181.1;215.56;261.61;293.71;378.44;443.47;373.26;356.76;389.18;356.25;284.95;212.62;164.73;105.64;93.81;77.18;61.58;59.92;71.49;80.57;75.84;68.55;77.38;75.2;63.24;54.61;39.45;26.15
80 - 84;0.36;2.55;14.21;38.86;59.65;52.06;35.79;24.89;13.72;9.11;7.47;4.64;3.43;2.31;1.85;1.88;1.55;1.49;1.09;1.15;1.55;2.73;2.09;2.46;1.94;1.52;1.82;4.04;5.95;6.44;9.56;14.24;26.01;55.73;86.15;104.21;115.5;132.38;145.04;165.32;215.04;251.01;225.39;208.45;232.77;203.29;161.86;127.34;95.62;69.7;60.77;54;46.99;49.72;54.55;64.72;57.77;59.5;67.39;61.53;48.57;41.95;28.17;20.79
75 - 79;0.62;2.94;14.73;36.22;46.18;33.95;22;15.14;9.05;7.09;4.49;2.71;2.14;1.5;1.19;1.68;1.47;1.03;1.03;1.14;1.47;1.83;1.42;1.83;1.73;1.78;1.93;3.79;4.67;5.98;7.97;13.03;23.29;41.95;68.26;78.76;84.87;87.35;90.24;102.39;128.96;153.39;131.72;119.54;134.76;111.68;88.2;72.85;56.88;43.78;44.24;40.68;35.29;36.97;48.96;57.27;56.21;60.86;69.94;64.39;54.84;43;29.46;20.04
70 - 74;0.3;3.95;16.85;36.12;38.46;28.42;17.2;11.54;7.48;5.66;3.51;2.56;2.18;1.28;1.09;1.55;1.09;1.01;1.55;1.69;1.71;2.42;2.48;2.15;2.61;2.5;2.86;4.11;7.02;7.21;9.5;15.95;25.39;49.02;78.39;86.61;89.85;91.48;87.04;94.77;119.32;140.42;120.98;112.49;131.49;99.81;83.48;67.55;56.18;43.03;43.52;44.85;42.43;49.32;64.78;77.38;79.01;85.82;98.47;91.86;78.6;62.9;43.49;29.5
65 - 69;0.51;4.86;18.21;33.85;34.76;22.97;13.56;10.35;5.45;4.28;3;2.51;2.18;1.23;1.05;1.44;1.36;1.28;1.28;1.46;1.75;1.77;2.49;2.26;2.49;2.65;2.61;4.63;5.97;6.28;9.28;14.14;26.43;46.63;73.02;87.65;82.65;85.35;85.18;84.75;106.54;130.58;115.02;102.32;117.7;90.9;74.73;64.29;52.17;39.47;42.09;43.67;41.08;47.38;65.75;80.28;81.85;88.7;101.23;95.39;81.72;67.89;47.77;33.28
60 - 64;1.12;7.58;28.29;44.67;49.19;31.64;19.18;11.93;7.17;5.88;4.23;3.1;2.97;1.88;1.61;2.14;1.89;1.97;1.65;1.95;2.69;2.69;3.61;3.4;4.2;4.3;4.39;5.98;8.69;9.6;12.06;22.52;37.5;70.1;106.17;121.46;122.44;129.4;123.96;135.4;167;195.1;162.49;146.48;164.05;133.82;110.5;90.8;74.77;56.43;57.63;62.27;60.64;73.07;93.93;116.59;113.66;121.98;134.57;137.74;120.6;98.18;66.15;46.69
55 - 59;1.14;11.15;38.5;53.32;54.38;38.64;23.2;15.73;8.89;7.57;5.34;3.9;3.52;2.11;1.99;2.76;3.01;2.3;1.72;2.63;3.58;4.26;4.56;4.84;6.38;5.28;5.83;8.24;11.28;12.87;16.45;27.76;44.47;85.41;133.15;150.91;152.89;152.05;146.72;153.9;193.76;222.82;183.69;164.55;183.09;149.12;123.86;104.21;86.4;66.9;68.4;71.84;68.81;84.81;107.91;135.16;132.95;144.02;158.73;163.97;147.55;116.14;79.16;52.59
50 - 54;1.98;14.59;46.05;59.58;55.07;38.88;23.22;14.77;9;7.75;5.6;3.76;3.58;2.24;2.16;4.72;3.98;2.77;2.58;3.11;4.38;5.22;6.2;7.05;8.32;8.02;8.21;9.98;13.38;14.84;17.96;33.86;53.29;95.62;145.6;163.35;164.03;161.56;154.08;157.4;197.59;222.36;178.61;156.81;180.22;146.3;122.05;99.68;79.1;64.23;67.23;70.77;73.68;88.04;112.28;139.52;136.27;148.42;165.82;173.6;151.31;119.67;81.43;56.39
