Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21
Gesamt;899;6425;22404;33972;36044;27157;17338;12359;7439;6239;4763;3598;3204;2351;2339;4122;3211;2689;2426;3018;3927;4828;6056;7952;9598;8820;8620;9775;12290;13063;15929;26124;42072;74813;111066;125769;127813;128419;123260;128442;156414;174793;139077;123104;145472;119086;95608;78200;64643;50845;52482;56417;58449;71421;92684;116466;110252;118404;142202;145065;124991;101162;70948;52865;29630
90+;1;13;101;425;1170;1242;848;582;285;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;29;24;45;74;94;118;184;438;883;1464;1723;2316;3062;3514;4181;5406;5965;5247;4969;5411;5036;3946;2877;1938;1304;1072;830;614;610;644;665;628;722;803;809;647;553;419;281;159
85 - 89;6;38;218;735;1447;1425;926;680;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;102;121;164;306;575;1147;1788;2287;2831;3373;4087;4595;5915;6933;5836;5577;6085;5571;4451;3323;2576;1653;1466;1205;964;938;1117;1259;1186;1070;1207;1177;992;854;620;426;234
80 - 84;12;84;468;1280;1964;1716;1178;820;452;300;246;153;113;76;61;62;51;49;36;38;51;90;70;81;64;50;60;133;196;212;315;470;857;1837;2839;3432;3803;4360;4775;5446;7082;8265;7423;6865;7669;6696;5331;4197;3147;2295;2001;1779;1546;1637;1796;2132;1902;1958;2216;2028;1599;1378;923;692;383
75 - 79;24;113;571;1404;1790;1316;853;588;351;275;174;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;308;505;902;1627;2646;3053;3292;3386;3497;3970;4999;5944;5106;4634;5225;4326;3419;2821;2204;1698;1714;1576;1367;1430;1897;2216;2177;2358;2710;2496;2123;1664;1144;786;405
70 - 74;11;145;619;1327;1412;1044;632;424;275;208;129;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;258;265;350;586;934;1801;2881;3183;3302;3359;3198;3481;4386;5159;4442;4131;4833;3667;3065;2482;2064;1579;1599;1646;1557;1812;2379;2843;2903;3148;3616;3371;2884;2304;1596;1087;578
65 - 69;25;236;885;1645;1689;1116;659;503;265;208;146;122;106;60;51;70;66;62;62;71;85;86;121;110;121;129;127;225;290;305;451;687;1283;2265;3549;4258;4016;4148;4139;4118;5175;6349;5588;4974;5720;4417;3632;3124;2533;1918;2044;2124;1995;2303;3192;3900;3972;4308;4914;4633;3970;3300;2320;1625;769
60 - 64;63;428;1598;2524;2778;1788;1083;674;405;332;239;175;168;106;91;120;107;111;93;110;152;152;204;192;237;243;248;339;491;542;681;1272;2121;3959;5998;6859;6919;7309;7000;7645;9429;11019;9178;8271;9265;7558;6241;5128;4224;3187;3257;3516;3422;4126;5303;6582;6418;6887;7597;7774;6803;5540;3739;2654;1339
55 - 59;77;751;2594;3591;3664;2603;1563;1060;599;510;360;263;237;142;133;186;203;155;116;177;241;287;307;326;430;356;393;555;760;867;1108;1870;2998;5756;8972;10169;10300;10249;9880;10372;13053;15009;12378;11086;12333;10048;8344;7014;5819;4509;4607;4836;4637;5713;7268;9106;8951;9693;10683;11041;9939;7824;5325;3577;1910
50 - 54;133;979;3091;3999;3695;2609;1558;990;604;521;376;252;241;150;145;317;267;186;172;209;294;350;416;472;559;537;551;670;898;996;1206;2271;3576;6414;9770;10960;11004;10838;10338;10559;13259;14921;11981;10525;12096;9816;8189;6686;5307;4309;4512;4753;4945;5906;7534;9360;9139;9961;11125;11649;10150;8036;5466;3788;2033
