Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22
Gesamt;899;6429;22399;33971;36044;27155;17337;12358;7439;6240;4763;3598;3204;2351;2340;4121;3214;2689;2426;3019;3926;4828;6055;7950;9599;8821;8621;9769;12290;13059;15921;26122;42066;74815;111062;125770;127805;128424;123254;128447;156392;174799;139065;123106;145490;119080;95599;78191;64633;50844;52468;56410;58435;71409;92661;116453;110197;118356;142152;145006;124919;101129;70916;52823;29886;20558
90+;1;13;101;425;1170;1242;848;582;285;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;29;24;45;74;94;118;184;438;883;1464;1724;2317;3063;3514;4181;5405;5964;5247;4968;5411;5037;3945;2876;1937;1304;1070;828;613;610;644;665;628;722;801;809;647;550;420;283;160;136
85 - 89;6;38;218;735;1447;1425;926;680;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;102;121;164;306;575;1148;1788;2286;2832;3374;4085;4595;5915;6927;5834;5578;6085;5572;4449;3324;2575;1651;1467;1205;964;937;1117;1259;1186;1070;1205;1176;993;854;619;429;236;162
80 - 84;12;84;468;1280;1964;1717;1178;820;452;301;246;153;113;76;61;62;51;49;36;38;51;90;70;81;64;50;60;133;196;212;316;470;857;1836;2838;3432;3802;4360;4775;5445;7080;8267;7424;6864;7670;6696;5332;4196;3149;2292;2001;1779;1546;1637;1796;2131;1902;1959;2217;2026;1595;1377;921;690;381;211
75 - 79;24;113;571;1404;1790;1316;853;588;351;275;174;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;308;505;902;1627;2647;3052;3291;3387;3497;3970;4998;5945;5104;4634;5227;4323;3419;2821;2204;1698;1714;1575;1367;1430;1895;2218;2178;2358;2707;2498;2122;1665;1145;780;413;250
70 - 74;11;146;619;1327;1412;1044;632;423;275;208;129;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;258;265;350;586;934;1801;2880;3183;3301;3360;3197;3480;4387;5156;4443;4132;4835;3665;3063;2481;2064;1578;1599;1648;1558;1812;2379;2841;2901;3145;3614;3368;2884;2303;1593;1088;583;338
65 - 69;25;237;884;1645;1689;1115;658;502;265;208;146;122;106;60;51;69;66;62;62;71;85;86;121;110;121;130;127;225;290;305;451;687;1283;2266;3549;4258;4016;4150;4138;4118;5174;6352;5588;4977;5724;4418;3633;3124;2534;1918;2045;2125;1995;2302;3192;3899;3972;4307;4915;4630;3971;3303;2323;1623;773;588
60 - 64;63;428;1598;2524;2779;1788;1083;674;405;332;239;175;168;106;91;120;107;111;93;110;152;151;204;192;237;243;248;337;491;542;681;1271;2120;3959;5996;6858;6919;7310;7005;7647;9429;11023;9179;8271;9265;7558;6242;5128;4221;3190;3255;3516;3421;4129;5301;6579;6412;6882;7593;7769;6800;5538;3732;2655;1343;848
55 - 59;77;751;2593;3592;3664;2603;1563;1060;599;509;360;263;237;142;133;186;203;155;116;177;241;287;307;326;430;356;393;555;759;867;1107;1872;2999;5757;8974;10168;10301;10250;9873;10373;13049;15010;12377;11086;12331;10046;8342;7014;5819;4509;4605;4838;4636;5712;7267;9102;8946;9694;10678;11035;9935;7823;5324;3572;1927;1252
50 - 54;133;980;3091;3999;3695;2609;1558;989;603;521;376;252;241;150;146;317;267;186;172;209;294;350;416;472;559;537;551;670;898;996;1204;2271;3575;6413;9767;10962;11002;10840;10340;10556;13256;14927;11979;10525;12102;9815;8188;6687;5310;4310;4512;4751;4944;5905;7533;9359;9134;9956;11126;11646;10147;8030;5466;3776;2058;1342
