Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23
Gesamt;899;6427;22398;33973;36047;27153;17334;12356;7438;6239;4763;3598;3204;2352;2344;4122;3214;2689;2426;3020;3926;4827;6057;7949;9598;8820;8622;9767;12290;13060;15924;26119;42062;74826;111040;125773;127783;128392;123234;128461;156387;174809;139057;123110;145541;119037;95593;78171;64609;50833;52451;56393;58421;71391;92642;116436;110169;118317;142116;144976;124905;101112;70908;52844;29935;20729;14029
90+;1;13;101;425;1170;1242;849;582;285;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;118;184;437;883;1464;1723;2315;3062;3513;4187;5405;5963;5245;4968;5407;5035;3945;2874;1935;1301;1070;826;611;609;643;664;628;721;801;798;643;548;418;279;161;137;72
85 - 89;6;38;219;735;1447;1424;925;681;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;102;121;165;306;576;1148;1787;2288;2834;3375;4087;4597;5912;6931;5838;5577;6081;5570;4448;3322;2575;1652;1467;1203;965;937;1117;1260;1186;1070;1204;1175;994;854;620;429;237;162;91
80 - 84;12;84;468;1280;1967;1717;1178;820;452;300;246;153;113;76;61;62;51;49;36;38;51;90;70;81;64;50;60;133;196;212;315;470;858;1836;2839;3433;3800;4359;4773;5447;7077;8263;7422;6863;7670;6694;5333;4197;3148;2290;1997;1778;1547;1637;1795;2131;1901;1960;2216;2023;1593;1376;919;690;381;212;161
75 - 79;24;113;571;1404;1788;1315;853;588;351;275;175;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;308;505;902;1627;2646;3052;3290;3384;3496;3969;5000;5944;5107;4637;5227;4319;3416;2820;2201;1698;1715;1574;1365;1429;1896;2218;2178;2358;2707;2497;2122;1664;1146;777;410;253;157
70 - 74;11;146;619;1327;1411;1044;632;424;275;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;258;266;351;586;934;1801;2881;3183;3299;3358;3195;3481;4388;5156;4444;4131;4835;3667;3061;2480;2065;1578;1599;1648;1557;1812;2379;2840;2902;3143;3615;3369;2885;2302;1595;1088;586;341;219
65 - 69;25;236;884;1647;1689;1115;657;502;265;208;146;122;106;60;51;69;66;62;62;71;85;86;121;110;121;130;127;224;290;305;450;687;1282;2266;3551;4257;4016;4150;4138;4118;5173;6355;5588;4977;5731;4420;3630;3123;2534;1916;2043;2123;1998;2304;3190;3900;3971;4308;4915;4634;3968;3303;2323;1622;773;593;325
60 - 64;63;428;1595;2522;2780;1789;1084;673;405;332;239;175;169;106;91;120;107;111;93;110;152;151;204;193;237;243;248;339;491;542;680;1272;2122;3961;5991;6862;6921;7308;7007;7651;9427;11027;9180;8273;9272;7556;6239;5128;4220;3190;3253;3514;3420;4128;5298;6581;6412;6882;7591;7770;6803;5533;3735;2654;1343;849;559
55 - 59;77;750;2594;3592;3664;2600;1563;1061;599;509;360;263;237;142;133;186;203;155;116;178;241;287;308;325;430;356;394;554;760;867;1109;1871;3002;5759;8973;10166;10295;10250;9869;10378;13048;15014;12377;11094;12340;10043;8344;7013;5814;4511;4607;4839;4636;5711;7264;9101;8948;9693;10682;11040;9932;7824;5327;3579;1932;1257;806
50 - 54;133;979;3091;4001;3697;2611;1558;988;602;521;375;252;241;150;146;317;267;186;172;208;294;350;416;472;560;537;550;669;897;996;1204;2271;3573;6413;9768;10966;11000;10842;10338;10555;13259;14925;11980;10525;12111;9814;8189;6680;5310;4310;4511;4750;4943;5903;7537;9357;9125;9956;11119;11650;10151;8033;5464;3777;2061;1359;828
45 - 49;99;745;2100;2916;2709;1915;1171;787;469;448;331;253;214;162;145;375;278;220;180;232;335;386;457;575;693;603;615;696;877;895;1199;2036;3123;5818;8389;9481;9281;9674;9066;9235;11100;12447;9738;8557;9796;7961;6482;5303;4489;3559;3770;4055;4294;5187;6519;8179;7988;8768;10164;10683;9034;7441;5086;3600;2086;1307;867
40 - 44;85;565;1802;2323;2304;1676;1021;697;455;403;358;244;212;175;157;452;273;214;190;251;321;431;491;639;717;660;648;686;844;860;1053;1870;2903;5304;7883;8873;8990;9239;8814;8825;10902;11994;9514;8029;9553;7562;6230;5117;4283;3468;3592;4140;4274;5346;6988;9118;8330;9269;10723;10857;9589;7727;5338;3990;2207;1598;1083
35 - 39;67;546;1753;2382;2205;1654;982;763;465;423;352;274;241;155;195;384;300;224;203;252;357;383;514;643;760;714;648;698;902;1007;1153;1822;3100;5392;8086;8967;9189;9195;8717;9145;10994;12230;9533;8093;10140;8011;6334;5198;4461;3595;3720;4182;4583;5768;7596;9466;8998;9492;11280;11280;10020;7975;5639;4230;2417;1687;1106
30 - 34;69;537;2049;2635;2419;1742;1205;902;562;487;394;315;269;207;225;412;332;259;259;299;382;424;515;701;946;860;939;940;1208;1301;1524;2359;3858;6713;9571;10486;10479;10084;9368;9483;11522;13029;10049;9201;11602;9062;7031;5771;4911;3904;4112;4540;4899;6029;7897;9886;9521;10151;12011;11869;10460;8277;5876;4557;2756;1766;1178
25 - 29;76;547;1994;2689;2487;1935;1290;994;682;522;391;345;314;222;242;392;326;314;228;309;409;510;605;839;1194;1224;1158;1228;1481;1436;1746;2685;4477;7314;10339;11157;10692;9929;9004;9152;10787;12114;9441;8419;10792;8543;6400;5347;4494;3662;3899;4151;4274;5477;7018;8425;8377;9223;10908;10803;9207;7472;5194;3948;2457;1605;1106
