Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24
Gesamt;899;6427;22396;33973;36047;27149;17333;12355;7438;6238;4763;3599;3204;2351;2343;4124;3214;2689;2427;3021;3928;4827;6057;7952;9595;8824;8622;9766;12290;13058;15922;26113;42055;74822;111032;125767;127761;128371;123234;128435;156361;174806;139015;123119;145541;119021;95589;78165;64609;50822;52437;56384;58409;71370;92622;116420;110154;118277;142082;144962;124877;101114;70897;52816;29924;20734;14084;7238
90+;1;13;101;425;1170;1242;849;582;284;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;73;94;118;184;437;883;1463;1722;2312;3061;3514;4187;5399;5969;5240;4971;5408;5030;3945;2871;1934;1301;1070;826;611;609;642;664;627;720;799;797;643;548;416;279;160;130;69;47
85 - 89;6;38;219;735;1448;1424;925;681;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;102;121;165;306;576;1148;1788;2288;2833;3373;4090;4595;5907;6930;5828;5586;6079;5570;4448;3321;2579;1651;1467;1204;965;938;1116;1259;1187;1070;1204;1176;992;854;620;429;237;160;92;53
80 - 84;12;84;468;1280;1966;1717;1178;820;453;299;246;153;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;470;858;1835;2837;3434;3799;4359;4774;5447;7074;8262;7412;6863;7676;6696;5331;4199;3149;2290;1998;1778;1547;1639;1795;2130;1899;1960;2215;2022;1592;1372;920;691;381;211;158;62
75 - 79;24;113;571;1403;1788;1315;853;588;351;275;175;105;83;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;308;505;903;1627;2646;3052;3288;3382;3495;3969;4998;5944;5105;4640;5228;4318;3414;2815;2200;1698;1714;1575;1366;1427;1896;2218;2180;2358;2705;2495;2123;1663;1147;777;410;251;155;60
70 - 74;11;146;618;1327;1411;1044;632;424;275;208;128;94;80;47;40;56;40;37;57;62;63;89;91;79;97;92;105;151;259;266;351;585;934;1801;2881;3184;3300;3357;3196;3481;4387;5155;4445;4130;4835;3666;3061;2480;2064;1577;1598;1648;1558;1811;2380;2839;2905;3141;3616;3370;2885;2303;1594;1086;585;341;217;114
65 - 69;25;236;884;1647;1689;1114;657;502;265;208;146;122;106;60;51;69;66;62;62;71;85;86;121;110;121;129;128;224;290;305;450;687;1282;2265;3552;4258;4013;4151;4137;4119;5173;6355;5586;4976;5731;4418;3631;3123;2537;1916;2043;2123;1998;2304;3191;3901;3969;4308;4916;4632;3967;3300;2322;1621;774;594;325;137
60 - 64;63;428;1594;2522;2780;1789;1084;673;405;332;239;175;169;106;91;120;107;111;93;110;152;151;204;193;237;243;248;339;492;542;680;1271;2123;3961;5992;6863;6921;7306;7007;7651;9426;11029;9178;8272;9269;7553;6237;5126;4220;3190;3251;3515;3419;4128;5301;6577;6408;6877;7590;7769;6799;5531;3734;2655;1342;845;565;290
55 - 59;77;749;2593;3592;3664;2600;1563;1061;599;509;360;264;237;142;133;186;203;155;116;178;241;287;309;325;431;357;394;554;761;866;1109;1871;3002;5757;8974;10165;10292;10248;9874;10380;13047;15009;12381;11094;12343;10042;8344;7015;5814;4510;4605;4837;4636;5708;7261;9099;8949;9689;10677;11040;9927;7823;5325;3576;1933;1257;793;363
50 - 54;133;979;3091;4001;3697;2609;1558;988;602;521;375;252;241;150;146;317;267;186;172;208;294;350;415;473;560;537;550;669;896;995;1203;2270;3574;6413;9767;10965;10999;10838;10339;10555;13258;14925;11978;10522;12109;9811;8189;6679;5305;4311;4507;4750;4941;5902;7540;9353;9125;9954;11116;11646;10157;8032;5466;3776;2063;1364;825;442
45 - 49;99;745;2100;2916;2710;1915;1171;786;469;448;331;253;214;162;145;375;278;220;180;232;335;386;457;574;691;605;615;696;877;895;1199;2035;3122;5818;8388;9483;9278;9672;9064;9232;11099;12443;9737;8557;9796;7960;6484;5303;4491;3556;3771;4054;4294;5188;6515;8176;7986;8764;10164;10680;9028;7447;5088;3597;2083;1306;874;473
