Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25
Gesamt;898;6427;22394;33969;36047;27143;17331;12355;7438;6238;4763;3600;3205;2351;2343;4126;3216;2688;2427;3021;3928;4829;6055;7951;9597;8823;8619;9766;12289;13059;15921;26115;42055;74811;111026;125761;127760;128363;123218;128424;156345;174786;138994;123096;145555;118984;95580;78159;64600;50814;52439;56388;58392;71350;92620;116410;110147;118313;142094;144967;124892;101128;70887;52797;29931;20747;14066;7267;4774
90+;1;13;102;425;1170;1242;849;582;284;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;73;94;118;184;437;883;1464;1723;2310;3063;3513;4187;5399;5967;5240;4968;5412;5026;3943;2870;1935;1299;1071;826;611;609;639;663;627;721;797;797;641;548;415;280;161;130;68;45;11
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;126;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;102;121;165;306;576;1148;1789;2286;2832;3372;4091;4593;5907;6928;5825;5585;6080;5568;4447;3321;2578;1651;1467;1205;964;938;1115;1260;1189;1069;1202;1175;991;855;622;430;237;160;90;50;45
80 - 84;12;84;468;1280;1966;1716;1177;820;453;299;246;153;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;470;858;1835;2836;3435;3800;4359;4774;5446;7074;8261;7412;6862;7677;6696;5332;4197;3150;2290;1997;1778;1547;1640;1795;2129;1897;1961;2215;2025;1593;1371;923;691;381;213;156;62;39
75 - 79;24;113;571;1403;1788;1315;854;588;351;275;175;105;83;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;181;232;308;505;903;1627;2646;3052;3286;3382;3491;3968;4999;5943;5102;4640;5227;4319;3413;2816;2200;1699;1714;1572;1366;1425;1895;2218;2179;2357;2705;2493;2123;1663;1145;777;411;251;155;59;50
70 - 74;11;146;618;1327;1411;1044;632;424;275;208;128;94;80;47;40;56;40;37;57;62;63;89;91;79;97;92;105;151;259;266;351;585;934;1801;2883;3184;3301;3357;3197;3480;4388;5154;4444;4129;4837;3665;3058;2481;2065;1578;1598;1649;1556;1811;2380;2841;2907;3143;3617;3372;2885;2305;1594;1087;584;341;217;112;71
65 - 69;25;236;884;1647;1688;1114;657;502;265;208;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;290;305;450;687;1282;2265;3553;4259;4014;4151;4135;4118;5173;6356;5586;4977;5731;4419;3630;3122;2536;1914;2044;2123;1997;2304;3191;3899;3970;4309;4916;4632;3970;3298;2321;1623;773;596;322;135;104
60 - 64;63;429;1596;2522;2780;1789;1085;673;405;332;239;176;169;106;91;120;107;111;93;110;152;151;204;193;237;243;249;339;492;542;681;1272;2123;3960;5990;6862;6922;7302;7006;7650;9424;11030;9178;8271;9274;7551;6239;5124;4219;3189;3250;3515;3417;4125;5305;6577;6407;6878;7593;7771;6800;5534;3738;2654;1344;849;562;286;150
55 - 59;76;749;2589;3592;3663;2601;1564;1061;599;509;360;264;237;142;133;186;203;155;116;178;241;288;309;325;431;357;394;554;761;866;1109;1872;3000;5756;8973;10167;10294;10247;9872;10380;13043;15005;12382;11091;12341;10038;8344;7015;5814;4511;4604;4841;4635;5711;7263;9099;8951;9694;10677;11041;9935;7824;5323;3577;1932;1260;792;362;244
50 - 54;133;979;3092;4001;3696;2609;1559;987;602;521;375;252;241;150;146;317;267;186;172;208;294;351;415;473;560;537;549;669;896;995;1203;2270;3575;6413;9767;10964;10998;10841;10340;10553;13256;14926;11977;10521;12109;9811;8186;6679;5303;4311;4507;4751;4943;5901;7538;9361;9123;9959;11118;11649;10152;8031;5466;3778;2063;1361;824;437;292
45 - 49;99;746;2100;2915;2710;1916;1172;788;468;448;331;253;214;162;145;376;278;220;180;232;335;386;457;574;693;605;616;696;877;895;1199;2035;3122;5818;8388;9481;9277;9671;9064;9232;11095;12440;9738;8555;9800;7958;6486;5303;4493;3555;3774;4053;4294;5185;6519;8169;7988;8764;10164;10682;9030;7450;5090;3596;2085;1308;876;474;268
40 - 44;85;565;1800;2323;2304;1676;1020;697;455;403;358;244;212;175;157;455;273;214;190;251;321;431;490;639;717;660;647;686;844;860;1054;1870;2903;5303;7884;8876;8991;9236;8812;8821;10902;11995;9510;8029;9551;7562;6228;5116;4282;3467;3594;4142;4273;5341;6987;9118;8330;9272;10727;10853;9589;7725;5342;3989;2208;1602;1082;521;348
35 - 39;67;546;1754;2383;2204;1653;982;763;465;423;352;274;242;155;195;384;301;223;203;253;358;383;515;643;760;715;645;699;903;1007;1153;1822;3099;5389;8085;8966;9187;9191;8718;9144;10994;12233;9529;8089;10144;8010;6338;5196;4460;3595;3717;4182;4581;5763;7592;9468;8991;9498;11273;11284;10020;7970;5635;4227;2422;1692;1103;552;363
30 - 34;69;536;2049;2635;2419;1743;1204;902;563;487;394;315;269;207;224;413;331;259;259;298;383;424;515;704;945;861;938;940;1206;1302;1523;2358;3857;6713;9571;10480;10479;10083;9365;9479;11524;13028;10047;9201;11606;9056;7029;5770;4910;3903;4115;4539;4894;6029;7898;9885;9517;10147;12013;11876;10455;8281;5872;4552;2750;1766;1186;633;421
25 - 29;76;548;1995;2689;2488;1933;1290;994;682;522;391;345;314;222;242;392;327;314;228;309;409;510;605;838;1195;1222;1161;1228;1480;1436;1745;2686;4477;7308;10340;11157;10691;9925;8999;9152;10783;12115;9442;8420;10788;8543;6399;5351;4492;3660;3904;4151;4271;5472;7016;8422;8379;9221;10906;10799;9207;7473;5189;3951;2456;1604;1112;623;461
20 - 24;70;322;1444;2269;2244;1731;1227;958;593;506;419;313;288;228;250;378;260;258;237;300;378;521;745;1162;1546;1325;1249;1283;1515;1585;1738;2788;4383;7565;10418;11729;11021;10201;8941;9180;10789;12107;9078;8590;10894;8529;6437;5244;4380;3654;3950;4200;4401;5427;6902;8565;8517;9794;11553;11290;9645;7839;5592;4186;2416;1745;1205;627;429
15 - 19;43;181;537;938;1073;858;573;403;265;260;183;152;160;160;112;241;169;138;151;191;246;365;542;741;881;835;769;831;1040;1046;1329;2068;2960;4857;7185;8411;8707;8208;7459;7722;8829;8469;5871;4956;6383;5396;4203;3476;2922;2377;2618;3071;3213;4112;5540;7185;6607;7558;10818;10357;8665;7060;4939;3894;2238;1724;1231;678;437
10 - 14;19;103;254;379;430;304;234;188;136;126;118;107;120;104;119;192;146;105;103;147;191;252;364;545;576;482;434;498;518;584;709;1140;1650;2745;4082;4775;5342;5297;5187;5165;5695;5289;3382;2651;3333;2718;2226;1879;1724;1411;1570;1880;2310;2871;4179;5730;4848;5176;7659;8744;7169;6140;4564;3762;2165;1589;1321;660;442
5 - 9;10;56;169;248;291;237;163;154;120;105;111;79;112;99;123;176;138;122;115;137;151;198;284;411;379;353;319;325;356;388;434;626;972;1836;2791;3364;3615;3920;3816;3679;4264;4308;3024;1942;2392;2193;1904;1643;1601;1390;1552;2003;2729;3681;4769;6705;5190;4696;6988;8419;6883;5580;4113;3423;1877;1526;1142;569;343
0 - 4;9;35;143;253;270;237;158;185;133;138;116;122;87;107;111;159;136;143;147;140;161;150;188;275;283;223;226;226;290;300;326;523;887;1456;2231;2417;2415;2376;2322;2305;2664;3099;2111;1529;1902;1858;1696;1530;1509;1348;1378;1885;2373;2993;4048;5029;4470;4028;5088;5587;5065;4116;2966;2306;1417;1022;614;380;254
