Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26
Gesamt;898;6427;22395;33971;36047;27143;17333;12356;7438;6239;4763;3599;3205;2351;2342;4126;3216;2688;2427;3021;3928;4829;6055;7951;9598;8823;8620;9766;12288;13059;15921;26111;42055;74848;111030;125762;127758;128367;123215;128431;156346;174772;138998;123099;145551;118980;95575;78160;64598;50809;52435;56378;58393;71327;92616;116384;110139;118305;142085;144958;124889;101128;70893;52798;29925;20732;14058;7273;4803;4288
90+;1;13;102;425;1170;1242;849;582;284;206;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;73;94;119;183;437;887;1464;1723;2311;3063;3513;4189;5398;5967;5242;4970;5411;5026;3944;2871;1935;1299;1070;826;611;609;639;661;626;720;797;796;640;548;414;280;161;129;68;45;10;7
85 - 89;6;38;218;735;1449;1422;925;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;102;121;165;306;576;1149;1789;2286;2833;3374;4091;4594;5906;6929;5825;5586;6080;5568;4447;3321;2577;1651;1465;1204;964;938;1114;1260;1188;1070;1202;1175;991;854;622;431;237;160;90;50;42;27
80 - 84;12;84;468;1280;1966;1716;1177;820;453;299;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;470;858;1837;2836;3434;3799;4359;4774;5446;7073;8260;7413;6864;7677;6695;5332;4198;3149;2290;1997;1779;1547;1639;1794;2130;1897;1961;2214;2025;1593;1371;922;692;382;213;156;62;39;39
75 - 79;24;113;571;1403;1788;1315;854;588;351;275;175;105;83;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;232;308;505;903;1629;2646;3051;3286;3383;3491;3968;4999;5943;5102;4639;5227;4318;3412;2817;2200;1699;1714;1572;1366;1426;1895;2218;2180;2355;2706;2492;2123;1663;1143;777;411;251;155;59;50;46
70 - 74;11;146;618;1327;1411;1044;632;424;275;208;128;94;80;47;40;56;40;37;57;62;63;89;91;79;97;92;105;151;259;267;351;585;933;1803;2883;3184;3302;3358;3197;3480;4387;5153;4443;4129;4838;3664;3058;2481;2065;1578;1598;1649;1556;1811;2379;2840;2906;3147;3615;3373;2885;2305;1594;1086;584;341;216;113;70;64
65 - 69;25;236;884;1647;1688;1114;657;502;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;290;304;450;687;1282;2267;3553;4260;4015;4151;4135;4117;5173;6356;5585;4977;5732;4418;3630;3122;2535;1914;2043;2122;1997;2301;3192;3899;3969;4308;4916;4632;3970;3297;2322;1622;774;595;321;135;103;80
60 - 64;63;429;1596;2523;2778;1788;1085;673;405;331;239;176;169;106;91;120;107;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1272;2123;3961;5991;6862;6923;7301;7007;7652;9423;11032;9177;8269;9273;7554;6239;5123;4217;3187;3250;3515;3417;4123;5307;6577;6406;6877;7593;7771;6804;5534;3737;2656;1345;849;562;287;151;153
55 - 59;76;749;2589;3593;3664;2602;1564;1060;599;509;360;264;237;142;133;186;203;155;116;178;241;288;309;325;431;357;394;554;761;866;1109;1872;3000;5756;8973;10165;10292;10249;9874;10379;13045;15002;12384;11094;12340;10039;8341;7015;5814;4510;4606;4840;4635;5711;7261;9101;8949;9691;10678;11041;9934;7826;5326;3577;1933;1258;792;361;244;231
50 - 54;133;979;3091;4000;3698;2609;1559;987;602;521;375;251;241;150;146;317;267;186;172;208;294;351;415;473;560;537;549;669;897;995;1203;2270;3577;6418;9768;10965;10997;10843;10338;10553;13256;14925;11977;10522;12109;9810;8185;6679;5304;4310;4506;4751;4945;5902;7537;9359;9125;9960;11119;11644;10152;8031;5467;3776;2063;1359;824;439;293;223
45 - 49;99;746;2101;2915;2710;1916;1173;788;468;448;331;253;214;162;145;376;278;220;180;232;335;386;457;574;693;605;615;696;877;896;1199;2034;3122;5821;8387;9482;9277;9672;9066;9232;11096;12436;9737;8555;9799;7959;6487;5303;4492;3554;3778;4051;4294;5186;6521;8168;7987;8763;10166;10683;9031;7450;5088;3596;2082;1307;876;474;272;256
40 - 44;85;565;1799;2323;2304;1677;1019;697;455;403;358;244;212;175;157;455;273;214;190;251;321;431;490;639;717;660;648;686;843;860;1054;1871;2903;5301;7886;8875;8992;9234;8812;8821;10902;11996;9512;8028;9552;7562;6227;5116;4282;3469;3593;4140;4272;5340;6984;9105;8329;9274;10728;10851;9589;7728;5344;3989;2208;1601;1080;522;353;268
35 - 39;67;546;1755;2383;2205;1652;982;763;465;423;352;273;242;155;195;384;301;223;203;253;358;383;515;643;761;716;645;699;905;1007;1153;1821;3098;5389;8086;8966;9186;9191;8717;9145;10994;12232;9530;8089;10144;8010;6339;5195;4461;3595;3716;4181;4580;5759;7592;9466;8992;9495;11272;11284;10021;7971;5638;4228;2420;1693;1101;551;363;336
30 - 34;69;536;2049;2635;2418;1743;1205;902;563;487;394;315;269;207;224;413;331;259;259;298;383;424;515;704;945;860;939;940;1206;1302;1523;2358;3857;6715;9571;10479;10480;10085;9364;9476;11525;13032;10048;9198;11606;9057;7028;5770;4910;3902;4116;4538;4896;6025;7897;9884;9516;10147;12014;11877;10452;8281;5872;4552;2750;1761;1184;632;420;425
25 - 29;76;548;1996;2689;2488;1933;1290;996;682;523;391;345;314;222;242;392;327;314;228;309;409;510;605;838;1195;1222;1161;1229;1481;1436;1745;2686;4477;7314;10342;11156;10691;9925;8998;9154;10784;12113;9441;8421;10787;8542;6399;5350;4492;3661;3905;4149;4271;5468;7015;8421;8381;9221;10903;10798;9210;7472;5189;3951;2456;1604;1112;622;459;477
20 - 24;70;322;1444;2269;2243;1733;1227;958;593;506;419;313;288;228;250;378;260;258;237;300;378;521;745;1162;1546;1325;1249;1282;1513;1585;1737;2788;4383;7568;10417;11732;11020;10200;8940;9183;10788;12104;9077;8591;10894;8530;6436;5245;4379;3652;3948;4200;4400;5424;6903;8560;8515;9795;11552;11290;9643;7841;5594;4189;2414;1745;1206;627;440;530
15 - 19;43;181;537;938;1073;857;572;403;265;260;183;152;160;160;112;241;169;138;151;191;246;365;542;741;881;835;769;831;1040;1046;1329;2068;2960;4859;7185;8412;8706;8206;7458;7723;8830;8468;5871;4959;6385;5395;4204;3476;2922;2377;2618;3071;3214;4112;5540;7186;6606;7558;10816;10357;8664;7058;4939;3893;2237;1724;1232;680;443;405
10 - 14;19;103;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;103;147;191;252;364;545;576;482;434;498;518;584;709;1140;1650;2748;4083;4776;5342;5298;5187;5165;5696;5288;3383;2651;3332;2717;2226;1879;1726;1411;1570;1880;2310;2870;4180;5730;4848;5174;7658;8746;7171;6140;4565;3763;2166;1586;1321;664;446;305
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;176;138;122;115;137;151;198;284;411;379;353;319;325;355;389;434;625;972;1836;2791;3364;3616;3920;3817;3679;4264;4306;3024;1942;2392;2193;1904;1643;1601;1390;1552;2003;2729;3680;4769;6706;5190;4696;6985;8417;6878;5581;4114;3422;1877;1526;1141;566;345;237
0 - 4;9;35;143;253;270;237;158;185;133;138;116;122;87;107;110;159;136;143;147;140;161;150;188;275;283;223;226;226;291;300;326;523;887;1457;2229;2416;2414;2376;2322;2305;2665;3098;2112;1528;1902;1859;1696;1530;1510;1348;1378;1885;2372;2991;4048;5028;4471;4026;5088;5588;5064;4116;2966;2305;1415;1022;614;382;259;177
