Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29
Gesamt;898;6431;22393;33972;36054;27138;17335;12345;7435;6238;4764;3598;3201;2351;2341;4191;3153;2687;2427;3021;3926;4830;6057;7951;9598;8823;8619;9763;12288;13060;15924;26114;42058;74859;111027;125770;127775;128375;123204;128401;156330;174756;139002;123098;145481;118944;95549;78119;64573;50803;52408;56364;58374;71314;92603;116270;110110;118255;142047;144778;124850;101020;70871;52761;29900;20720;14036;7271;4809;4339;5563;9058;12399
90+;1;13;102;425;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;183;437;888;1463;1722;2308;3062;3516;4192;5400;5966;5237;4978;5406;5023;3942;2872;1932;1299;1063;827;611;609;638;658;626;717;794;797;637;546;411;278;161;129;67;43;10;7;17;20;27
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;576;1150;1787;2285;2834;3376;4096;4597;5912;6931;5825;5586;6068;5561;4445;3321;2577;1650;1462;1204;963;938;1112;1260;1190;1072;1201;1174;990;856;621;431;237;158;90;50;41;27;30;40;50
80 - 84;12;84;468;1279;1966;1715;1177;819;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;858;1837;2836;3435;3800;4360;4775;5446;7072;8259;7418;6869;7669;6695;5332;4194;3146;2290;1993;1778;1549;1640;1793;2129;1892;1960;2215;2024;1591;1366;920;693;381;212;156;62;39;38;45;50;76
75 - 79;24;113;571;1403;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;505;903;1627;2644;3052;3286;3380;3489;3969;4999;5939;5101;4638;5226;4315;3409;2815;2198;1701;1712;1571;1365;1425;1894;2219;2180;2352;2708;2487;2122;1662;1144;777;410;250;155;59;50;45;45;50;65
70 - 74;11;146;619;1327;1412;1043;632;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;585;933;1802;2884;3187;3303;3357;3194;3480;4386;5153;4444;4127;4836;3663;3054;2480;2064;1576;1598;1645;1555;1812;2377;2838;2906;3144;3614;3372;2880;2303;1595;1086;582;341;216;112;70;66;61;67;101
65 - 69;25;236;884;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;289;304;450;687;1282;2264;3554;4262;4015;4150;4132;4118;5171;6356;5585;4975;5733;4417;3627;3123;2537;1914;2043;2119;1994;2303;3189;3899;3965;4308;4913;4625;3971;3292;2319;1618;772;595;320;135;103;79;95;116;157
60 - 64;63;429;1597;2522;2780;1787;1085;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1272;2122;3959;5990;6858;6925;7300;7007;7648;9424;11037;9182;8264;9274;7549;6239;5121;4213;3187;3248;3516;3418;4121;5307;6572;6403;6874;7594;7765;6798;5530;3736;2654;1342;851;561;289;153;155;168;234;289
55 - 59;76;749;2589;3593;3664;2601;1564;1060;599;509;360;264;235;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1108;1872;2999;5758;8973;10165;10295;10251;9874;10377;13050;14996;12392;11096;12333;10033;8338;7012;5812;4506;4605;4839;4636;5713;7262;9097;8947;9682;10675;11024;9929;7824;5324;3577;1931;1258;793;361;244;229;247;366;533
50 - 54;133;979;3091;4000;3700;2610;1560;986;602;521;376;251;240;150;146;328;257;186;171;208;294;351;415;473;560;537;549;670;898;995;1203;2270;3577;6420;9769;10967;11003;10844;10333;10549;13258;14922;11980;10528;12101;9815;8180;6676;5303;4311;4504;4753;4943;5899;7533;9347;9121;9958;11115;11637;10151;8024;5467;3778;2061;1357;824;439;297;223;286;451;610
