Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30
Gesamt;898;6431;22393;33972;36054;27136;17335;12345;7435;6238;4764;3598;3204;2351;2341;4191;3153;2688;2427;3021;3926;4831;6058;7951;9597;8823;8618;9763;12289;13061;15924;26108;42061;74866;111032;125769;127781;128379;123213;128396;156303;174745;138996;123086;145470;118926;95541;78118;64571;50801;52404;56361;58372;71308;92598;116271;110102;118258;142032;144768;124851;101013;70862;52745;29898;20713;14035;7254;4809;4344;5562;9070;12577;15222
90+;1;13;102;425;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;888;1463;1722;2308;3062;3519;4193;5400;5966;5237;4978;5403;5023;3941;2872;1931;1299;1063;827;611;609;638;658;626;717;794;798;637;545;410;277;161;129;67;43;10;6;17;20;26;56
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;576;1150;1786;2285;2834;3377;4096;4596;5911;6931;5825;5585;6068;5558;4445;3322;2579;1650;1462;1203;964;938;1112;1260;1190;1072;1201;1174;990;857;620;432;237;158;90;50;41;27;30;40;50;65
80 - 84;12;84;468;1279;1966;1715;1177;819;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1837;2837;3432;3800;4359;4775;5443;7073;8257;7420;6868;7670;6691;5332;4193;3146;2290;1994;1778;1548;1640;1794;2129;1892;1963;2217;2023;1590;1366;920;692;381;212;156;62;39;38;45;49;76;110
75 - 79;24;113;571;1403;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1628;2644;3053;3286;3381;3489;3969;4999;5939;5102;4638;5223;4315;3409;2814;2198;1702;1712;1571;1365;1424;1893;2219;2180;2351;2707;2487;2121;1662;1144;777;409;250;155;59;50;45;45;50;64;103
70 - 74;11;146;619;1327;1412;1043;632;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;585;934;1802;2883;3188;3304;3356;3194;3481;4386;5153;4444;4128;4836;3664;3054;2480;2064;1577;1599;1645;1555;1812;2377;2839;2904;3143;3613;3371;2879;2303;1594;1084;583;341;216;112;70;67;61;67;102;162
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;289;305;450;687;1282;2265;3552;4261;4015;4151;4133;4117;5170;6356;5585;4975;5732;4415;3626;3125;2537;1914;2043;2119;1994;2302;3190;3900;3965;4305;4912;4627;3971;3293;2319;1619;772;594;320;135;103;79;94;116;159;238
60 - 64;63;429;1597;2522;2779;1787;1085;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1272;2122;3958;5991;6857;6926;7298;7007;7648;9423;11036;9183;8263;9276;7549;6241;5122;4212;3187;3248;3516;3419;4120;5308;6572;6403;6875;7593;7762;6799;5530;3734;2653;1342;851;560;281;153;155;168;235;292;396
55 - 59;76;749;2589;3593;3664;2602;1565;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1108;1872;2999;5757;8976;10168;10293;10251;9874;10378;13047;15000;12394;11095;12332;10032;8336;7010;5812;4507;4604;4839;4635;5713;7262;9097;8947;9682;10672;11026;9930;7822;5326;3577;1931;1259;793;363;245;229;246;366;543;565
50 - 54;133;979;3092;4001;3700;2609;1560;986;602;521;376;251;241;150;146;328;257;186;171;208;294;352;416;473;560;537;549;670;898;995;1203;2270;3579;6422;9771;10966;11000;10847;10332;10551;13253;14921;11979;10527;12101;9814;8179;6676;5303;4309;4504;4752;4947;5901;7535;9347;9124;9957;11114;11636;10152;8024;5470;3776;2061;1355;824;439;297;223;286;452;620;805
45 - 49;99;747;2097;2915;2710;1916;1172;786;468;448;331;253;214;162;144;384;269;217;182;232;334;386;456;573;693;605;615;696;877;897;1201;2034;3122;5822;8393;9481;9279;9674;9064;9235;11094;12440;9740;8552;9799;7957;6489;5301;4490;3551;3774;4049;4290;5185;6523;8155;7989;8765;10164;10676;9024;7442;5086;3590;2081;1307;873;471;275;259;333;435;683;908
40 - 44;85;567;1798;2323;2306;1677;1019;696;455;404;359;243;212;175;158;462;266;215;189;251;321;432;490;639;717;660;648;685;844;860;1052;1869;2904;5308;7885;8878;8996;9239;8810;8817;10900;11997;9510;8027;9545;7560;6232;5114;4280;3466;3591;4140;4271;5341;6981;9087;8326;9276;10725;10826;9580;7724;5339;3987;2206;1597;1076;526;353;270;343;503;734;975
35 - 39;67;547;1754;2384;2203;1651;982;763;464;424;351;273;242;155;194;388;296;225;203;253;358;383;515;643;760;716;645;699;905;1007;1153;1822;3098;5386;8086;8964;9190;9192;8718;9143;10996;12229;9527;8084;10145;8006;6340;5193;4460;3595;3711;4182;4579;5759;7589;9462;8990;9484;11267;11274;10026;7964;5632;4223;2416;1692;1102;546;362;338;377;646;902;1143
30 - 34;69;536;2049;2635;2419;1742;1206;900;563;487;394;315;269;207;223;420;324;259;259;298;382;424;515;706;945;858;939;938;1207;1302;1522;2360;3859;6717;9575;10480;10478;10085;9367;9471;11517;13031;10046;9196;11602;9052;7023;5764;4906;3905;4117;4534;4896;6020;7898;9865;9511;10139;12007;11854;10462;8277;5872;4545;2745;1757;1181;632;419;428;582;864;1306;1479
25 - 29;76;549;1996;2690;2487;1935;1289;996;682;522;391;345;314;222;242;399;321;314;229;309;409;510;604;838;1195;1222;1161;1229;1481;1436;1747;2684;4475;7321;10346;11153;10692;9924;9000;9150;10780;12108;9436;8420;10780;8539;6395;5340;4491;3658;3906;4148;4270;5465;7013;8406;8378;9214;10899;10791;9215;7456;5184;3946;2455;1604;1107;620;460;492;789;1317;1726;1919
20 - 24;70;322;1445;2268;2244;1729;1228;957;594;506;419;313;288;227;251;383;254;258;236;300;378;521;747;1161;1546;1326;1248;1282;1513;1585;1737;2789;4385;7567;10412;11736;11020;10200;8940;9177;10785;12095;9071;8587;10890;8531;6433;5239;4377;3654;3947;4200;4398;5423;6903;8556;8508;9795;11547;11276;9635;7835;5588;4188;2416;1740;1204;625;440;551;883;1510;2079;2278
15 - 19;43;181;537;938;1074;857;572;402;264;260;183;152;160;161;112;247;165;137;151;192;246;365;543;741;881;835;769;831;1040;1046;1329;2069;2960;4860;7186;8409;8714;8210;7457;7716;8821;8472;5870;4958;6382;5391;4202;3475;2921;2378;2619;3070;3211;4108;5540;7184;6607;7553;10812;10342;8663;7047;4941;3890;2234;1725;1231;678;440;415;580;1285;1603;1789
10 - 14;19;102;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;103;146;191;252;364;545;576;483;433;498;517;584;711;1140;1650;2749;4082;4785;5344;5299;5186;5159;5690;5288;3384;2652;3330;2716;2226;1879;1724;1409;1570;1879;2307;2868;4177;5732;4849;5178;7657;8733;7168;6131;4567;3763;2166;1582;1319;662;448;309;295;532;773;982
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;177;138;122;115;137;151;198;285;411;379;353;319;325;356;389;434;624;975;1839;2790;3365;3614;3920;3819;3682;4260;4305;3023;1944;2391;2193;1902;1644;1601;1390;1553;2003;2725;3679;4767;6701;5188;4699;6991;8413;6878;5568;4115;3416;1877;1527;1143;567;345;239;206;322;480;712
0 - 4;9;35;143;254;270;237;158;185;133;138;116;122;87;107;110;159;135;143;147;140;161;150;188;275;283;223;226;226;291;299;326;522;887;1458;2226;2415;2412;2378;2321;2304;2659;3096;2108;1524;1902;1857;1697;1528;1512;1349;1376;1885;2371;2991;4050;5021;4470;4025;5086;5578;5063;4117;2968;2299;1415;1025;613;381;258;174;181;257;349;520
