Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31
Gesamt;898;6431;22393;33971;36053;27138;17334;12345;7435;6238;4764;3598;3204;2351;2341;4190;3153;2688;2427;3022;3926;4831;6058;7951;9599;8820;8618;9763;12290;13062;15925;26109;42059;74869;111029;125768;127782;128381;123220;128400;156307;174745;138997;123084;145468;118930;95533;78116;64570;50801;52407;56358;58368;71308;92593;116272;110098;118250;142027;144759;124851;101011;70862;52749;29899;20713;14032;7254;4809;4340;5556;9067;12591;15436;19965
90+;1;13;102;425;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;888;1463;1722;2308;3062;3520;4193;5400;5969;5237;4978;5403;5024;3942;2872;1931;1299;1064;827;610;609;638;658;626;717;795;799;636;544;410;277;162;129;67;43;10;6;17;20;26;58;64
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;576;1150;1786;2285;2834;3377;4095;4596;5911;6930;5825;5585;6069;5557;4444;3322;2580;1650;1461;1203;964;938;1111;1260;1190;1072;1201;1174;990;857;620;433;236;158;90;50;41;26;30;40;49;65;89
80 - 84;12;84;468;1279;1966;1717;1176;819;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1837;2837;3432;3800;4359;4775;5444;7074;8257;7418;6866;7673;6692;5330;4193;3144;2290;1994;1778;1548;1641;1794;2129;1892;1963;2218;2024;1591;1367;920;692;381;212;156;62;39;38;45;49;76;110;169
75 - 79;24;113;571;1403;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;309;504;903;1628;2644;3053;3286;3381;3489;3969;4999;5939;5102;4638;5221;4314;3409;2814;2198;1702;1712;1571;1365;1424;1893;2219;2180;2351;2707;2488;2120;1662;1144;777;409;250;155;59;50;45;45;50;64;101;123
70 - 74;11;146;619;1327;1412;1043;632;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;585;934;1802;2883;3188;3304;3356;3194;3481;4386;5153;4447;4129;4835;3664;3054;2480;2064;1577;1599;1645;1556;1812;2378;2840;2904;3143;3613;3370;2879;2303;1593;1084;583;341;216;112;70;67;61;67;101;168;172
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;289;305;450;687;1282;2266;3553;4262;4014;4151;4135;4116;5170;6356;5584;4975;5732;4415;3625;3125;2537;1914;2043;2119;1994;2302;3189;3900;3964;4305;4912;4628;3970;3294;2319;1619;772;594;319;135;103;78;93;116;159;240;279
60 - 64;63;429;1597;2522;2779;1787;1085;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1273;2122;3957;5990;6857;6925;7298;7007;7648;9424;11036;9183;8263;9276;7551;6239;5123;4212;3187;3248;3516;3419;4120;5307;6570;6404;6875;7594;7759;6800;5530;3735;2653;1342;851;559;282;153;155;168;235;293;398;465
55 - 59;76;749;2589;3593;3664;2602;1565;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1108;1872;2999;5757;8975;10168;10294;10251;9875;10378;13047;15000;12394;11095;12333;10032;8336;7010;5810;4507;4604;4838;4636;5714;7262;9098;8945;9680;10670;11027;9929;7822;5326;3578;1931;1259;795;363;245;230;246;366;543;573;772
50 - 54;133;979;3092;4001;3700;2609;1560;986;602;521;376;251;241;150;146;328;257;186;171;208;294;352;416;473;560;537;549;670;898;995;1203;2270;3579;6421;9769;10966;11000;10848;10332;10551;13254;14921;11979;10527;12102;9814;8179;6675;5304;4309;4504;4753;4946;5902;7535;9347;9122;9957;11115;11636;10153;8023;5470;3777;2062;1356;823;439;297;223;286;451;620;809;951
45 - 49;99;747;2097;2915;2710;1916;1172;786;468;448;331;253;214;162;144;384;269;217;182;232;334;386;456;573;693;605;615;696;878;897;1201;2034;3122;5822;8392;9481;9280;9674;9063;9236;11095;12440;9740;8552;9798;7958;6489;5301;4491;3551;3774;4049;4289;5185;6523;8155;7992;8767;10165;10675;9024;7441;5086;3589;2081;1308;873;471;275;258;333;435;684;912;1156
40 - 44;85;567;1798;2323;2306;1677;1019;696;455;404;359;243;212;175;158;461;266;215;189;251;321;432;490;639;718;659;648;685;844;860;1052;1869;2904;5308;7886;8878;8996;9239;8811;8817;10899;11996;9510;8027;9544;7560;6230;5115;4280;3467;3591;4140;4272;5341;6981;9086;8326;9275;10725;10824;9580;7726;5340;3988;2207;1597;1076;527;353;269;343;505;735;988;1403
35 - 39;67;547;1754;2384;2203;1651;982;763;464;424;351;273;242;155;194;388;296;225;203;253;358;383;515;643;760;716;645;699;905;1007;1153;1822;3098;5386;8086;8964;9190;9193;8719;9144;10994;12228;9527;8082;10145;8007;6341;5192;4460;3595;3711;4182;4577;5758;7589;9461;8987;9483;11266;11275;10026;7963;5631;4223;2415;1691;1101;546;361;338;377;648;902;1163;1558
30 - 34;69;536;2049;2635;2419;1742;1206;900;563;487;394;315;269;207;223;420;324;259;259;299;382;424;515;706;945;858;939;938;1207;1302;1522;2360;3858;6717;9575;10479;10479;10085;9369;9471;11517;13032;10046;9196;11602;9051;7021;5762;4906;3905;4117;4532;4896;6021;7898;9869;9512;10137;12007;11855;10461;8278;5872;4546;2745;1756;1183;632;420;428;581;861;1307;1509;2018
25 - 29;76;549;1996;2690;2487;1935;1289;996;682;522;391;345;314;222;242;399;321;314;229;309;409;510;604;838;1194;1222;1161;1229;1481;1436;1747;2684;4475;7321;10345;11153;10690;9924;9000;9151;10782;12108;9436;8420;10779;8538;6395;5339;4492;3658;3906;4148;4269;5464;7013;8404;8378;9213;10896;10789;9216;7455;5184;3947;2455;1603;1106;620;460;492;786;1319;1732;1947;2345
20 - 24;70;322;1445;2268;2243;1729;1228;957;594;506;419;313;288;227;251;383;254;258;236;300;378;521;747;1161;1546;1326;1248;1282;1513;1585;1737;2789;4384;7568;10412;11735;11021;10200;8940;9179;10786;12095;9071;8587;10890;8532;6433;5240;4376;3653;3948;4199;4397;5423;6903;8557;8509;9796;11547;11273;9635;7837;5587;4188;2415;1741;1204;625;440;551;882;1507;2088;2322;2734
15 - 19;43;181;537;937;1074;857;572;402;264;260;183;152;160;161;112;247;165;137;151;192;246;365;543;741;882;834;769;831;1040;1047;1329;2069;2960;4861;7187;8410;8714;8210;7458;7716;8821;8472;5871;4958;6382;5391;4201;3474;2921;2378;2620;3071;3211;4108;5539;7184;6608;7551;10811;10342;8662;7047;4941;3890;2235;1725;1231;678;440;413;580;1282;1607;1825;2306
14 - 10;19;102;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;103;146;191;252;364;545;577;482;433;498;517;584;711;1140;1650;2749;4082;4786;5345;5299;5186;5159;5690;5287;3384;2652;3330;2716;2227;1879;1724;1409;1570;1879;2308;2868;4176;5732;4849;5177;7657;8730;7168;6129;4569;3763;2166;1582;1318;661;448;309;297;532;775;993;1465
9 - 5;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;177;138;122;115;137;151;198;285;411;380;353;319;325;356;390;434;624;975;1841;2791;3364;3614;3920;3820;3682;4260;4305;3023;1945;2391;2194;1902;1644;1601;1390;1553;2003;2724;3677;4766;6702;5187;4699;6991;8413;6879;5567;4115;3416;1877;1527;1142;566;345;240;207;322;475;722;1133
0 - 4;9;35;143;254;270;237;158;185;133;138;116;122;87;107;110;159;135;143;147;140;161;150;188;275;283;223;226;226;291;299;326;522;887;1458;2225;2414;2412;2378;2320;2303;2659;3096;2108;1524;1901;1857;1697;1529;1512;1349;1377;1884;2371;2991;4051;5021;4469;4024;5085;5577;5064;4116;2968;2299;1416;1025;613;381;258;174;179;258;349;521;746
