Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32
Gesamt;898;6431;22393;33969;36052;27136;17334;12346;7434;6237;4764;3598;3204;2351;2341;4190;3153;2688;2427;3022;3926;4831;6058;7951;9600;8821;8617;9763;12290;13062;15924;26111;42064;74871;111027;125764;127793;128378;123214;128395;156307;174728;138992;123083;145464;118932;95530;78114;64567;50802;52405;56358;58369;71306;92594;116273;110099;118249;142021;144751;124839;101009;70850;52747;29894;20703;14031;7257;4812;4344;5556;9064;12592;15463;20322;31385
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;888;1462;1722;2308;3062;3520;4193;5400;5970;5238;4979;5404;5023;3943;2873;1931;1299;1064;827;610;609;638;660;626;717;795;800;636;544;410;277;162;129;67;43;10;6;17;20;25;58;66;128
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;576;1151;1786;2285;2834;3378;4095;4596;5910;6930;5824;5585;6068;5557;4443;3322;2580;1650;1461;1203;964;938;1111;1260;1190;1072;1201;1174;989;857;620;433;236;158;90;50;41;26;30;40;49;66;86;149
80 - 84;12;84;468;1279;1966;1717;1176;819;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1838;2837;3432;3800;4359;4775;5444;7074;8255;7417;6864;7670;6692;5330;4192;3145;2290;1994;1778;1549;1639;1794;2128;1892;1963;2217;2025;1592;1366;920;693;381;212;156;62;39;38;45;49;76;110;170;233
75 - 79;24;113;571;1403;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;309;504;903;1628;2645;3053;3286;3381;3490;3969;4999;5937;5102;4638;5221;4314;3409;2814;2198;1702;1712;1571;1365;1424;1893;2219;2180;2351;2705;2487;2120;1664;1144;776;409;250;155;59;50;45;45;50;64;101;122;222
70 - 74;11;146;619;1327;1412;1043;632;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;585;934;1802;2883;3188;3304;3355;3194;3481;4386;5153;4447;4128;4835;3664;3054;2480;2063;1577;1599;1644;1555;1812;2378;2840;2904;3143;3613;3370;2878;2302;1593;1084;583;341;216;112;70;67;61;67;101;168;171;291
65 - 69;25;236;884;1647;1688;1114;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;289;305;450;687;1282;2266;3552;4262;4014;4151;4134;4116;5170;6357;5584;4976;5731;4416;3625;3125;2537;1914;2043;2120;1994;2302;3189;3898;3964;4305;4913;4629;3970;3294;2317;1619;772;594;320;135;103;78;92;116;159;240;283;396
60 - 64;63;429;1598;2522;2779;1787;1085;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1273;2122;3957;5990;6857;6926;7297;7007;7648;9424;11036;9184;8261;9277;7552;6239;5122;4212;3187;3248;3516;3419;4120;5308;6571;6404;6875;7593;7757;6800;5530;3734;2653;1342;851;558;282;154;155;168;235;293;397;479;695
55 - 59;76;749;2588;3593;3664;2602;1565;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1107;1872;3001;5757;8974;10168;10294;10251;9875;10377;13048;14999;12393;11094;12332;10032;8336;7011;5810;4508;4605;4838;4636;5714;7263;9097;8946;9681;10668;11025;9927;7821;5325;3578;1930;1258;796;363;245;230;245;366;544;577;787;1232
50 - 54;133;979;3092;4001;3700;2609;1560;986;601;521;376;251;241;150;146;328;257;186;171;208;294;352;416;473;560;537;549;670;898;995;1203;2270;3579;6420;9769;10966;11003;10848;10333;10551;13254;14921;11978;10526;12102;9815;8178;6675;5304;4310;4503;4753;4946;5903;7535;9347;9122;9956;11115;11639;10153;8024;5470;3777;2061;1356;822;440;298;223;286;452;620;815;970;1613
45 - 49;99;747;2097;2915;2710;1915;1172;786;468;448;331;253;214;162;144;384;269;217;182;232;334;386;456;573;693;605;614;696;878;898;1201;2035;3122;5822;8395;9481;9283;9674;9063;9235;11095;12438;9740;8552;9797;7957;6489;5301;4491;3551;3774;4049;4289;5185;6524;8156;7992;8768;10164;10674;9024;7440;5086;3589;2081;1307;873;471;275;259;333;433;685;914;1168;1899
40 - 44;85;567;1798;2323;2306;1677;1019;696;455;403;359;243;212;175;158;461;266;215;189;251;321;432;490;639;718;659;648;685;844;860;1052;1869;2904;5308;7885;8878;8996;9239;8811;8817;10901;11995;9510;8027;9545;7559;6230;5116;4279;3466;3591;4140;4272;5341;6981;9086;8324;9278;10727;10825;9579;7726;5339;3987;2206;1596;1078;527;353;269;343;504;734;988;1437;2276
35 - 39;67;547;1754;2384;2203;1651;982;763;464;424;351;273;242;155;194;388;296;225;203;253;358;383;515;643;760;716;645;699;905;1007;1153;1822;3098;5386;8086;8963;9190;9194;8718;9143;10994;12229;9527;8082;10146;8009;6341;5192;4460;3595;3712;4181;4578;5758;7590;9460;8987;9482;11266;11275;10029;7964;5629;4223;2415;1691;1100;546;362;339;378;645;904;1162;1589;2399
30 - 34;69;536;2049;2635;2418;1742;1206;900;563;487;394;315;269;207;223;420;324;259;259;299;382;424;515;706;945;858;939;938;1207;1302;1522;2360;3861;6719;9577;10479;10481;10083;9369;9471;11517;13030;10044;9198;11602;9052;7022;5762;4906;3905;4116;4532;4896;6021;7898;9869;9512;10134;12007;11854;10458;8278;5871;4546;2745;1755;1183;632;420;428;582;864;1308;1508;2060;2973
25 - 29;76;549;1996;2690;2486;1935;1289;996;682;522;391;345;314;222;242;399;321;314;229;309;409;510;604;838;1194;1222;1161;1229;1481;1437;1747;2684;4475;7321;10342;11154;10690;9922;8999;9150;10783;12107;9436;8421;10779;8537;6394;5340;4492;3658;3906;4149;4269;5463;7013;8404;8377;9213;10896;10788;9216;7455;5183;3947;2454;1603;1106;619;460;492;786;1320;1731;1949;2397;3506
20 - 24;70;322;1445;2268;2244;1729;1228;957;594;506;419;313;288;227;251;383;254;258;236;300;378;521;747;1161;1546;1327;1248;1282;1513;1585;1736;2791;4384;7568;10411;11735;11023;10200;8940;9177;10787;12094;9072;8588;10890;8532;6434;5239;4376;3652;3948;4198;4398;5422;6902;8558;8508;9797;11544;11271;9633;7835;5588;4189;2415;1738;1203;626;440;554;882;1505;2089;2328;2779;4334
15 - 19;43;181;537;936;1074;857;572;402;264;260;183;152;160;161;112;247;165;137;151;192;246;365;543;741;883;834;769;831;1040;1047;1329;2068;2960;4861;7187;8410;8714;8211;7458;7716;8820;8471;5871;4958;6382;5391;4200;3473;2919;2378;2619;3071;3211;4109;5538;7184;6610;7549;10810;10340;8660;7049;4941;3891;2236;1724;1230;678;440;413;581;1283;1605;1835;2353;3422
10 - 14;19;102;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;103;146;191;252;364;545;577;482;433;498;517;584;711;1140;1651;2749;4082;4785;5346;5299;5184;5159;5689;5286;3385;2652;3331;2716;2227;1879;1724;1410;1570;1879;2307;2868;4177;5732;4850;5176;7659;8729;7168;6129;4568;3764;2165;1582;1318;663;448;309;296;532;776;994;1485;2554
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;177;138;122;115;137;151;198;285;411;380;353;319;325;356;390;434;624;974;1841;2791;3364;3614;3920;3820;3683;4261;4305;3023;1945;2390;2194;1903;1644;1601;1390;1553;2003;2724;3677;4765;6703;5189;4698;6991;8413;6878;5567;4114;3411;1877;1526;1142;566;345;240;207;321;476;724;1155;1814
