Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33
Gesamt;898;6431;22391;33969;36050;27136;17333;12345;7434;6237;4764;3598;3204;2351;2341;4190;3153;2688;2426;3023;3926;4832;6057;7950;9600;8822;8616;9762;12290;13059;15923;26108;42062;74861;111024;125746;127780;128366;123205;128390;156306;174741;138983;123078;145452;118921;95525;78115;64563;50800;52402;56353;58366;71298;92582;116260;110095;118242;142014;144758;124824;101006;70846;52738;29893;20706;14027;7261;4809;4345;5556;9074;12598;15470;20366;31984;49102
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;888;1462;1722;2308;3061;3519;4193;5400;5970;5237;4978;5402;5019;3941;2873;1932;1299;1063;827;610;609;638;660;626;717;794;800;636;544;410;277;162;129;67;43;10;6;17;21;25;58;66;130;139
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;306;575;1151;1786;2285;2832;3378;4095;4596;5908;6932;5821;5586;6066;5557;4441;3322;2580;1650;1461;1203;964;938;1111;1260;1190;1071;1200;1174;989;857;620;433;236;158;90;50;41;26;30;40;50;66;85;147;222
80 - 84;12;84;468;1279;1966;1717;1176;819;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1838;2837;3432;3797;4357;4774;5445;7073;8256;7416;6864;7667;6692;5330;4192;3144;2290;1994;1778;1550;1639;1794;2128;1892;1963;2217;2025;1593;1366;920;693;381;212;156;62;39;38;46;49;76;110;171;231;295
75 - 79;24;113;571;1402;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1628;2644;3053;3284;3381;3489;3967;5000;5936;5102;4638;5220;4313;3409;2814;2198;1701;1712;1571;1365;1424;1893;2219;2179;2352;2705;2488;2119;1664;1144;775;409;250;155;59;50;45;45;50;64;100;122;227;285
70 - 74;11;146;619;1327;1412;1043;631;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;261;267;351;585;934;1802;2883;3188;3303;3354;3193;3481;4387;5153;4447;4128;4835;3664;3053;2479;2063;1577;1600;1645;1555;1810;2378;2841;2904;3143;3612;3370;2878;2302;1593;1084;583;341;216;112;70;67;61;67;101;168;171;297;391
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;85;86;121;110;122;129;127;224;289;305;450;686;1282;2265;3552;4262;4014;4151;4134;4116;5169;6354;5584;4976;5730;4416;3625;3126;2537;1914;2043;2119;1993;2302;3189;3898;3964;4306;4911;4628;3970;3294;2317;1619;771;594;319;135;103;78;92;115;159;240;283;404;589
60 - 64;63;429;1598;2522;2779;1787;1085;673;405;331;239;176;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;490;542;681;1273;2122;3957;5989;6855;6926;7298;7007;7648;9424;11039;9184;8261;9277;7552;6239;5122;4213;3187;3248;3514;3419;4118;5307;6571;6406;6874;7592;7757;6799;5530;3733;2652;1342;852;558;283;154;155;168;235;293;397;478;707;967
55 - 59;76;749;2588;3593;3664;2602;1565;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;309;325;431;357;394;554;760;866;1107;1872;3001;5757;8974;10165;10293;10250;9874;10376;13048;14999;12393;11093;12330;10031;8337;7009;5809;4509;4605;4838;4638;5713;7263;9097;8945;9681;10669;11026;9927;7820;5326;3578;1930;1258;795;364;245;230;245;367;544;578;786;1249;1783
50 - 54;133;979;3091;4001;3700;2608;1560;986;601;521;376;251;241;150;146;328;257;186;171;208;294;352;416;473;559;537;549;670;898;995;1203;2269;3580;6419;9769;10965;11001;10844;10332;10547;13253;14921;11979;10526;12101;9814;8178;6675;5304;4310;4503;4753;4945;5903;7535;9346;9123;9954;11113;11639;10153;8024;5469;3777;2060;1356;823;440;298;223;286;452;620;817;972;1638;2496
