Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34
Gesamt;898;6431;22391;33969;36047;27134;17332;12344;7428;6237;4764;3597;3205;2352;2341;4190;3153;2688;2426;3023;3925;4833;6055;7950;9598;8825;8616;9760;12291;13058;15922;26110;42060;74861;111018;125734;127771;128359;123187;128359;156290;174721;138954;123070;145441;118914;95521;78118;64563;50793;52395;56348;58360;71291;92567;116270;110097;118233;142007;144756;124823;101010;70852;52732;29898;20699;14027;7261;4813;4343;5556;9076;12600;15478;20381;32008;49469;64716
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;888;1462;1721;2309;3061;3519;4191;5400;5971;5234;4978;5402;5019;3942;2874;1932;1298;1063;827;610;608;638;660;626;717;794;799;636;544;408;277;162;129;67;43;10;6;17;21;25;58;66;131;139;220
85 - 89;6;38;218;735;1449;1422;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2285;2830;3377;4095;4596;5907;6933;5821;5585;6066;5557;4440;3322;2579;1650;1461;1203;964;939;1110;1260;1192;1071;1200;1174;989;857;620;433;236;158;90;50;41;26;30;41;50;66;85;147;220;323
80 - 84;12;84;468;1279;1966;1717;1176;818;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1838;2836;3432;3797;4357;4773;5444;7073;8256;7411;6864;7667;6691;5331;4192;3143;2290;1994;1778;1550;1639;1794;2128;1893;1961;2217;2025;1593;1366;921;693;381;212;155;62;40;38;46;48;76;110;172;232;296;472
75 - 79;24;113;571;1402;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1630;2644;3053;3283;3379;3488;3965;5001;5936;5103;4636;5215;4313;3409;2814;2198;1701;1712;1571;1365;1424;1894;2221;2177;2352;2705;2488;2119;1664;1143;774;409;250;155;59;50;45;46;50;64;100;122;227;283;398
70 - 74;11;146;619;1327;1412;1043;631;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;261;267;351;585;934;1802;2883;3187;3303;3354;3192;3481;4387;5154;4446;4128;4835;3663;3053;2479;2063;1577;1599;1644;1554;1809;2377;2840;2904;3143;3611;3370;2879;2306;1593;1084;583;341;216;112;70;67;60;67;101;168;171;297;394;603
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;686;1282;2265;3551;4261;4014;4152;4134;4116;5169;6354;5582;4976;5731;4417;3625;3126;2536;1914;2043;2118;1993;2301;3189;3899;3964;4306;4910;4628;3971;3291;2319;1617;771;594;319;135;103;78;92;115;158;240;283;403;591;801
60 - 64;63;429;1598;2522;2779;1787;1085;673;405;331;239;175;169;106;91;121;106;111;93;110;152;151;204;193;237;243;249;339;489;542;681;1273;2122;3957;5988;6854;6926;7298;7005;7648;9424;11039;9180;8262;9276;7552;6238;5122;4215;3187;3248;3514;3419;4119;5307;6570;6406;6874;7592;7758;6799;5530;3733;2652;1343;852;558;283;154;155;168;235;294;397;478;708;979;1459
55 - 59;76;749;2588;3593;3664;2602;1565;1060;599;509;360;264;237;143;133;193;196;156;116;178;241;288;308;325;431;357;394;554;760;866;1107;1872;3002;5757;8973;10164;10293;10252;9874;10374;13047;14998;12390;11093;12328;10031;8336;7009;5808;4508;4603;4837;4638;5710;7263;9096;8946;9680;10668;11026;9927;7821;5327;3578;1930;1258;795;364;245;230;245;367;545;579;786;1247;1803;2334
50 - 54;133;979;3091;4001;3699;2607;1560;986;599;521;376;251;241;150;146;328;257;186;171;208;294;352;416;473;559;538;549;670;898;995;1203;2269;3580;6418;9769;10964;10998;10844;10331;10546;13254;14918;11978;10526;12102;9814;8177;6675;5305;4311;4503;4752;4945;5904;7534;9349;9124;9955;11111;11639;10153;8022;5471;3778;2059;1355;823;440;298;223;286;452;620;819;974;1639;2521;3260
45 - 49;99;747;2097;2915;2710;1915;1172;786;468;448;331;253;214;162;144;384;269;217;182;232;334;387;456;573;693;605;614;696;878;897;1201;2035;3121;5821;8395;9477;9283;9674;9060;9235;11092;12440;9740;8552;9795;7955;6489;5302;4492;3551;3774;4050;4289;5184;6517;8155;7992;8766;10164;10676;9024;7441;5087;3589;2081;1307;872;470;274;258;333;435;686;913;1172;1945;3088;4029
40 - 44;85;567;1798;2323;2306;1676;1019;696;455;404;359;243;213;175;158;461;266;215;189;251;321;433;489;639;718;659;648;685;844;860;1052;1869;2904;5307;7884;8877;8993;9238;8809;8812;10903;11992;9509;8027;9546;7557;6229;5118;4276;3462;3591;4136;4271;5341;6980;9087;8326;9278;10723;10824;9578;7726;5334;3986;2206;1596;1077;527;354;269;343;506;735;987;1442;2342;3736;5050
