Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37
Gesamt;899;6433;22389;33965;36048;27136;17330;12343;7427;6236;4764;3597;3205;2351;2341;4190;3154;2686;2423;3024;3925;4833;6057;7949;9596;8830;8615;9761;12292;13059;15922;26109;42063;74873;111008;125727;127770;128363;123170;128346;156286;174705;138953;123071;145441;118904;95517;78126;64558;50809;52390;56348;58369;71310;92579;116259;110094;118241;142020;144791;124792;101006;70842;52701;29876;20680;14024;7262;4817;4349;5562;9091;12612;15484;20397;32039;49577;66258;74637;71604;61137
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;887;1462;1721;2309;3061;3517;4193;5400;5971;5235;4979;5403;5018;3941;2874;1932;1299;1063;827;610;608;638;660;624;716;793;795;636;542;408;278;160;129;65;44;10;6;17;20;25;58;66;129;139;226;338;356;401
85 - 89;6;38;218;735;1449;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2285;2831;3377;4094;4596;5909;6933;5820;5585;6065;5558;4441;3323;2577;1650;1461;1203;964;939;1110;1260;1192;1071;1200;1176;990;854;620;433;236;158;90;50;41;26;30;41;50;66;85;147;221;331;439;512;516
80 - 84;12;84;468;1278;1966;1718;1176;818;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2835;3432;3796;4358;4768;5443;7073;8254;7409;6867;7666;6689;5330;4192;3144;2291;1994;1778;1550;1638;1794;2128;1893;1960;2217;2024;1594;1365;921;693;382;210;155;63;40;38;46;49;75;110;174;230;296;478;676;826;790
75 - 79;24;113;571;1402;1788;1314;855;588;350;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1630;2644;3052;3282;3379;3487;3964;5001;5934;5100;4636;5216;4310;3409;2815;2198;1701;1712;1570;1365;1425;1894;2222;2175;2352;2706;2489;2121;1664;1140;773;408;250;155;59;50;46;45;49;64;100;122;227;287;411;540;590;564
70 - 74;11;146;619;1327;1412;1042;631;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;261;267;351;584;934;1804;2882;3187;3303;3353;3192;3479;4386;5154;4446;4128;4837;3663;3053;2479;2063;1577;1599;1644;1554;1809;2376;2839;2903;3144;3612;3371;2878;2303;1594;1081;583;341;215;112;71;67;59;67;101;168;171;298;392;617;741;818;753
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2265;3552;4262;4014;4153;4135;4115;5169;6352;5581;4975;5729;4417;3623;3127;2537;1914;2042;2120;1993;2302;3190;3899;3967;4308;4911;4628;3972;3292;2318;1617;770;593;319;135;103;77;92;114;159;240;283;403;592;810;994;1110;1047
60 - 64;63;430;1598;2522;2779;1788;1085;673;405;331;239;175;169;106;91;121;106;111;94;110;152;151;204;193;237;243;249;339;489;542;681;1273;2122;3959;5987;6855;6925;7298;7005;7648;9424;11039;9181;8261;9280;7552;6237;5122;4214;3187;3249;3514;3420;4120;5308;6570;6405;6875;7599;7761;6796;5530;3731;2652;1343;852;558;283;154;155;168;235;294;397;476;711;978;1482;1831;1872;1715
55 - 59;76;749;2588;3593;3664;2603;1565;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;308;325;431;357;394;554;760;866;1107;1872;3003;5757;8969;10165;10292;10255;9873;10377;13046;15000;12389;11094;12327;10032;8336;7009;5808;4508;4602;4838;4637;5712;7264;9093;8947;9679;10664;11025;9925;7821;5327;3575;1929;1257;794;364;245;230;244;367;545;579;787;1247;1802;2399;2710;2885;2587
50 - 54;133;979;3089;4000;3700;2607;1560;986;599;521;376;251;241;150;146;328;257;186;171;208;294;352;416;472;559;538;549;669;898;995;1203;2269;3579;6420;9767;10964;10998;10842;10331;10548;13254;14919;11981;10526;12102;9814;8179;6675;5304;4311;4502;4751;4947;5906;7532;9350;9124;9954;11111;11645;10146;8018;5477;3772;2056;1354;823;439;298;225;289;453;622;820;974;1640;2532;3328;3723;3684;3312
45 - 49;99;748;2098;2915;2710;1915;1173;786;468;448;331;253;214;162;144;384;269;217;182;232;334;387;456;574;693;606;613;696;878;897;1201;2035;3120;5821;8396;9477;9284;9676;9056;9234;11094;12442;9740;8551;9794;7954;6490;5305;4490;3552;3774;4049;4290;5187;6517;8158;7994;8770;10167;10675;9023;7444;5082;3586;2079;1306;872;471;274;259;332;437;688;911;1175;1948;3095;4109;4625;4543;3777
40 - 44;85;566;1798;2324;2306;1676;1019;696;455;404;358;243;213;175;158;461;266;215;188;251;321;433;489;639;717;659;648;685;844;860;1052;1869;2904;5307;7882;8877;8993;9240;8807;8809;10904;11987;9512;8028;9546;7556;6229;5120;4276;3463;3592;4136;4274;5346;6982;9084;8325;9278;10725;10824;9575;7729;5334;3983;2204;1596;1077;527;354;270;345;505;735;987;1446;2351;3754;5180;5690;5416;4420
35 - 39;67;548;1753;2384;2203;1651;982;763;463;423;351;273;242;155;194;388;296;224;203;253;358;383;515;642;760;716;646;699;906;1009;1153;1823;3099;5388;8084;8956;9190;9195;8715;9139;10990;12226;9524;8080;10146;8006;6342;5196;4460;3596;3708;4181;4576;5759;7586;9460;8986;9483;11265;11279;10025;7969;5625;4222;2412;1692;1099;546;362;339;379;647;906;1166;1593;2447;3764;5263;5991;5787;4812
30 - 34;69;536;2049;2635;2418;1743;1206;900;562;487;394;315;269;207;223;420;324;259;259;300;382;424;515;708;945;861;937;940;1208;1302;1522;2359;3858;6717;9574;10474;10480;10082;9367;9468;11517;13026;10043;9193;11602;9048;7019;5765;4908;3904;4114;4529;4892;6018;7895;9868;9512;10133;12009;11858;10453;8277;5873;4540;2748;1751;1184;632;419;428;581;869;1305;1514;2073;3047;4381;5976;6579;6228;5070
25 - 29;76;549;1995;2689;2485;1934;1288;995;681;522;391;345;314;222;242;399;321;314;229;309;409;510;604;838;1193;1222;1162;1228;1481;1436;1746;2684;4474;7322;10341;11149;10684;9921;8996;9146;10780;12104;9430;8422;10778;8536;6393;5338;4488;3658;3907;4151;4265;5465;7013;8400;8376;9209;10900;10796;9211;7460;5178;3943;2455;1600;1108;619;464;493;789;1327;1732;1953;2404;3591;5027;6322;6295;6047;4863
20 - 24;70;322;1445;2268;2241;1729;1227;956;593;505;419;313;288;227;251;383;254;258;235;300;378;521;747;1159;1545;1329;1247;1282;1513;1584;1735;2791;4387;7565;10409;11733;11026;10198;8939;9174;10785;12096;9069;8588;10891;8539;6434;5240;4377;3663;3946;4198;4401;5422;6904;8553;8506;9796;11546;11271;9625;7833;5588;4185;2414;1734;1203;626;439;554;884;1507;2090;2328;2791;4430;5780;6879;6829;6229;4912
15 - 19;44;181;537;935;1074;857;570;402;264;260;184;152;160;161;112;247;165;137;149;193;246;365;544;741;884;836;768;829;1040;1045;1331;2069;2959;4862;7189;8410;8717;8211;7458;7711;8817;8473;5871;4954;6380;5388;4199;3471;2917;2378;2618;3071;3213;4105;5538;7187;6608;7547;10812;10343;8658;7054;4941;3885;2239;1721;1229;680;442;413;580;1287;1613;1838;2371;3502;5572;6960;7778;6844;5613
10 - 14;19;102;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;102;146;191;252;364;545;575;483;433;498;517;584;710;1140;1651;2747;4082;4785;5348;5297;5184;5154;5690;5284;3387;2652;3329;2717;2228;1879;1725;1409;1570;1879;2308;2868;4181;5731;4850;5179;7658;8737;7168;6125;4572;3762;2163;1580;1318;663;448;309;295;533;780;997;1489;2604;5362;6915;8403;7728;7276
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;177;139;121;115;137;151;198;285;410;380;353;319;325;356;390;434;623;973;1841;2794;3363;3613;3917;3819;3683;4259;4301;3022;1943;2393;2194;1903;1642;1602;1390;1552;2003;2724;3680;4762;6699;5189;4696;6993;8419;6871;5564;4116;3414;1874;1526;1142;566;345;241;208;323;478;725;1154;1843;3718;5587;7009;6583;5833
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;135;143;147;140;161;150;188;275;284;222;227;226;291;299;327;522;889;1459;2227;2413;2411;2378;2317;2302;2655;3094;2106;1525;1900;1856;1696;1528;1511;1347;1375;1885;2371;2991;4049;5023;4467;4026;5083;5581;5059;4116;2967;2298;1412;1022;614;381;257;173;179;258;346;522;758;1234;1866;2958;3416;3504;2838
