Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40
Gesamt;899;6431;22388;33967;36048;27132;17328;12344;7423;6233;4758;3597;3205;2351;2341;4190;3155;2686;2423;3024;3924;4831;6057;7951;9595;8827;8614;9760;12288;13062;15922;26111;42060;74870;111015;125721;127773;128356;123159;128351;156288;174698;138942;123073;145442;118896;95518;78126;64558;50807;52388;56350;58368;71306;92580;116268;110097;118264;142055;144749;124790;100988;70823;52693;29870;20671;14027;7264;4817;4350;5565;9091;12617;15490;20393;32040;49598;66277;74639;71608;61385;53564;56395;57438
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2310;3062;3516;4193;5401;5969;5236;4979;5403;5018;3942;2874;1932;1299;1063;827;610;609;638;661;623;717;791;795;636;541;408;277;160;129;65;44;10;6;17;20;25;57;66;127;139;226;336;351;393;336;325;394
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2283;2831;3376;4093;4596;5908;6936;5823;5584;6066;5557;4440;3323;2577;1650;1461;1203;964;938;1110;1260;1193;1072;1201;1176;990;855;620;433;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;508;517;453;530;580
80 - 84;12;84;468;1279;1963;1719;1176;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2835;3434;3796;4359;4769;5445;7073;8255;7407;6867;7666;6687;5331;4192;3144;2291;1994;1778;1550;1637;1795;2128;1893;1960;2219;2023;1594;1364;921;693;382;209;155;63;40;38;46;49;75;110;174;230;296;475;676;824;790;662;904;980
75 - 79;24;113;571;1402;1788;1314;855;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1630;2644;3053;3282;3381;3485;3967;5003;5936;5102;4637;5216;4310;3408;2815;2198;1701;1713;1570;1364;1425;1894;2222;2175;2352;2707;2488;2120;1665;1140;773;408;251;155;59;50;46;45;48;64;100;122;227;287;412;540;593;565;563;711;733
70 - 74;11;146;620;1328;1412;1042;631;423;274;207;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3354;3191;3480;4386;5155;4446;4128;4838;3664;3052;2480;2062;1577;1599;1644;1554;1808;2376;2840;2903;3143;3611;3371;2878;2301;1593;1081;583;341;215;112;71;67;59;67;101;168;172;298;392;617;740;818;756;692;859;1015
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2264;3551;4264;4013;4154;4132;4117;5171;6351;5586;4977;5729;4416;3624;3127;2537;1914;2042;2120;1994;2302;3190;3899;3966;4308;4913;4627;3972;3291;2318;1617;770;592;319;135;103;77;92;114;159;240;283;405;593;811;995;1108;1048;985;1092;1377
60 - 64;63;429;1597;2523;2779;1788;1085;673;405;332;239;175;169;106;91;121;106;111;94;110;152;151;204;193;237;243;249;339;489;542;681;1273;2122;3959;5987;6854;6927;7299;7004;7654;9431;11037;9180;8264;9281;7551;6237;5122;4214;3187;3248;3515;3420;4120;5308;6571;6406;6875;7599;7758;6793;5531;3731;2651;1343;851;558;283;154;155;168;235;294;397;475;711;978;1485;1835;1878;1711;1642;1812;2130
55 - 59;76;749;2587;3593;3665;2603;1565;1060;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1873;3002;5757;8972;10167;10295;10257;9876;10384;13045;15003;12392;11092;12324;10031;8336;7009;5808;4508;4604;4838;4637;5713;7265;9093;8947;9680;10666;11021;9924;7817;5325;3575;1929;1256;794;364;244;230;244;367;545;580;786;1245;1802;2400;2711;2890;2600;2490;2759;3006
50 - 54;133;979;3089;3999;3699;2606;1561;987;599;521;373;251;241;150;146;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1203;2269;3579;6420;9768;10964;10996;10843;10331;10553;13260;14919;11980;10528;12103;9813;8180;6676;5304;4311;4501;4751;4947;5904;7533;9352;9124;9955;11113;11644;10145;8018;5477;3772;2055;1354;823;440;298;226;289;453;622;821;973;1642;2535;3333;3722;3690;3323;2893;3296;3435
45 - 49;99;748;2098;2916;2710;1915;1172;785;468;448;332;254;214;162;144;384;269;217;182;232;334;386;456;574;693;606;613;696;877;897;1202;2036;3120;5820;8398;9476;9286;9674;9057;9237;11097;12445;9743;8553;9793;7955;6489;5305;4489;3552;3773;4049;4290;5187;6516;8160;7997;8772;10167;10669;9024;7444;5080;3587;2078;1306;872;471;274;259;332;437;689;910;1176;1948;3101;4105;4626;4539;3788;3332;3501;3765
40 - 44;85;566;1797;2322;2308;1674;1019;697;454;403;357;241;212;175;158;461;266;216;188;251;321;433;489;639;717;659;647;685;844;862;1051;1870;2904;5308;7881;8875;8993;9245;8807;8815;10905;11990;9511;8031;9547;7557;6231;5120;4276;3464;3591;4136;4274;5346;6982;9084;8324;9280;10726;10825;9573;7731;5333;3982;2205;1596;1077;528;354;269;345;505;735;988;1445;2352;3755;5181;5690;5419;4451;3903;4195;4350
35 - 39;67;548;1753;2384;2203;1650;982;762;463;424;351;274;242;155;194;388;296;224;203;253;358;383;515;642;760;716;645;699;905;1008;1153;1823;3099;5386;8083;8957;9191;9196;8718;9146;10993;12228;9522;8081;10147;8005;6342;5195;4460;3594;3708;4181;4574;5760;7587;9461;8985;9483;11269;11279;10018;7969;5624;4221;2412;1691;1100;546;362;339;379;647;906;1166;1591;2447;3768;5263;5999;5798;4816;4235;4539;4691
30 - 34;69;536;2049;2635;2418;1743;1206;900;562;486;394;315;269;207;223;420;324;259;259;300;382;423;516;709;945;859;937;940;1206;1303;1522;2359;3858;6716;9574;10475;10483;10084;9366;9471;11523;13027;10046;9194;11601;9047;7018;5764;4908;3904;4114;4529;4892;6016;7894;9870;9511;10136;12014;11853;10453;8277;5869;4539;2746;1750;1184;631;419;428;581;869;1307;1514;2075;3045;4384;5977;6581;6222;5097;4602;4766;4787
25 - 29;76;549;1995;2689;2485;1935;1287;995;681;522;391;346;315;222;242;399;321;314;229;309;410;510;604;839;1193;1222;1162;1227;1480;1436;1746;2686;4473;7324;10344;11148;10684;9917;8997;9150;10781;12105;9428;8423;10777;8537;6393;5338;4488;3658;3908;4151;4265;5465;7013;8401;8378;9214;10900;10794;9219;7452;5177;3944;2456;1599;1107;619;464;494;788;1327;1733;1952;2403;3590;5026;6323;6285;6055;4894;4114;4249;4249
